Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/05/2018,2,Cauliflower,1150,1700,1275,
Adampur,01/05/2018,0.2,Other,1400,1500,1500,
,03/05/2018,0.3,Other,1000,1400,1400,
,04/05/2018,0.2,Other,1300,1500,1500,
,07/05/2018,0.4,Other,1200,1500,1500,
,22/05/2018,0.2,Other,1300,1500,1500,
,25/05/2018,0.2,Other,1400,1500,1500,
Ahmedgarh,01/05/2018,0.1,Other,800,1000,900,
,02/05/2018,0.05,Other,800,1000,900,
,03/05/2018,0.1,Other,800,1000,900,
,04/05/2018,0.1,Other,800,1000,900,
,05/05/2018,0.1,Other,700,900,800,
,06/05/2018,0.1,Other,1000,1200,1100,
,08/05/2018,0.2,Other,800,1000,900,
,09/05/2018,0.2,Other,800,1000,900,
,10/05/2018,0.2,Other,800,1000,900,
,11/05/2018,0.1,Other,900,1100,1000,
,12/05/2018,0.2,Other,1000,1200,1100,
,13/05/2018,0.1,Other,800,1000,900,
,14/05/2018,0.15,Other,800,1000,900,
,15/05/2018,0.2,Other,800,1000,900,
,16/05/2018,0.2,Other,600,800,700,
,17/05/2018,0.2,Other,600,800,700,
,18/05/2018,0.2,Other,700,900,800,
,19/05/2018,0.1,Other,600,800,700,
,20/05/2018,0.2,Other,700,900,800,
,21/05/2018,0.1,Other,600,800,700,
,22/05/2018,0.2,Other,700,900,800,
,23/05/2018,0.2,Other,900,1100,1000,
,24/05/2018,0.1,Other,800,1000,900,
,25/05/2018,0.1,Other,900,1100,1000,
,28/05/2018,0.2,Other,700,900,800,
,29/05/2018,0.1,Other,800,1000,900,
,30/05/2018,0.1,Other,800,1000,900,
,31/05/2018,0.1,Other,900,1100,1000,
Amritsar(Amritsar Mewa Mandi),01/05/2018,15,Cauliflower,200,400,300,
,10/05/2018,40,Cauliflower,500,900,600,
,14/05/2018,15,Cauliflower,200,250,250,
,21/05/2018,15,Cauliflower,200,250,250,
,22/05/2018,40,Cauliflower,500,900,600,
Banga,16/05/2018,1.1,Other,1317,1496,1350,
,17/05/2018,0.6,Other,1300,1361,1361,
,18/05/2018,1.1,Other,1278,1594,1278,
,20/05/2018,1.2,Other,1435,1435,1435,
,23/05/2018,0.7,Other,1484,1484,1484,
,24/05/2018,1.4,Other,1200,1459,1300,
,25/05/2018,1.4,Other,1250,1550,1400,
,27/05/2018,1.1,Other,1375,1421,1400,
,29/05/2018,0.1,Other,1350,1350,1350,
,30/05/2018,1.6,Other,1433,1612,1500,
,31/05/2018,1.2,Other,1364,1591,1400,
Bariwala,01/05/2018,0.05, ,NR,NR,NR,
,07/05/2018,0.02, ,NR,NR,NR,
,08/05/2018,0.03, ,NR,NR,NR,
,09/05/2018,0.02, ,NR,NR,NR,
,17/05/2018,0.01,Cauliflower,90,90,90,
,20/05/2018,0.01,Cauliflower,140,140,140,
,29/05/2018,0.06, ,NR,NR,NR,
,30/05/2018,0.04,Cauliflower,80,80,80,
,31/05/2018,0.04,Cauliflower,80,80,80,
Barnala,01/05/2018,2.6,Other,800,1000,900,
,02/05/2018,1.6,Other,800,1500,1150,
,03/05/2018,1.4,Other,800,1500,1150,
,04/05/2018,1.4,Other,600,800,700,
,05/05/2018,1.8,Other,500,800,650,
,06/05/2018,0.4,Other,800,1000,900,
,07/05/2018,1.4,Other,800,1500,1150,
,08/05/2018,1.1,Other,800,1300,1050,
,09/05/2018,0.8,Other,800,1000,900,
,11/05/2018,0.8,Other,1200,1500,1350,
,12/05/2018,2.1,Other,1000,1200,1100,
,13/05/2018,0.3,Other,1000,1200,1100,
,14/05/2018,1.9,Other,1000,1200,1100,
,16/05/2018,0.8,Other,1000,1200,1100,
,17/05/2018,1.3,Other,800,1300,1050,
,18/05/2018,0.8,Other,1000,1200,1100,
,19/05/2018,1.1,Other,1000,1300,1150,
,20/05/2018,0.8,Other,800,1300,1050,
,21/05/2018,1.2,Other,1000,1200,1100,
,22/05/2018,0.7,Other,1000,1200,1100,
,23/05/2018,0.5,Other,1100,1300,1200,
,24/05/2018,0.4,Other,1000,1200,1100,
,25/05/2018,0.6,Other,1000,1300,1150,
,26/05/2018,1,Other,1000,1200,1100,
,27/05/2018,0.7,Other,1000,1200,1100,
,28/05/2018,0.7,Other,1000,1300,1150,
,29/05/2018,1.2,Other,900,1200,1050,
,30/05/2018,1.2,Other,1000,1300,1150,
Bassi Pathana,01/05/2018,0.3,Cauliflower,500,500,500,
,02/05/2018,0.6,Cauliflower,400,600,500,
,03/05/2018,0.5,Cauliflower,500,700,600,
,04/05/2018,0.4,Cauliflower,400,600,500,
,07/05/2018,0.4,Cauliflower,500,700,600,
,08/05/2018,0.6,Cauliflower,400,600,500,
,09/05/2018,0.6,Cauliflower,400,600,500,
,10/05/2018,0.4,Cauliflower,1000,1300,1200,
,11/05/2018,0.3,Cauliflower,1000,1000,1000,
,12/05/2018,0.3,Cauliflower,1000,1000,1000,
,14/05/2018,0.3,Cauliflower,1000,1200,1100,
,15/05/2018,0.3,Cauliflower,1000,1300,1200,
,16/05/2018,0.3,Cauliflower,1000,1000,1000,
,17/05/2018,0.3,Cauliflower,1000,1000,1000,
,18/05/2018,0.3,Cauliflower,400,600,500,
,19/05/2018,0.2,Cauliflower,400,600,500,
,21/05/2018,0.3,Cauliflower,400,600,500,
,22/05/2018,0.3,Cauliflower,400,600,500,
,23/05/2018,0.3,Cauliflower,400,600,500,
,24/05/2018,0.3,Cauliflower,400,650,500,
,25/05/2018,0.3,Cauliflower,400,600,500,
,26/05/2018,0.3,Cauliflower,600,800,700,
,28/05/2018,0.2,Cauliflower,600,800,700,
,29/05/2018,0.1,Cauliflower,600,800,700,
,30/05/2018,0.2,Cauliflower,600,800,700,
,31/05/2018,0.3,Cauliflower,500,700,600,
Batala,02/05/2018,0.5,Other,1000,1500,1300,
,03/05/2018,0.5,Other,1000,1500,1250,
,04/05/2018,0.4,Other,1000,1400,1200,
,05/05/2018,0.7,Other,1000,1400,1200,
,08/05/2018,0.4,Other,1100,1300,1200,
,09/05/2018,0.5,Other,1000,1300,1200,
,10/05/2018,0.5,Other,1000,1400,1200,
,11/05/2018,1.4,Other,1000,1400,1200,
,12/05/2018,0.5,Other,1000,1400,1200,
,16/05/2018,0.7,Other,1200,1600,1500,
,17/05/2018,0.8,Other,1000,1400,1250,
,18/05/2018,0.6,Other,800,1200,1000,
,19/05/2018,0.6,Other,1300,1500,1350,
,21/05/2018,0.5,Other,1200,1500,1300,
,22/05/2018,0.5,Other,1200,1500,1350,
,23/05/2018,0.5,Other,1200,1500,1350,
,24/05/2018,0.3,Other,1600,2000,1700,
,25/05/2018,0.4,Other,1500,2000,1750,
,26/05/2018,0.4,Other,1500,2000,1650,
,28/05/2018,1.1,Other,1500,2000,1700,
,30/05/2018,0.8,Other,1200,2000,1600,
Bhawanigarh,03/05/2018,0.6,Other,800,1500,1100,
,06/05/2018,0.3,Other,1000,1400,1200,
,07/05/2018,0.2,Other,800,1000,900,
,08/05/2018,0.2,Other,1000,1500,1250,
,10/05/2018,0.2,Other,1500,1500,1500,
,15/05/2018,0.2,Other,1500,1500,1500,
,16/05/2018,0.3,Other,1500,1500,1500,
,20/05/2018,0.3,Other,1000,1200,1100,
,21/05/2018,0.3,Other,1000,1200,1100,
Bhulath,07/05/2018,0.04,Cauliflower,400,500,500,
,18/05/2018,0.03,Cauliflower,300,500,400,
,20/05/2018,0.04,Cauliflower,300,400,400,
Bilga,02/05/2018,1.88,Other,1900,2000,1950,
,04/05/2018,0.9,Other,900,1000,950,
,06/05/2018,1.88,Other,1900,2000,1950,
,07/05/2018,0.96,Other,1400,1500,1450,
,09/05/2018,0.98,Other,1400,1500,1450,
,12/05/2018,0.98,Other,1400,1500,1450,
,29/05/2018,0.98,Other,1900,2000,1950,
Chamkaur Sahib,01/05/2018,0.3,Other,1000,1030,1020,
,02/05/2018,1,Other,1200,1220,1210,
,03/05/2018,0.5,Other,1300,1330,1320,
,04/05/2018,1.5,Other,800,820,810,
,05/05/2018,0.4,Other,1200,1220,1210,
,07/05/2018,0.3,Other,1200,1220,1210,
,08/05/2018,0.2,Other,1200,1230,1220,
,09/05/2018,0.4,Other,1500,1530,1520,
,10/05/2018,0.2,Other,1200,1220,1210,
,12/05/2018,0.3,Other,1000,1030,1020,
,14/05/2018,0.5,Other,1200,1220,1210,
,15/05/2018,0.4,Other,1200,1230,1220,
,16/05/2018,0.2,Other,1200,1220,1210,
,17/05/2018,0.4,Other,1000,1030,1020,
,18/05/2018,0.2,Other,1000,1030,1020,
,19/05/2018,0.1,Other,1700,1730,1720,
,21/05/2018,0.1,Other,1800,1830,1820,
,22/05/2018,0.1,Other,1800,1820,1810,
,23/05/2018,0.1,Other,1800,1830,1820,
,24/05/2018,0.1,Other,1700,1850,1800,
,25/05/2018,0.1,Other,1700,1720,1710,
,26/05/2018,0.2,Other,1800,1830,1820,
,28/05/2018,0.1,Other,1800,1820,1810,
,29/05/2018,0.1,Other,1800,1830,1820,
,30/05/2018,0.2,Other,1300,1330,1320,
