Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,02/09/2019,3.33,Cauliflower,1835,3430,2701,
,03/09/2019,2.25,Cauliflower,1800,2878,2713,
,04/09/2019,1.46,Cauliflower,3293,3500,3493,
,05/09/2019,1.66,Cauliflower,1595,3500,2960,
,06/09/2019,2.5,Cauliflower,2326,3670,2899,
,09/09/2019,1.61,Cauliflower,1500,3430,2631,
,10/09/2019,1.87,Cauliflower,2459,3300,2689,
,11/09/2019,2.24,Cauliflower,2712,3404,2873,
,12/09/2019,1.62,Cauliflower,2497,3134,2600,
,13/09/2019,1.86,Cauliflower,2271,3360,2417,
,14/09/2019,1.87,Cauliflower,1561,2682,2500,
,16/09/2019,2.3,Cauliflower,2200,3445,2595,
,17/09/2019,1.83,Cauliflower,2394,3012,2500,
,18/09/2019,1.88,Cauliflower,2400,3596,2485,
,19/09/2019,1.48,Cauliflower,2500,3000,2709,
,20/09/2019,1.75,Cauliflower,1900,4313,2452,
,21/09/2019,1.38,Cauliflower,2222,2727,2561,
,23/09/2019,1.45,Cauliflower,2683,3757,2683,
,24/09/2019,2.05,Cauliflower,2000,3548,2758,
,25/09/2019,1.57,Cauliflower,2536,5231,2536,
,26/09/2019,1.23,Cauliflower,3027,3678,3651,
,27/09/2019,2.23,Cauliflower,2935,4189,3670,
,28/09/2019,1.29,Cauliflower,3750,4491,4417,
,30/09/2019,3.59,Cauliflower,2908,4525,4237,
Adampur,02/09/2019,0.4,Other,3200,3500,3500,
,04/09/2019,0.8,Other,2500,3200,3200,
,05/09/2019,0.4,Other,3000,3500,3500,
,06/09/2019,0.8,Other,2500,3000,3000,
,07/09/2019,0.5,Other,2000,2500,2500,
,09/09/2019,0.8,Other,2500,3000,3000,
,10/09/2019,0.6, ,NR,NR,NR,
,11/09/2019,0.7,Other,2500,3000,3000,
,12/09/2019,0.5,Other,2500,3000,3000,
,13/09/2019,0.5,Other,1200,3000,3000,
,14/09/2019,0.8,Other,1500,2500,2500,
,16/09/2019,0.7,Other,2200,3200,3200,
,17/09/2019,0.7,Other,3500,3500,3500,
,18/09/2019,0.8,Other,2000,3600,3600,
,20/09/2019,1.1,Other,2000,3500,3500,
,21/09/2019,1,Other,2500,3500,3500,
,23/09/2019,0.6,Other,3000,5500,5500,
,24/09/2019,0.9,Other,3000,4000,4000,
,25/09/2019,0.6,Other,3000,4000,4000,
,26/09/2019,0.6,Other,3000,5500,5500,
,27/09/2019,0.5,Other,2500,5500,5500,
,28/09/2019,0.9,Other,2200,3000,3000,
,30/09/2019,0.6,Other,2000,3500,3500,
Ahmedgarh,01/09/2019,0.1,Other,1900,2100,2000,
,02/09/2019,0.1,Other,2000,2200,2100,
,03/09/2019,0.1,Other,2000,2200,2100,
,04/09/2019,0.1,Other,2100,2300,2200,
,05/09/2019,0.1,Other,2100,2300,2200,
,06/09/2019,0.1,Other,1900,2100,2000,
,07/09/2019,0.1,Other,2100,2300,2200,
,08/09/2019,0.1,Other,1900,2100,2000,
,09/09/2019,0.1,Other,1800,2000,1900,
,10/09/2019,0.1,Other,1800,2000,1900,
,11/09/2019,0.1,Other,1800,2000,1900,
,12/09/2019,0.1,Other,2000,2200,2100,
,13/09/2019,0.1,Other,2000,2200,2100,
,14/09/2019,0.1,Other,2400,2600,2500,
,15/09/2019,0.1,Other,2600,2800,2700,
,16/09/2019,0.1,Other,2600,2800,2700,
,17/09/2019,0.1,Other,2400,2600,2500,
,18/09/2019,0.1,Other,2400,2600,2500,
,19/09/2019,0.1,Other,2400,2600,2500,
,20/09/2019,0.1,Other,2300,2500,2400,
,21/09/2019,0.1,Other,3300,3500,3400,
,22/09/2019,0.1,Other,3800,4000,3900,
,23/09/2019,0.1,Other,3800,4000,3900,
,24/09/2019,0.1,Other,3600,3800,3700,
,25/09/2019,0.1,Other,3800,4000,3900,
,26/09/2019,0.2,Other,4000,4200,4100,
,27/09/2019,0.1,Other,3800,4000,3900,
,28/09/2019,0.1,Other,3800,4000,3900,
,29/09/2019,0.2,Other,4000,4200,4100,
,30/09/2019,0.1,Other,4000,4200,4100,
Ajnala,01/09/2019,0.5,Local,1300,1500,1400,
,03/09/2019,0.45,Local,1300,1500,1400,
,04/09/2019,0.4,Local,1200,1300,1300,
,05/09/2019,0.4,Local,1300,1500,1400,
,06/09/2019,0.35,Local,1500,1600,1600,
,09/09/2019,0.5,Local,1400,1500,1400,
,10/09/2019,0.4,Local,1600,1600,1600,
,11/09/2019,0.55,Local,1300,1400,1350,
,12/09/2019,0.52,Local,1300,1400,1350,
,13/09/2019,0.6,Local,1400,1600,1500,
,14/09/2019,0.55,Local,1400,1600,1500,
,15/09/2019,0.51,Local,1400,1600,1600,
,16/09/2019,0.45,Local,1400,1600,1500,
,18/09/2019,0.31,Local,1400,1600,1500,
,19/09/2019,0.3,Local,1400,1500,1400,
,20/09/2019,0.25,Local,1500,1700,1600,
,21/09/2019,0.5,Local,1500,1600,1600,
,23/09/2019,0.55,Local,1500,2000,1800,
,24/09/2019,0.5,Local,1500,2000,1800,
,27/09/2019,0.3,Local,1500,1600,1600,
,28/09/2019,0.55,Local,1600,1800,1700,
