Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/03/2018,8.6,Other,400,1000,800,
,03/03/2018,5.5,Other,500,1000,800,
,04/03/2018,4.5,Other,400,1200,900,
,05/03/2018,6.1,Other,500,1000,750,
,06/03/2018,6.1,Other,500,1000,750,
,07/03/2018,8.1,Other,500,1000,800,
,09/03/2018,11.1,Other,400,1000,700,
,10/03/2018,7.2,Other,400,1000,750,
,11/03/2018,6.6,Other,300,1000,750,
,12/03/2018,11.8,Other,300,1000,800,
,13/03/2018,13.5,Other,250,1000,700,
,14/03/2018,9.6,Other,300,1000,650,
,15/03/2018,9.2,Other,300,1000,700,
,16/03/2018,7.4,Other,300,800,500,
,17/03/2018,15,Other,300,700,500,
,18/03/2018,8,Other,300,700,550,
,20/03/2018,14.1,Other,300,800,600,
,21/03/2018,9.8,Other,300,700,600,
,22/03/2018,11.9,Other,300,800,600,
,23/03/2018,7,Other,300,900,700,
,24/03/2018,11,Other,300,900,700,
,25/03/2018,4.5,Other,300,900,700,
,26/03/2018,4.5,Other,300,800,750,
,27/03/2018,3.6,Other,300,1000,650,
,28/03/2018,3.7,Other,300,800,750,
,29/03/2018,3.6,Other,700,1500,1300,
,30/03/2018,6,Other,400,1200,850,
Alwar(FV),07/03/2018,1.4,Other,1200,1400,1300,
,08/03/2018,1,Other,1200,1400,1300,
,10/03/2018,2.1,Other,1200,1400,1300,
,14/03/2018,1.2,Other,1000,1200,1100,
,16/03/2018,0.7,Other,1100,1300,1200,
,19/03/2018,1,Other,1200,1600,1400,
,21/03/2018,0.4,Other,1100,1400,1250,
,22/03/2018,0.6,Other,1000,1400,1250,
,24/03/2018,1.2,Other,1000,1400,1200,
,25/03/2018,0.4,Other,1000,1400,1200,
,27/03/2018,0.5,Other,1000,1300,1150,
,28/03/2018,0.4,Other,900,1400,1150,
,29/03/2018,0.6,Other,1000,1200,1100,
,30/03/2018,1.2,Other,1000,1200,1100,
Chittorgarh,01/03/2018,18,Other,700,1200,950,
,03/03/2018,35,Other,800,1200,1000,
,04/03/2018,14,Other,800,1000,900,
,05/03/2018,20,Other,1200,1300,1250,
,06/03/2018,14,Other,1000,1200,1100,
,07/03/2018,20,Other,1000,1200,1100,
,08/03/2018,55,Other,1800,2000,1900,
,10/03/2018,21.5,Other,1500,2000,1750,
,11/03/2018,42.5,Other,1000,1500,1300,
,13/03/2018,5,Other,1500,2000,1750,
,14/03/2018,29.5,Other,1200,1500,1350,
,16/03/2018,42.5,Other,1000,1200,1100,
,18/03/2018,17.5,Other,800,1200,1000,
,19/03/2018,12.5,Other,900,1000,950,
,20/03/2018,20,Other,1000,1500,1300,
,21/03/2018,32.5,Other,1200,1500,1350,
,22/03/2018,26,Other,1200,1500,1350,
,23/03/2018,20,Other,1000,1500,1300,
,24/03/2018,14,Other,1200,1500,1350,
,25/03/2018,37.5,Other,1000,2000,1500,
,26/03/2018,9.5,Other,1000,1200,1100,
,27/03/2018,14,Other,1000,1300,1150,
,28/03/2018,25,Other,1000,1400,1200,
,29/03/2018,28,Other,800,1200,1000,
,30/03/2018,25,Other,1000,1100,1050,
Chomu(F&V),01/03/2018,27,Other,400,600,500,
,04/03/2018,26.5,Other,200,400,300,
,05/03/2018,25.5,Other,200,400,300,
,06/03/2018,24.5,Other,300,500,400,
,07/03/2018,23.5,Other,300,500,400,
,08/03/2018,22,Other,200,400,300,
,09/03/2018,21.5,Other,200,500,300,
,10/03/2018,20.5,Other,300,600,400,
,12/03/2018,32.5,Other,200,600,400,
,13/03/2018,31,Other,200,500,400,
,14/03/2018,30.5,Other,300,500,400,
,15/03/2018,29.5,Other,300,600,400,
,16/03/2018,27,Other,300,700,500,
,17/03/2018,26.5,Other,300,700,500,
,19/03/2018,26,Other,300,700,500,
,20/03/2018,25.5,Other,300,700,500,
,21/03/2018,23, ,NR,NR,NR,
,22/03/2018,19,Other,400,600,500,
,23/03/2018,21.5,Other,300,500,400,
,24/03/2018,21,Other,300,500,400,
,25/03/2018,21,Other,300,500,400,
,28/03/2018,21,Other,200,500,300,
,29/03/2018,22,Other,400,800,600,
,30/03/2018,21,Other,300,800,600,
Jaipur(F&V),07/03/2018,3.5,African Sarson,400,1000,700,
,16/03/2018,8.5,African Sarson,300,350,325,
,20/03/2018,9.6,African Sarson,300,350,325,
,21/03/2018,10.7,African Sarson,300,350,325,
,22/03/2018,4.8,African Sarson,500,800,650,
,23/03/2018,6.7,African Sarson,500,700,600,
,27/03/2018,2.3,African Sarson,400,600,500,
,29/03/2018,3.1,African Sarson,400,500,450,
Jalore,04/03/2018,1.1,Other,800,1000,900,
,05/03/2018,1.5,Other,900,1100,1000,
,06/03/2018,1.81,Other,1200,1400,1300,
,07/03/2018,1.5,Other,1400,1600,1500,
,09/03/2018,1.82,Other,1400,1600,1500,
,10/03/2018,2,Other,1400,1600,1500,
,11/03/2018,1.65,Other,1400,1600,1500,
,12/03/2018,1.25,Other,1400,1600,1500,
,13/03/2018,1.15,Other,1400,1600,1500,
,14/03/2018,0.5,Other,1400,1600,1500,
,15/03/2018,0.6,Other,400,600,500,
,16/03/2018,1,Other,800,1000,900,
,18/03/2018,0.85,Other,800,1000,900,
,19/03/2018,1.5,Other,800,1000,900,
,20/03/2018,1.5,Other,800,1000,900,
,21/03/2018,0.15,Other,800,1000,900,
,22/03/2018,0.5,Other,800,1000,900,
,23/03/2018,0.5,Other,800,1000,900,
,24/03/2018,0.81,Other,800,1000,900,
,26/03/2018,0.6,Other,800,1000,900,
,27/03/2018,0.2,Other,3300,3500,3400,
,29/03/2018,0.35,Other,1400,1600,1500,
,30/03/2018,0.25,Other,1300,1500,1400,
Jodhpur(F&V)(Paota),03/03/2018,26,Other,1000,1500,1200,
,04/03/2018,39.5,Other,1000,1500,1200,
,05/03/2018,39,Other,1000,1500,1200,
,07/03/2018,39,Other,800,1500,1000,
,08/03/2018,35,Other,800,1400,1000,
,10/03/2018,38,Other,1000,1500,1200,
,12/03/2018,41,Other,800,1200,1000,
,13/03/2018,39.5,Other,800,1200,1000,
,14/03/2018,39.5, ,NR,NR,NR,
,17/03/2018,38.9,Other,1000,1500,1200,
,18/03/2018,41,Other,800,1500,1000,
,19/03/2018,39.5,Other,800,1500,1200,
,20/03/2018,39,Other,800,1200,1000,
,21/03/2018,43,Other,600,1000,800,
,22/03/2018,43,Other,800,1400,1000,
,27/03/2018,39.5, ,NR,NR,NR,
,28/03/2018,39.5,Other,800,1200,1000,
Kota (FV),09/03/2018,18.1,Other,400,1000,700,
,10/03/2018,16.6,Other,400,1000,700,
,12/03/2018,17.2,Other,400,1000,800,
,13/03/2018,19.8,Other,300,800,550,
,14/03/2018,21,Other,300,800,550,
,16/03/2018,19.5,Other,300,800,550,
,17/03/2018,18.9,Other,300,800,550,
,18/03/2018,12.8,Other,400,1200,800,
,19/03/2018,14.2,Other,400,1000,700,
,20/03/2018,13,Other,400,1300,800,
,21/03/2018,13.9,Other,400,1200,800,
,22/03/2018,13.7,Other,400,1200,800,
,23/03/2018,14,Other,400,1200,800,
,24/03/2018,12,Other,500,1200,850,
,26/03/2018,10.7,Other,700,1400,1050,
Sanchor,05/03/2018,0.08,African Sarson,400,500,450,
,,,Cauliflower,400,500,450,
,23/03/2018,0.3,African Sarson,600,800,700,
,,,Cauliflower,600,800,700,
,30/03/2018,0.07,Cauliflower,400,550,460,
Sriganganagar(F&V),01/03/2018,12,Other,500,500,500,
,03/03/2018,12,Other,500,500,500,
,04/03/2018,10,Other,600,600,600,
,05/03/2018,10,Other,600,600,600,
,06/03/2018,12,Other,400,400,400,
,07/03/2018,20,Other,400,400,400,
,08/03/2018,15,Other,400,400,400,
,09/03/2018,15,Other,500,500,500,
,10/03/2018,15,Other,500,500,500,
,11/03/2018,12.5,Other,500,500,500,
,12/03/2018,8,Other,600,600,600,
,13/03/2018,8,Other,600,600,600,
,14/03/2018,8,Other,600,600,600,
,17/03/2018,7,Other,600,600,600,
,18/03/2018,7,Other,600,600,600,
,19/03/2018,7,Other,600,600,600,
,20/03/2018,7,Other,600,600,600,
,21/03/2018,10,Other,500,500,500,
,23/03/2018,8,Other,500,500,500,
,24/03/2018,8,Other,500,500,500,
,25/03/2018,7,Other,600,600,600,
,26/03/2018,8,Other,500,500,500,
,27/03/2018,12,Other,400,400,400,
,28/03/2018,12,Other,400,400,400,
,29/03/2018,12,Other,400,400,400,
,30/03/2018,12,Other,400,400,400,
Udaipur(F&V),01/03/2018,11.8,Other,500,1500,1000,
,05/03/2018,12.1,Other,600,1200,900,
,06/03/2018,1,Other,800,2000,1400,
,07/03/2018,9.9,Other,500,2000,1250,
,08/03/2018,8.5,Other,500,2000,1250,
,09/03/2018,9.1,Other,800,2000,1400,
,10/03/2018,11.7,Other,500,1800,1150,
,12/03/2018,11.5,Other,800,2000,1400,
,13/03/2018,0.8,Other,500,2000,1250,
,15/03/2018,12.3,Other,800,2000,1400,
,16/03/2018,11.4,Other,400,1600,1000,
,22/03/2018,11.3,Other,500,2000,1250,
,23/03/2018,9.2,Other,500,2000,1250,
,24/03/2018,8,Other,500,1600,1050,
,26/03/2018,9.7,Other,500,1500,1000,
,27/03/2018,9.8,Other,500,1500,1000,
,28/03/2018,10,Other,600,1700,1150,
,29/03/2018,10.7,Other,500,1800,1150,
,30/03/2018,13.1,Other,600,1800,1200,
,31/03/2018,14.5,Other,500,2000,1250,
