Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/01/2019,2.5,Other,500,1200,900,
,02/01/2019,5.8,Other,500,1400,1000,
,03/01/2019,5.9,Other,500,1200,950,
,04/01/2019,7.1,Other,500,1400,1000,
,05/01/2019,6.1,Other,500,1200,950,
,06/01/2019,4.2,Other,500,1200,1000,
,07/01/2019,8.5,Other,500,1300,900,
,08/01/2019,7.5,Other,500,1200,950,
,09/01/2019,8.6,Other,400,1200,850,
,10/01/2019,3.7,Other,500,1200,900,
,11/01/2019,5.6,Other,500,1300,1000,
,12/01/2019,4,Other,500,1200,900,
,13/01/2019,6.5,Other,500,1300,1000,
,14/01/2019,6.4,Other,500,1200,950,
,15/01/2019,7.8,Other,500,1100,800,
,16/01/2019,7.1,Other,500,1000,850,
,17/01/2019,6.9, ,NR,NR,NR,
,18/01/2019,6.6,Other,400,1000,700,
,19/01/2019,10.5,Other,500,1200,900,
,20/01/2019,8,Other,500,1200,1000,
,22/01/2019,9.7,Other,500,1100,800,
,23/01/2019,13.1,Other,300,700,500,
,24/01/2019,4.8,Other,200,500,350,
,25/01/2019,3.4,Other,200,400,300,
,26/01/2019,12.5,Other,300,500,400,
,28/01/2019,7,Other,300,700,500,
,29/01/2019,4.2,Other,300,700,500,
,30/01/2019,10.9,Other,300,1000,650,
,31/01/2019,6.1,Other,200,800,500,
Alwar(FV),01/01/2019,1.9,Other,1300,1500,1400,
,02/01/2019,2.4,Other,1300,1500,1400,
,03/01/2019,3.9,Other,1200,1500,1350,
,04/01/2019,3.5,Other,1000,1300,1150,
,05/01/2019,0.4,Other,1100,1400,1250,
,06/01/2019,3,Other,1100,1300,1200,
,07/01/2019,2.1,Other,1000,1300,1150,
,08/01/2019,4.5,Other,1300,1600,1450,
,09/01/2019,4.2,Other,1200,1600,1400,
,13/01/2019,2.3,Other,1100,1600,1350,
,15/01/2019,2.2,Other,1200,1500,1350,
,18/01/2019,4.5,Other,1000,1300,1150,
,19/01/2019,5,Other,1000,1400,1200,
,20/01/2019,4.2,Other,1000,1300,1150,
,22/01/2019,4.2,Other,1000,1300,1150,
,23/01/2019,8.1,Other,700,1000,850,
,24/01/2019,2.7,Other,600,900,750,
,25/01/2019,4.6,Other,700,1000,850,
,26/01/2019,7.1,Other,800,1200,1000,
,27/01/2019,3.5,Other,700,1000,850,
,28/01/2019,3.8,Other,600,1000,800,
,29/01/2019,6.3,Other,600,1000,800,
Chittorgarh,01/01/2019,2,Other,1500,2000,1800,
,02/01/2019,7.5,Other,1200,1800,1500,
,03/01/2019,3.5,Other,1500,2000,1800,
,04/01/2019,5.5,Other,1800,2000,1900,
,07/01/2019,3.5,Other,1800,2000,1900,
,08/01/2019,2.5,Other,1500,2000,1800,
,10/01/2019,3,Other,1500,2000,1800,
,11/01/2019,7.5,Other,1400,1800,1600,
,12/01/2019,7.5,Other,1500,2000,1800,
,13/01/2019,5,Other,1500,2000,1800,
,14/01/2019,5,Other,1500,1800,1650,
,16/01/2019,7.5,Other,1500,2000,1800,
,17/01/2019,7.5,Other,1500,1600,1550,
,18/01/2019,7.5,Other,1000,1500,1300,
,19/01/2019,8.5,Other,1000,1800,1400,
,20/01/2019,9,Other,1500,2000,1800,
