Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/11/2019,22.1,Other,800,1600,1300,
,02/11/2019,21.4,Other,800,1800,1400,
,03/11/2019,20,Other,800,2000,1500,
,04/11/2019,15.5,Other,800,2200,1600,
,05/11/2019,13.8,Other,800,2000,1400,
,06/11/2019,7.8,Other,900,2000,1450,
,07/11/2019,6.1,Other,800,2000,1400,
,08/11/2019,3,Other,700,1500,1100,
,10/11/2019,19,Other,700,2000,1400,
,11/11/2019,14.5,Other,800,2100,1450,
,13/11/2019,6.8,Other,1000,2200,1600,
,14/11/2019,6.5,Other,1000,2500,1800,
,15/11/2019,12.8,Other,700,2000,1350,
,16/11/2019,12.7,Other,700,1800,1300,
,17/11/2019,18,Other,800,2000,1400,
,18/11/2019,9.4,Other,800,2000,1500,
,19/11/2019,5.9,Other,800,2000,1400,
,20/11/2019,7.3,Other,800,2000,1500,
,21/11/2019,10.7,Other,700,1800,1300,
,22/11/2019,7.9,Other,800,2000,1400,
,23/11/2019,14.3,Other,1000,2200,1600,
,24/11/2019,17.4,Other,1000,2500,1800,
,25/11/2019,9.2,Other,1000,2400,1700,
,26/11/2019,10.7,Other,900,2200,1600,
,27/11/2019,12.3,Other,1000,2200,1600,
,28/11/2019,13.3,Other,1000,2500,1800,
,29/11/2019,13.7,Other,1500,2500,2000,
,30/11/2019,14.8,Other,900,2400,1700,
Alwar(FV),01/11/2019,7,Other,1200,1800,1500,
,02/11/2019,13.6,Other,1300,2200,1750,
,03/11/2019,6.8,Other,1300,2300,1800,
,05/11/2019,4.3,Other,1200,1800,1500,
,07/11/2019,5.6,Other,1000,1600,1300,
,08/11/2019,4.7,Other,1000,1500,1250,
,09/11/2019,5.9,Other,1000,1400,1200,
,10/11/2019,4.6,Other,1000,1400,1200,
,11/11/2019,4.8,Other,1000,1400,1200,
,13/11/2019,2.3,Other,1000,1400,1200,
,14/11/2019,3.7, ,NR,NR,NR,
,15/11/2019,1.8,Other,900,1400,1150,
,18/11/2019,7.6,Other,1200,1800,1500,
,19/11/2019,2,Other,1200,2000,1600,
,20/11/2019,5.4,Other,1400,2200,1800,
,21/11/2019,1.5,Other,1300,2000,1650,
,22/11/2019,4.2,Other,1500,2200,1850,
,23/11/2019,4.6,Other,1600,2400,2000,
,24/11/2019,2.4,Other,1600,2500,2050,
,25/11/2019,2,Other,1600,2600,2100,
,26/11/2019,1.6,Other,1800,2600,2200,
,27/11/2019,1.5,Other,1600,2600,2100,
,28/11/2019,2.5,Other,1500,2800,2150,
,29/11/2019,1.8,Other,1600,2800,2200,
,30/11/2019,2.1,Other,1500,2800,2150,
Bikaner(F&V),05/11/2019,21.3,Other,600,1000,800,
,06/11/2019,15.3,Other,600,1000,800,
,07/11/2019,17.5,Other,600,1000,800,
,08/11/2019,21.5,Other,700,900,800,
,09/11/2019,29.8,Other,700,900,800,
,11/11/2019,13.6,Other,1400,1600,1500,
,12/11/2019,11.2,Other,1800,2200,2000,
,13/11/2019,14.7,Other,1400,1600,1500,
,14/11/2019,15.8,Other,1200,1600,1400,
,15/11/2019,10.8,Other,1400,1600,1500,
,25/11/2019,14.8,Other,1200,1600,1400,
,26/11/2019,15.5,Other,1400,1600,1500,
,27/11/2019,17,Other,1200,1600,1400,
,28/11/2019,11.4,Other,1400,1600,1500,
,29/11/2019,16.8,Other,1400,1600,1500,
Chittorgarh,03/11/2019,7.5,Other,1000,1500,1400,
,04/11/2019,7.5,Other,1000,1500,1200,
,05/11/2019,5.2,Other,1200,1500,1400,
,06/11/2019,7.5,Other,1000,1200,1100,
,08/11/2019,7.5,Other,1000,1200,1100,
,11/11/2019,8,Other,1200,1500,1400,
,13/11/2019,7.5,Other,1500,2000,1800,
,15/11/2019,5.5,Other,1000,1500,1300,
,16/11/2019,7.5,Other,1500,2000,1800,
,17/11/2019,8,Other,2000,3000,2500,
,18/11/2019,5.5,Other,1500,2500,2000,
,19/11/2019,7,Other,2000,3000,2500,
,20/11/2019,8,Other,2000,3000,2500,
,21/11/2019,7.5,Other,1800,3000,2500,
,22/11/2019,8,Other,3000,4000,3500,
,23/11/2019,8,Other,4000,4500,4200,
,24/11/2019,8, ,NR,NR,NR,
,25/11/2019,6.5, ,NR,NR,NR,
,27/11/2019,7.5, ,NR,NR,NR,
,28/11/2019,7.7, ,NR,NR,NR,
