Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bowenpally,01/07/2018,13,Cauliflower,1500,3500,3000,
,02/07/2018,24,Cauliflower,1500,3500,3000,
,04/07/2018,11.1,Cauliflower,2000,4000,3500,
,05/07/2018,17.9,Cauliflower,1500,3500,3000,
,06/07/2018,10.4,Cauliflower,1000,4000,3000,
,07/07/2018,18.3,Cauliflower,2000,4000,3500,
,08/07/2018,21.1,Cauliflower,1000,3000,2500,
,09/07/2018,21.9,Cauliflower,1000,3000,2500,
,10/07/2018,11.3,Cauliflower,1000,2500,2000,
,11/07/2018,21.1,Cauliflower,1000,3000,2500,
,12/07/2018,22.3,Cauliflower,1000,3000,2500,
,14/07/2018,26.1,Cauliflower,1000,3000,2500,
,16/07/2018,25.5,Cauliflower,1000,3000,2500,
,17/07/2018,12.9,Cauliflower,1000,3000,2500,
,19/07/2018,23.4,Cauliflower,1000,3000,2500,
,20/07/2018,16.8,Cauliflower,1000,3000,2500,
,21/07/2018,16.9,Cauliflower,1000,3000,2500,
,22/07/2018,37.6,Cauliflower,1000,2500,2000,
,23/07/2018,30.8,Cauliflower,1000,2500,2000,
,24/07/2018,24.2,Cauliflower,1000,2500,1800,
,25/07/2018,44.5,Cauliflower,500,2500,1500,
,26/07/2018,34.9,Cauliflower,1000,2000,1500,
,27/07/2018,36.8,Cauliflower,300,2000,1150,
,28/07/2018,33.1,Cauliflower,300,2000,1150,
,29/07/2018,30,Cauliflower,500,2000,1250,
,30/07/2018,32.8,Cauliflower,300,2000,1600,
,31/07/2018,42.4,Cauliflower,500,2000,1500,
Gudimalkapur,01/07/2018,7,Cauliflower,1000,2000,1500,
,02/07/2018,3,Cauliflower,1000,3000,2000,
,03/07/2018,3.1,Cauliflower,2000,4000,3000,
,04/07/2018,7.1,Cauliflower,1000,3000,2000,
,05/07/2018,9.7,Cauliflower,1000,3000,2000,
,06/07/2018,8,Cauliflower,1000,3600,2300,
,07/07/2018,5.9,Cauliflower,1000,4000,2500,
,08/07/2018,10,Cauliflower,1000,4000,2500,
,09/07/2018,10.3,Cauliflower,1000,4000,2500,
,10/07/2018,9.6,Cauliflower,1000,3500,2200,
,11/07/2018,7.1,Cauliflower,1000,3000,2000,
,12/07/2018,6.9,Cauliflower,1000,3000,2000,
,14/07/2018,9.1,Cauliflower,1000,3000,2000,
,15/07/2018,12.1,Cauliflower,1000,2500,1700,
,16/07/2018,9.4,Cauliflower,1000,2500,1700,
,17/07/2018,7.4,Cauliflower,1000,3000,2000,
,18/07/2018,12,Cauliflower,1000,1500,1300,
,19/07/2018,7,Cauliflower,1000,1500,1200,
,20/07/2018,7,Cauliflower,1000,1500,1200,
,21/07/2018,16.4,Cauliflower,1000,1500,1200,
,23/07/2018,14.9,Cauliflower,1000,1500,1200,
,24/07/2018,7.1,Cauliflower,1000,3000,2000,
,25/07/2018,16.6,Cauliflower,1000,3000,2000,
,26/07/2018,10.5,Cauliflower,1000,2000,1500,
,27/07/2018,13.8,Cauliflower,1000,1500,1200,
,28/07/2018,14.3,Cauliflower,500,1500,1000,
,29/07/2018,13,Cauliflower,800,1000,900,
,30/07/2018,6,Cauliflower,600,800,700,
,31/07/2018,9.9,Cauliflower,1000,2000,1500,
L B Nagar,01/07/2018,0.2,Cauliflower,1500,1500,1500,
,02/07/2018,0.7,Cauliflower,2000,2000,2000,
,05/07/2018,0.7,Cauliflower,1500,2000,1750,
,06/07/2018,2,Cauliflower,2000,3000,2500,
,07/07/2018,0.6,Cauliflower,2000,2500,2250,
,08/07/2018,2.7,Cauliflower,1000,2000,1500,
,09/07/2018,0.7,Cauliflower,1500,2000,1750,
,10/07/2018,1,Cauliflower,1000,2000,1500,
,11/07/2018,0.5,Cauliflower,1000,2500,1750,
,12/07/2018,1.6,Cauliflower,1000,2000,1500,
,16/07/2018,1.1,Cauliflower,1200,2000,1600,
,18/07/2018,1.7,Cauliflower,1000,2000,1500,
,19/07/2018,1.5,Cauliflower,1000,1500,1250,
,20/07/2018,1.1,Cauliflower,1000,1500,1250,
,21/07/2018,1.6,Cauliflower,1000,1500,1250,
,22/07/2018,2.1,Cauliflower,1000,1500,1250,
,23/07/2018,0.9,Cauliflower,1000,2000,1500,
,24/07/2018,1.6,Cauliflower,1000,2000,1500,
,25/07/2018,2.8,Cauliflower,1000,2000,1500,
,26/07/2018,3.1,Cauliflower,1000,1800,1400,
,27/07/2018,2.3,Cauliflower,1200,2000,1600,
,28/07/2018,3.8,Cauliflower,1000,2000,1500,
,30/07/2018,5.6,Cauliflower,1000,2000,1500,
,31/07/2018,4.3,Cauliflower,1000,1500,1250,
