Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/08/2019,20,Cauliflower,1400,1420,1410,
,03/08/2019,23,Cauliflower,1440,1449,1445,
,06/08/2019,32,Cauliflower,1550,1650,1600,
,07/08/2019,16,Cauliflower,1400,1500,1440,
,09/08/2019,21,Cauliflower,1450,1510,1500,
,10/08/2019,14,Cauliflower,1420,1440,1430,
Achnera,02/08/2019,0.8,Cauliflower,2450,2550,2500,
,03/08/2019,0.9,Cauliflower,2450,2550,2500,
,04/08/2019,0.8,Cauliflower,2500,2600,2550,
,05/08/2019,0.8,Cauliflower,2500,2600,2550,
,06/08/2019,0.9,Cauliflower,2400,2500,2450,
,07/08/2019,1,Cauliflower,2450,2550,2500,
,09/08/2019,1,Cauliflower,2400,2500,2450,
,10/08/2019,1.1,Cauliflower,2400,2500,2450,
,11/08/2019,1.1, ,NR,NR,NR,
,12/08/2019,1.1, ,NR,NR,NR,
,13/08/2019,1.1,Cauliflower,2350,2450,2400,
,14/08/2019,1.2,Cauliflower,2350,2450,2400,
,16/08/2019,1,Cauliflower,2600,2800,2700,
,17/08/2019,0.9,Cauliflower,2600,2800,2700,
,18/08/2019,0.9,Cauliflower,2750,2850,2800,
,19/08/2019,0.8,Cauliflower,2800,2900,2850,
,20/08/2019,1,Cauliflower,2650,2850,2750,
,21/08/2019,0.9,Cauliflower,2750,2850,2800,
,23/08/2019,1,Cauliflower,2750,2850,2800,
,24/08/2019,1,Cauliflower,2700,2800,2750,
,25/08/2019,0.9,Cauliflower,2650,2750,2700,
,26/08/2019,1,Cauliflower,2700,2800,2750,
,27/08/2019,1,Cauliflower,2800,2900,2850,
,28/08/2019,0.9,Cauliflower,2800,2900,2850,
,30/08/2019,0.9,Cauliflower,2840,2920,2880,
,31/08/2019,0.8,Cauliflower,2800,2900,2850,
Agra,02/08/2019,22,Cauliflower,2900,3050,2980,
,03/08/2019,17,Cauliflower,2900,3100,3000,
,05/08/2019,12,Cauliflower,3000,3100,3050,
,06/08/2019,5,Cauliflower,3000,3200,3100,
,07/08/2019,11,Cauliflower,3000,3200,3100,
,08/08/2019,10,Cauliflower,3050,3200,3120,
,09/08/2019,16,Cauliflower,3050,3250,3150,
,12/08/2019,14,Cauliflower,3150,3350,3250,
,13/08/2019,19,Cauliflower,3100,3250,3180,
,14/08/2019,20,Cauliflower,2700,2900,2800,
,16/08/2019,18,Cauliflower,2900,3100,3000,
,17/08/2019,17.5,Cauliflower,2900,3150,3050,
,19/08/2019,19,Cauliflower,3150,3350,3250,
,20/08/2019,21,Cauliflower,3100,3300,3200,
,21/08/2019,22.5,Cauliflower,3100,3250,3180,
,22/08/2019,20,Cauliflower,3200,3400,3300,
,23/08/2019,22,Cauliflower,3150,3350,3250,
,24/08/2019,25,Cauliflower,3250,3450,3370,
,26/08/2019,28,Cauliflower,3280,3400,3350,
,27/08/2019,30,Cauliflower,3180,3380,3300,
,28/08/2019,25,Cauliflower,3400,3700,3550,
,29/08/2019,20,Cauliflower,3400,3600,3500,
,30/08/2019,19,Cauliflower,3300,3550,3450,
,31/08/2019,20,Cauliflower,3300,3500,3420,
Aliganj,01/08/2019,0.2,Cauliflower,1400,1600,1500,
,02/08/2019,0.2,Cauliflower,1400,1600,1500,
,03/08/2019,0.2,Cauliflower,1200,1400,1300,
,04/08/2019,0.3,Cauliflower,1400,1600,1500,
