Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Thara(Shihori),23/03/2019,0.22,Cotton Seed,5000,5030,5015,
Vadali,25/03/2019,1, ,NR,NR,NR,
Vijapur,01/03/2019,2760,Cotton Seed,4950,5520,5450,
,05/03/2019,1875,Cotton Seed,5055,5600,5500,
,06/03/2019,1340,Cotton Seed,5100,5600,5500,
,07/03/2019,1100,Cotton Seed,5450,5605,5550,
,08/03/2019,1350,Cotton Seed,5400,5580,5500,
,12/03/2019,1825,Cotton Seed,5200,5730,5675,
,13/03/2019,1097,Cotton Seed,5255,5710,5650,
,14/03/2019,700,Cotton Seed,5250,5755,5700,
,18/03/2019,600,Cotton Seed,5450,5900,5850,
,22/03/2019,400,Cotton Seed,5750,5965,5925,
,23/03/2019,1025,Cotton Seed,5655,5985,5925,
,25/03/2019,1312,Cotton Seed,5605,6055,5975,
Vijapur(Kukarvada),06/03/2019,25.6,Other,4800,5550,5425,
,07/03/2019,39.4,Other,4900,5575,5450,
,08/03/2019,42.2,Other,4900,5575,5450,
,11/03/2019,2.2,Other,1800,2325,2150,
,14/03/2019,24,Other,4750,5720,5100,
,18/03/2019,9.6,Other,5000,5855,5675,
,22/03/2019,8.5,Other,4950,5940,5750,
