Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/02/2018,545,Kapas (Adoni),3589,5141,4569,
,02/02/2018,608.8,Kapas (Adoni),3519,5174,4566,
,03/02/2018,236.5,Kapas (Adoni),3589,5189,4659,
,05/02/2018,587.7,Kapas (Adoni),3597,5185,4619,
,06/02/2018,467.3,Kapas (Adoni),3501,5180,4458,
,07/02/2018,438.1,Kapas (Adoni),3589,5189,4469,
,09/02/2018,938.7,Kapas (Adoni),3501,5161,4419,
,10/02/2018,446.3,Kapas (Adoni),3587,5194,4569,
,12/02/2018,782.5,Kapas (Adoni),3589,5215,4569,
,16/02/2018,935.5,Kapas (Adoni),3500,5088,4359,
,17/02/2018,613.7,Kapas (Adoni),3500,5085,4359,
,19/02/2018,1151.3,Kapas (Adoni),3469,5059,4339,
,20/02/2018,772.8,Kapas (Adoni),3450,5030,4339,
,21/02/2018,506,Kapas (Adoni),3440,5057,4339,
,22/02/2018,275,Kapas (Adoni),3469,5075,4339,
,23/02/2018,444.2,Kapas (Adoni),3469,5077,4339,
,24/02/2018,357,Kapas (Adoni),3419,5086,4330,
,26/02/2018,569.7,Kapas (Adoni),3469,5097,4330,
,27/02/2018,480,Kapas (Adoni),3469,5117,4349,
,28/02/2018,389.3,Kapas (Adoni),3469,5189,4339,
Chintalapudi,01/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,02/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,03/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,04/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,05/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,06/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,07/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,08/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,09/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,10/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,13/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,14/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,15/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,16/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,17/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,18/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,19/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,20/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,21/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,22/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,23/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,24/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,26/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
,27/02/2018,0.1,Kapas (Adoni),4320,4320,4320,
Hiramandalam,02/02/2018,14,Cotton (Unginned),4500,4700,4500,
,03/02/2018,14,Cotton (Unginned),4500,4700,4500,
,04/02/2018,42,Cotton (Unginned),4500,4700,4500,
,06/02/2018,14,Cotton (Unginned),4500,4700,4500,
,07/02/2018,14,Cotton (Unginned),4500,4700,4500,
,09/02/2018,43.5,Cotton (Unginned),4500,4700,4500,
,14/02/2018,46,Cotton (Unginned),4500,4700,4500,
,17/02/2018,71,Cotton (Unginned),4500,4700,4500,
,18/02/2018,13,Cotton (Unginned),4000,4500,4000,
,22/02/2018,14,Cotton (Unginned),4500,4700,4500,
,23/02/2018,13,Cotton (Unginned),4500,4700,4500,
,26/02/2018,12,Cotton (Unginned),4300,4500,4300,
,27/02/2018,12,Cotton (Unginned),4200,4300,4200,
,28/02/2018,13,Cotton (Unginned),4300,4600,4300,
Krosuru,01/02/2018,0.1,MCU 5,4200,4800,4500,
,02/02/2018,0.1,MCU 5,4200,4800,4600,
,03/02/2018,0.1,MCU 5,4150,4900,4500,
,04/02/2018,0.1,MCU 5,4100,4800,4500,
,05/02/2018,0.1,MCU 5,4200,4700,4500,
,06/02/2018,0.1,MCU 5,4200,4800,4500,
,07/02/2018,0.1,MCU 5,4200,4800,4600,
,08/02/2018,0.1,MCU 5,4100,4800,4500,
,09/02/2018,0.1,MCU 5,4200,5000,4600,
,10/02/2018,0.1,MCU 5,4100,4600,4400,
,11/02/2018,0.1,MCU 5,4200,4800,4500,
,12/02/2018,0.1,MCU 5,4200,4800,4600,
,13/02/2018,0.1,MCU 5,4200,5000,4600,
,14/02/2018,0.1,MCU 5,4300,4700,4500,
,15/02/2018,0.1,MCU 5,4200,4800,4500,
,16/02/2018,0.1,MCU 5,4200,5000,4600,
,17/02/2018,0.1,MCU 5,4200,4800,4500,
,18/02/2018,0.1,MCU 5,4200,4800,4500,
