Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,02/12/2019,192,GCH,4700,5200,5000,
,03/12/2019,335,GCH,4800,5600,5200,
,,,Other,5395,5550,5486,
,04/12/2019,245,GCH,4950,5100,5000,
,,,Other,5345,5550,5507,
,05/12/2019,354,GCH,4750,5250,5100,
,,,Other,5395,5535,5505,
,06/12/2019,547,GCH,4600,5600,5500,
,,,Other,5352,5544,5483,
,07/12/2019,253,GCH,4650,5250,5000,
,,,Other,5356,5544,5479,
,09/12/2019,563,GCH,4800,5600,5300,
,10/12/2019,475,GCH,4551,5610,5000,
,,,Other,5389,5539,5475,
,11/12/2019,219,GCH,4500,5200,5050,
,,,Other,5345,5544,5491,
,12/12/2019,111,Other,5345,5544,5514,
,13/12/2019,95,GCH,4800,5200,5000,
,,,Other,5383,5544,5490,
,16/12/2019,811,GCH,4050,5600,5000,
,17/12/2019,288,GCH,4200,5200,5000,
,,,Other,5400,5544,5501,
,18/12/2019,160,GCH,4100,5400,5350,
,,,Other,5411,5544,5506,
,19/12/2019,638,GCH,4500,5600,5400,
,,,Other,5367,5544,5489,
,20/12/2019,291,GCH,3800,5200,4900,
,,,Other,5400,5544,5512,
,21/12/2019,174,GCH,4825,5100,4950,
,,,Other,5444,5550,5506,
,23/12/2019,147,GCH,4600,5200,5150,
,24/12/2019,330,GCH,4400,5550,5000,
,,,Other,5455,5550,5512,
,26/12/2019,1048,GCH,4140,5600,5500,
,,,Other,5366,5550,5511,
,27/12/2019,145,GCH,4800,5150,5100,
,,,Other,5450,5544,5519,
,30/12/2019,1084,GCH,3550,5600,5000,
,,,Other,5472,5550,5526,
,31/12/2019,386,GCH,4600,5600,5100,
,,,Other,5450,5550,5531,
Arasikere,05/12/2019,13,Varalakshmi (Ginned),6250,6250,6250,
,06/12/2019,12,Varalakshmi (Ginned),4600,4600,4600,
,09/12/2019,11,Varalakshmi (Ginned),5000,5000,5000,
,12/12/2019,13,Varalakshmi (Ginned),6250,6250,6250,
,16/12/2019,10,Varalakshmi (Ginned),4600,4600,4600,
,23/12/2019,11,Varalakshmi (Ginned),4700,4700,4700,
,24/12/2019,23,Varalakshmi (Ginned),4600,4700,4600,
,26/12/2019,11,Varalakshmi (Ginned),4500,4500,4500,
,31/12/2019,11,Varalakshmi (Ginned),4200,4200,4200,
Bailahongal,03/12/2019,39,LD-327,4209,5269,5000,
,,,Varalakshmi (Ginned),6289,6569,6455,
,10/12/2019,27,LD-327,5070,5489,5298,
,,,Varalakshmi (Ginned),6452,6859,6727,
,14/12/2019,20,LD-327,4921,5529,5333,
,,,Varalakshmi (Ginned),6462,6913,6843,
,17/12/2019,58,LD-327,4901,5449,5274,
