Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalpur,28/04/2020,64,Other,5350,5375,5363,
Akola,30/04/2020,42,Desi,5250,5355,5350,
Ashti,30/04/2020,57,Other,5355,5355,5355,
Bhadrawati,30/04/2020,202,Other,2300,5328,3814,
Hadgaon(Tamsa),25/04/2020,4,Other,3200,3400,3300,
,26/04/2020,4,Other,3200,3400,3300,
,30/04/2020,22,Other,4000,5140,4400,
Himalyatnagar,18/04/2020,10,Other,2700,2900,2800,
,19/04/2020,17,Other,2700,3000,2950,
,26/04/2020,3,Other,2800,3000,2900,
Parshiwani,04/04/2020,2,H-4(A) 27mm FIne,1000,2000,1500,
Samudrapur,26/04/2020,17,Other,3000,4150,3900,
Varora,20/04/2020,24,Desi,5140,5247,5194,
,21/04/2020,33,Desi,5194,5247,5221,
,22/04/2020,87,Desi,4300,5247,5194,
,23/04/2020,89,Desi,4300,5247,5140,
,25/04/2020,49,Desi,3500,4200,3850,
Varud,21/04/2020,67,Other,5450,5450,5450,
,22/04/2020,67,Other,5450,5450,5450,
,28/04/2020,86,Other,5300,5550,5350,
Yawal,04/04/2020,33,Other,4150,5100,4530,
,18/04/2020,3,Other,4200,5120,4540,
