Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alwar,02/12/2019,121.2,Other,4650,5300,5100,
,03/12/2019,82.3,Other,4500,5300,5100,
,04/12/2019,101.7,Other,4600,5250,5050,
,05/12/2019,88.8,Other,4600,5250,5050,
,06/12/2019,90.7,Other,4600,5300,5100,
,07/12/2019,86.6,Other,4600,5300,5100,
,09/12/2019,111.6,Other,4850,5370,5200,
,10/12/2019,99.9,Other,4800,5340,5140,
,11/12/2019,99,Other,4600,5300,5050,
,12/12/2019,57.8,Other,4500,5250,5050,
,13/12/2019,57.8,Other,4700,5300,5100,
,15/12/2019,72.5,Other,4700,5300,5100,
,16/12/2019,96.4,Other,4700,5275,5100,
,17/12/2019,62.6,Other,4500,5200,5000,
,18/12/2019,55.5,Other,4500,5200,5000,
,19/12/2019,49.3,Other,4500,5150,4950,
,20/12/2019,44,Other,4600,5250,5050,
,21/12/2019,33.6,Other,4600,5250,5050,
,23/12/2019,55.9,Other,4600,5275,5100,
,24/12/2019,41.2,Other,4550,5300,5100,
,25/12/2019,63.8,Other,4600,5300,5100,
,26/12/2019,41.8,Other,4600,5300,5100,
,27/12/2019,62.3,Other,4600,5300,5100,
,28/12/2019,21.2,Other,4600,5300,5100,
,30/12/2019,38.4,Other,4650,5325,5125,
,31/12/2019,30.4,Other,4650,5325,5125,
Anoopgarh,02/12/2019,332,American,4950,5040,4995,
,,,Other,5200,5350,5275,
,03/12/2019,277.3,American,4950,5012,4981,
,,,Other,5100,5430,5265,
,04/12/2019,336.5,American,4932,5000,4966,
,,,Other,5300,5421,5361,
,06/12/2019,421.3,American,4890,5030,4960,
,,,Other,5250,5550,5400,
,07/12/2019,393.8,American,4990,5091,5011,
,,,Other,5211,5400,5355,
,09/12/2019,496.2,American,4999,5171,5085,
,,,Other,5300,5500,5400,
,11/12/2019,738,American,4950,5070,5010,
,,,Other,5300,5450,5375,
,13/12/2019,300.7,American,5000,5112,5056,
,,,Other,5200,5411,5355,
,14/12/2019,462.3,American,5000,5100,5050,
,,,Other,5000,5350,5175,
,16/12/2019,613.6,American,4950,5071,5011,
,,,Other,5191,5501,5346,
,17/12/2019,418,American,4980,5060,5020,
,,,Other,5200,5592,5396,
,18/12/2019,522.5,American,4971,5041,5006,
,,,Other,5400,5631,5516,
,19/12/2019,593.1,American,4880,5015,4948,
,,,Other,5350,5591,5471,
,20/12/2019,548.5,American,4990,5122,5056,
,,,Other,5499,6000,5700,
,21/12/2019,344.7,American,4990,5122,5026,
,,,Other,5400,6000,5700,
,24/12/2019,493.8,American,5000,5172,5086,
,,,Other,5501,5661,5581,
,25/12/2019,506.4,American,4970,5100,5037,
,,,Other,5500,5661,5581,
,26/12/2019,367.2,American,4980,5081,5031,
,,,Other,5500,5674,5587,
,27/12/2019,503.7,American,4991,5160,5076,
,,,Other,5500,5800,5650,
,30/12/2019,580.2,American,5001,5153,5077,
,,,Other,5611,5748,5680,
,31/12/2019,428.6,American,4970,5200,5085,
,,,Other,5521,5690,5606,
Bhadara,02/12/2019,11,American,5125,5140,5133,
,04/12/2019,20.2,American,5090,5110,5100,
,05/12/2019,25.6,American,5050,5115,5083,
,06/12/2019,68.7,American,5050,5150,5100,
,07/12/2019,13,American,5125,5190,5158,
,09/12/2019,10.5,American,5200,5240,5220,
,10/12/2019,10.7,American,5240,5260,5250,
,14/12/2019,10,American,5215,5220,5218,
,16/12/2019,16.3,American,5190,5210,5200,
,18/12/2019,6.1,American,5200,5205,5203,
,20/12/2019,11,American,5200,5215,5208,
,21/12/2019,10.6,American,5235,5245,5240,
,23/12/2019,75.3,American,5050,5270,5160,
,24/12/2019,9.6,American,5262,5280,5271,
,30/12/2019,8.9,American,5110,5290,5200,
Bijay Nagar,02/12/2019,80,American,4430,5100,5050,
,03/12/2019,105,American,4200,5161,5100,
,04/12/2019,104.3,American,4400,5161,5100,
,05/12/2019,90,American,4245,5161,5100,
,06/12/2019,90,American,4000,5208,5100,
,07/12/2019,78,American,4325,5140,5100,
,09/12/2019,61,American,4380,5150,5100,
,10/12/2019,80,American,4091,5260,5200,
,11/12/2019,94,American,4200,5240,5200,
,12/12/2019,90,American,4280,5261,5200,
,13/12/2019,70.6,American,3850,5212,5150,
,14/12/2019,90,American,4400,5200,5100,
,16/12/2019,105,American,4900,5200,5100,
,17/12/2019,97,American,4000,5158,5100,
,18/12/2019,75,American,4000,5182,5150,
,19/12/2019,65,American,4150,5146,5100,
,20/12/2019,66,American,4100,5051,5000,
,21/12/2019,58,American,4000,5141,5100,
,23/12/2019,70,American,4000,5151,5100,
,24/12/2019,77,American,4000,5225,5150,
,25/12/2019,81.3,American,4000,5200,5100,
,26/12/2019,89.4,American,4100,5200,5100,
,27/12/2019,65, ,NR,NR,NR,
,28/12/2019,65, ,NR,NR,NR,
,30/12/2019,65,American,4000,5100,5050,
,31/12/2019,65,American,4200,5216,5100,
Bilara,01/12/2019,12.9,Other,4700,5260,4980,
,02/12/2019,16.1,Other,4825,5261,5043,
,03/12/2019,11.1,Other,5051,5322,5186,
,05/12/2019,33.3,Other,4612,5401,5006,
,06/12/2019,11.9,Other,4700,5265,4982,
,07/12/2019,10.6,Other,5000,5400,5200,
,08/12/2019,10.6,Other,4600,5326,4963,
,09/12/2019,16.8,Other,5200,5480,5340,
,10/12/2019,4.3,Other,5100,5440,5270,
,12/12/2019,3,Other,5100,5300,5200,
,13/12/2019,29.1,Other,5100,5300,5200,
,14/12/2019,7.4,Other,4925,5421,5173,
,15/12/2019,9.4,Other,5100,5380,5240,
,16/12/2019,5,Other,5100,5425,5262,
,17/12/2019,10.8,Other,5050,5370,5210,
,19/12/2019,11.3,Other,5100,5400,5250,
,20/12/2019,32.7,Other,5100,5400,5250,
,21/12/2019,15.9,Other,5150,5459,5304,
,22/12/2019,6.5,Other,5100,5500,5300,
,23/12/2019,5,Other,5200,5500,5350,
,24/12/2019,36.6,Other,5200,5550,5375,
,26/12/2019,13.6,Other,5100,5460,5280,
,27/12/2019,29.2,Other,5100,5500,5300,
,28/12/2019,5.2,Other,5100,5525,5312,
,29/12/2019,3.9,Other,5100,5405,5252,
,30/12/2019,20.5,Other,5100,5415,5257,
,31/12/2019,0.8,Other,4900,5500,5200,
Gajsinghpur,02/12/2019,134.2,American,4100,4960,4765,
,,,Desi,5300,5311,5311,
,04/12/2019,230.7,American,4200,4950,4862,
,,,Desi,5231,5351,5351,
,05/12/2019,138.8,American,4308,4971,4871,
,,,Desi,5351,5351,5351,
,06/12/2019,182.1,American,4250,4970,4850,
,,,Desi,5251,5291,5291,
,07/12/2019,128.7,American,3800,5025,4859,
,,,Desi,5100,5353,5200,
,09/12/2019,198.7,American,4400,5086,4870,
,10/12/2019,188.9,American,4250,5031,4850,
