Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dindigul,04/12/2019,1,Cotton (Ginned),5150,5350,5250,
,09/12/2019,1,Cotton (Ginned),5150,5350,5250,
,10/12/2019,1.36,Cotton (Ginned),5250,5550,5350,
,11/12/2019,1,Cotton (Ginned),5250,5550,5350,
,13/12/2019,0.5,Cotton (Ginned),5150,5350,5250,
,17/12/2019,1,Cotton (Ginned),5150,5350,5250,
,18/12/2019,1,Cotton (Ginned),5250,5550,5350,
,19/12/2019,1,Cotton (Ginned),5150,5350,5250,
,23/12/2019,5,Cotton (Ginned),5150,5350,5250,
,24/12/2019,1,Cotton (Ginned),5250,5550,5350,
,28/12/2019,1,Cotton (Ginned),5200,5550,5350,
,30/12/2019,1,Cotton (Ginned),5200,5500,5300,
Gangavalli,16/12/2019,2.5,DCH-32(Unginned),4000,4400,4200,
,17/12/2019,2,Other,4000,4400,4200,
,18/12/2019,1.5,Other,4200,4400,4300,
,19/12/2019,3,DCH-32(Unginned),4300,4500,4400,
,20/12/2019,4,DCH-32(Unginned),4300,4500,4400,
,23/12/2019,10,GCH,4300,4500,4400,
,24/12/2019,12,GCH,4300,4500,4400,
,26/12/2019,15,GCH,4300,4500,4400,
,28/12/2019,10,GCH,4300,4500,4400,
,30/12/2019,15,Other,4300,4500,4400,
,31/12/2019,10,GCH,4300,4500,4400,
Kolathur,02/12/2019,10,Other,4300,4500,4400,
,13/12/2019,0.01,Other,3600,3800,3700,
,16/12/2019,1,Other,3600,3800,3700,
,23/12/2019,12,Other,3900,4100,4000,
,30/12/2019,20,Other,3900,4100,4000,
Koradacheri,27/12/2019,0.01,MCU-7,3900,5200,5000,
Kudavasal,02/12/2019,0.01,MCU-7,4500,5200,5000,
,03/12/2019,0.01,MCU-7,4000,5200,5000,
,04/12/2019,0.01,MCU-7,4500,5200,5000,
,05/12/2019,0.01,MCU-7,4000,5200,5000,
,06/12/2019,0.01,MCU-7,3800,5200,5000,
,07/12/2019,0.01,MCU-7,3800,5200,5000,
,09/12/2019,0.01,MCU-7,3500,5200,5000,
,10/12/2019,0.01,MCU-7,3800,5200,5000,
,11/12/2019,0.01,MCU-7,3800,5200,5000,
,12/12/2019,0.01,MCU-7,4000,5200,5000,
,13/12/2019,0.01,MCU-7,4000,5200,5000,
,14/12/2019,0.01,MCU-7,4000,5200,4500,
,16/12/2019,0.01,MCU-7,3800,5200,5000,
