Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Haathras,11/08/2018,2.5,Desi,3600,3800,3750,
,13/08/2018,3.5,Desi,5200,5350,5300,
,14/08/2018,12.9,Desi,5000,5500,5325,
,16/08/2018,27.5,Desi,5000,5400,5250,
,18/08/2018,25,Desi,4850,5300,5100,
,21/08/2018,25,Desi,5100,5400,5200,
,23/08/2018,30.7,Desi,5200,5600,5500,
,24/08/2018,26,Desi,5100,5500,5400,
,25/08/2018,12.5,Desi,5000,5300,5200,
,27/08/2018,20,Desi,4850,5100,5000,
,28/08/2018,10,Desi,4750,5200,5000,
,29/08/2018,10,Desi,5500,5900,5750,
,30/08/2018,3.3,Desi,5200,5700,5500,
,31/08/2018,6.8,Desi,5300,5900,5600,
Khair,17/08/2018,9,Cotton (Unginned),5150,5300,5200,
,19/08/2018,6,Cotton (Unginned),5100,5300,5200,
,20/08/2018,7,Cotton (Unginned),5100,5300,5200,
,21/08/2018,9,Cotton (Unginned),5050,5250,5150,
,23/08/2018,7.5,Cotton (Unginned),5100,5300,5200,
,24/08/2018,5,Cotton (Unginned),5150,5300,5200,
,25/08/2018,6.5,Cotton (Unginned),5150,5350,5250,
,27/08/2018,8,Cotton (Unginned),5000,5250,5150,
,28/08/2018,5,Cotton (Unginned),5000,5250,5100,
,30/08/2018,4,Cotton (Unginned),4750,5150,4900,
,31/08/2018,5,Cotton (Unginned),4800,5000,4900,
Kosikalan,21/08/2018,8,RCH-2,5440,5550,5500,
,23/08/2018,8.5,RCH-2,5240,5470,5400,
,24/08/2018,9,RCH-2,5540,5650,5600,
,25/08/2018,8,RCH-2,5460,5560,5500,
,27/08/2018,7.5,RCH-2,5500,5600,5540,
,28/08/2018,9.5,RCH-2,5510,5610,5560,
,29/08/2018,10,RCH-2,5000,5270,5210,
,30/08/2018,10,RCH-2,5100,5300,5200,
,31/08/2018,12,RCH-2,5215,5340,5270,
