Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Burhanpur(F&V),07/12/2019,1.5,Gram Raw(Chholia),2200,3200,2700,
,10/12/2019,1,Gram Raw(Chholia),2000,3000,2500,
,12/12/2019,1,Gram Raw(Chholia),2200,3200,2800,
,17/12/2019,2,Gram Raw(Chholia),2200,3400,2600,
,18/12/2019,1,Gram Raw(Chholia),1600,2000,1800,
,19/12/2019,1,Gram Raw(Chholia),2200,3200,2800,
,20/12/2019,1,Gram Raw(Chholia),2000,3000,2500,
,21/12/2019,1,Gram Raw(Chholia),2200,3200,2800,
,22/12/2019,2,Gram Raw(Chholia),2200,3400,2800,
,24/12/2019,1,Gram Raw(Chholia),2000,3000,2600,
,25/12/2019,1,Gram Raw(Chholia),2000,3000,2500,
,27/12/2019,1,Gram Raw(Chholia),2300,3200,2800,
,29/12/2019,1,Gram Raw(Chholia),2000,3200,2800,
,30/12/2019,1,Gram Raw(Chholia),2200,3200,2700,
