Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alwar,02/04/2018,2,Other,3700,3750,3725,
,03/04/2018,2.5,Other,3650,3800,3725,
,04/04/2018,10.1,Other,3650,3800,3725,
,05/04/2018,0.2,Other,3650,3800,3725,
,11/04/2018,0.3,Other,3650,3750,3700,
,12/04/2018,1.3,Other,3600,3750,3700,
,13/04/2018,8.3,Other,3600,3750,3700,
,14/04/2018,2,Other,3600,3750,3700,
,16/04/2018,0.2,Other,3600,3750,3700,
,18/04/2018,1.1,Other,3600,3750,3700,
,19/04/2018,4.5,Other,3600,3750,3700,
,21/04/2018,0.3,Other,3650,3750,3700,
,23/04/2018,1.1,Other,3700,3850,3800,
,24/04/2018,1.7,Other,3700,3800,3750,
,25/04/2018,2.6,Other,3600,3750,3700,
,27/04/2018,6,Other,3700,3800,3750,
,28/04/2018,1.9,Other,3700,3800,3750,
Balotra,10/04/2018,2,Other,3800,3900,3850,
Bandikui,02/04/2018,0.3,Other,3300,3300,3300,
,06/04/2018,0.4,Other,3350,3700,3525,
,08/04/2018,0.3,Other,3300,3500,3400,
,09/04/2018,0.4,Other,3335,3480,3408,
,11/04/2018,0.1,Other,3500,3500,3500,
,12/04/2018,0.3,Other,3300,3350,3325,
,13/04/2018,0.1,Other,3100,3100,3100,
,14/04/2018,0.5,Other,3400,3400,3400,
,21/04/2018,0.1,Other,3680,3680,3680,
,22/04/2018,0.4,Other,3400,3665,3553,
,23/04/2018,0.3,Other,3150,3150,3150,
,25/04/2018,0.6,Other,2800,3540,3170,
,26/04/2018,0.1,Other,2900,2900,2900,
Baran,04/04/2018,0.2,Other,3501,3501,3501,
,19/04/2018,0.2,Other,3550,3550,3550,
Bayana,03/04/2018,1.5,Other,3600,3700,3650,
,05/04/2018,3.8,Other,3600,3800,3700,
,09/04/2018,3,Other,3600,3700,3650,
,11/04/2018,1.8,Other,3700,3700,3700,
,12/04/2018,1.7,Other,3400,3625,3600,
,13/04/2018,17.5,Other,3600,3600,3600,
,20/04/2018,3.3, ,NR,NR,NR,
Beawar,02/04/2018,1.5,Other,3800,3900,3850,
,05/04/2018,2,Other,3500,3750,3625,
,06/04/2018,4.5,Other,3700,3850,3775,
,07/04/2018,0.3,Other,3750,3850,3800,
,08/04/2018,3,Other,3750,3850,3800,
,09/04/2018,4,Other,3750,3850,3800,
,10/04/2018,7,Other,3700,3800,3750,
,11/04/2018,2.8,Other,3700,3800,3750,
,12/04/2018,1.8,Other,3650,3750,3700,
,13/04/2018,3.3,Other,3600,3625,3612,
,14/04/2018,8.4,Other,3700,3775,3737,
,15/04/2018,0.8,Other,3700,3775,3737,
,17/04/2018,9.4,Other,3600,3725,3662,
,19/04/2018,1.6,Other,3650,3775,3712,
,20/04/2018,2.5,Other,3600,3900,3750,
,21/04/2018,3.3, ,NR,NR,NR,
,22/04/2018,8.7, ,NR,NR,NR,
,23/04/2018,3.5, ,NR,NR,NR,
,24/04/2018,3.5,Other,3600,3900,3750,
,26/04/2018,5.8,Other,3600,3750,3675,
,27/04/2018,4.9,Other,3750,3800,3750,
,28/04/2018,3.4,Other,3700,3900,3800,
Bhadara,02/04/2018,1,Other,3866,3931,3899,
,05/04/2018,2.6,Other,3861,3925,3893,
,07/04/2018,0.5,Other,3400,3920,3660,
,09/04/2018,19.7,Other,3730,3902,3816,
,10/04/2018,0.3,Other,3865,3865,3865,
,11/04/2018,19.9,Other,3750,3885,3818,
,12/04/2018,16.1,Other,3790,3988,3889,
,13/04/2018,32.4,Other,3740,3950,3845,
,14/04/2018,4.5,Other,3870,3951,3911,
,16/04/2018,17,Other,3650,3896,3773,
,18/04/2018,1.5,Other,3840,3840,3840,
,19/04/2018,19.4,Other,3760,3939,3850,
,20/04/2018,37.4,Other,3751,3968,3860,
,21/04/2018,38.2,Other,3600,3960,3780,
,23/04/2018,15.8,Other,3820,4000,3910,
,24/04/2018,3.2,Other,3962,4003,3983,
,25/04/2018,34.7,Other,3750,3951,3851,
,26/04/2018,30,Other,3760,3950,3855,
,27/04/2018,2.7,Other,3800,3845,3823,
,28/04/2018,0.8,Other,3780,3991,3886,
,30/04/2018,0.5,Other,3500,3704,3602,
Bheenmal(Ranlwada),12/04/2018,5,Other,3600,3800,3700,
Bhilwara,03/04/2018,0.4,Other,3600,3700,3650,
,12/04/2018,0.4,Other,3650,3750,3700,
,20/04/2018,1.2,Other,3400,3450,3425,
,25/04/2018,0.8,Other,3500,3600,3550,
Bhinmal,23/04/2018,1.5,Other,3280,3280,3280,
Bilara,08/04/2018,0.7,Other,3500,3800,3600,
,12/04/2018,0.7,Other,3200,3600,3400,
,13/04/2018,0.8,Other,3500,3700,3600,
Chittorgarh,01/04/2018,4.2,Other,3500,4000,3700,
,02/04/2018,7.2,Other,2500,3500,3000,
,03/04/2018,17,Other,3000,4000,3500,
,04/04/2018,13.2,Other,3000,3500,3300,
,05/04/2018,6,Other,2000,3000,2500,
,06/04/2018,4.4,Other,3000,4000,3500,
,07/04/2018,12,Other,2500,3500,3000,
,09/04/2018,7,Other,4000,4500,4300,
,11/04/2018,4,Other,2800,4000,3400,
,12/04/2018,13,Other,2000,3000,2500,
,13/04/2018,7.8,Other,2400,3000,2700,
,14/04/2018,4,Other,2500,3000,2800,
,15/04/2018,8,Other,2000,3000,2500,
,17/04/2018,8.4,Other,2000,2500,2300,
,18/04/2018,8.4,Other,2500,3000,2800,
,19/04/2018,5,Other,2000,3000,2500,
,20/04/2018,0.6,Other,2500,3000,2800,
,21/04/2018,0.28, ,NR,NR,NR,
,22/04/2018,0.4, ,NR,NR,NR,
,24/04/2018,0.36,Other,2500,3000,2800,
,25/04/2018,0.2,Other,2000,3500,2800,
,26/04/2018,0.28,Other,2000,3000,2500,
,27/04/2018,0.7,Other,1500,3000,2300,
,28/04/2018,0.2,Other,2000,3000,2500,
,29/04/2018,0.2,Other,2000,2500,2300,
Chomu,02/04/2018,2.3,Other,3620,3840,3820,
,03/04/2018,3.2,Other,3600,3700,3650,
,04/04/2018,2.7,Other,3610,3720,3680,
,05/04/2018,5.3,Other,3600,3760,3700,
,06/04/2018,1.3,Other,3600,3780,3700,
,07/04/2018,12.4,Other,3600,3800,3700,
,09/04/2018,1.4,Other,3700,3780,3740,
,11/04/2018,5.5,Other,3700,3860,3800,
,12/04/2018,6.1,Other,3700,3800,3750,
,13/04/2018,2.7,Other,3700,3900,3800,
,14/04/2018,1.5,Other,3700,3910,3800,
,16/04/2018,0.7,Other,3725,3725,3725,
,17/04/2018,5.4,Other,3600,3700,3650,
,18/04/2018,3.5,Other,3600,3760,3700,
,19/04/2018,4.4,Other,3610,3780,3720,
,20/04/2018,3, ,NR,NR,NR,
,21/04/2018,2.1, ,NR,NR,NR,
,23/04/2018,6.2,Other,3750,3871,3810,
,24/04/2018,1.1,Other,3700,3820,3800,
,25/04/2018,4.3,Other,3730,3798,3764,
,26/04/2018,3.8,Other,3700,3850,3750,
,27/04/2018,4.4,Other,3600,3700,3650,
,28/04/2018,5.9,Other,3600,3700,3640,
,30/04/2018,0.5,Other,3500,3500,3500,
Dausa,03/04/2018,5.2,Other,3600,3670,3635,
,04/04/2018,5.4,Other,3640,3720,3680,
,05/04/2018,3.6,Other,3601,3750,3675,
,06/04/2018,1.5,Other,3550,3725,3638,
,07/04/2018,3.3,Other,3550,3681,3615,
,09/04/2018,2.5,Other,3600,3735,3667,
,12/04/2018,3,Other,3650,3740,3695,
,13/04/2018,6.3,Other,3500,3713,3606,
,14/04/2018,1.3,Other,3600,3725,3663,
,16/04/2018,4.6,Other,3600,3700,3650,
,17/04/2018,1.8,Other,3582,3620,3601,
,23/04/2018,0.6,Other,3580,3645,3612,
,24/04/2018,2.9,Other,3580,3770,3675,
,25/04/2018,5.5,Other,3695,3730,3712,
,26/04/2018,0.7,Other,3565,3700,3633,
,27/04/2018,0.8,Other,3542,3600,3571,
,28/04/2018,2.6,Other,3500,3631,3565,
Degana,03/04/2018,6.6,Other,3750,3800,3790,
,04/04/2018,12,Other,3770,3800,3783,
,05/04/2018,30.8,Other,3750,3810,3787,
,06/04/2018,16,Other,3750,3800,3788,
,07/04/2018,8.6,Other,3800,3810,3805,
,09/04/2018,10.9,Other,3750,3800,3785,
,10/04/2018,14.9,Other,3722,3750,3738,
,11/04/2018,30.5,Other,3750,3780,3765,
,12/04/2018,24.4,Other,3740,3800,3770,
,13/04/2018,35.8,Other,3800,3820,3812,
,14/04/2018,24.6,Other,3750,3820,3800,
,17/04/2018,12.3,Other,3750,3776,3766,
,18/04/2018,8.4,Other,3750,3750,3750,
,19/04/2018,19,Other,3800,3880,3850,
,20/04/2018,5.6,Other,3880,3920,3900,
,21/04/2018,23.5, ,NR,NR,NR,
,23/04/2018,9.6,Other,3900,3909,3905,
,25/04/2018,7,Other,3850,3869,3860,
,26/04/2018,17.6,Other,3858,3880,3872,
,27/04/2018,23,Other,3750,3770,3760,
,28/04/2018,0.5,Other,3740,3740,3740,
,30/04/2018,10,Other,3646,3650,3648,
Deoli,06/04/2018,0.5,Other,3200,3400,3300,
,12/04/2018,0.2,Other,3000,3500,3250,
,13/04/2018,0.3,Other,3100,3400,3250,
Fatehnagar,04/04/2018,1,Gwar,3551,3551,3551,
,06/04/2018,0.2,Gwar,3451,3451,3451,
,10/04/2018,0.3,Gwar,3425,3425,3425,
,27/04/2018,0.3,Gwar,3460,3460,3460,
Fatehpur,16/04/2018,0.5,Other,3900,3900,3900,
Gajsinghpur,03/04/2018,10,Gwar,3850,3886,3886,
,05/04/2018,0.2,Gwar,3831,3831,3831,
,09/04/2018,5.3,Gwar,3833,3857,3857,
,11/04/2018,0.5,Gwar,3791,3791,3791,
,13/04/2018,4.4,Gwar,3846,3922,3922,
,23/04/2018,33.4,Gwar,3870,3981,3934,
,25/04/2018,4,Gwar,3906,3906,3906,
,26/04/2018,1.3,Gwar,3861,3896,3896,
Gangapur,16/04/2018,17.5,Other,3600,3800,3700,
,23/04/2018,16.7, ,NR,NR,NR,
Gharsana,02/04/2018,1.4,Gwar,3765,3881,3850,
,03/04/2018,6.9,Gwar,3621,3842,3800,
,04/04/2018,8.1,Gwar,3701,3876,3800,
,05/04/2018,1.1,Gwar,3621,3800,3700,
,06/04/2018,0.5,Gwar,3700,3700,3700,
,07/04/2018,8.3,Gwar,3780,3870,3828,
,09/04/2018,16.6,Gwar,3785,3844,3812,
,10/04/2018,10,Gwar,3700,3700,3700,
,11/04/2018,11,Gwar,3751,3846,3810,
,12/04/2018,8.9,Gwar,3821,3907,3890,
,13/04/2018,7.5,Gwar,3830,3841,3835,
,14/04/2018,10,Gwar,3710,3812,3795,
,16/04/2018,1.8,Gwar,3793,3796,3794,
,17/04/2018,5,Gwar,3800,3800,3800,
,18/04/2018,2.7,Gwar,3770,3888,3862,
,20/04/2018,11,Gwar,3846,3933,3890,
,21/04/2018,8.3, ,NR,NR,NR,
,23/04/2018,7.4,Gwar,3966,3979,3971,
,25/04/2018,3.3,Gwar,3928,3950,3940,
,26/04/2018,6.6,Gwar,3925,3935,3930,
,28/04/2018,4.5,Gwar,3721,3775,3760,
,30/04/2018,1,Gwar,3600,3615,3610,
Hanumangarh,02/04/2018,16.8,Other,3676,3931,3891,
,03/04/2018,15.3,Other,3601,3928,3897,
,04/04/2018,19.3,Other,3300,3875,3800,
,05/04/2018,15.1,Other,3716,3865,3799,
,06/04/2018,5,Other,3761,3788,3788,
,07/04/2018,15.5,Other,3465,3885,3795,
,09/04/2018,27.5,Other,3700,3915,3886,
,10/04/2018,7.2,Other,3700,3889,3757,
,11/04/2018,1.1,Other,3850,3868,3868,
,12/04/2018,1.4,Other,3640,3831,3831,
,13/04/2018,9,Other,3796,3930,3886,
,14/04/2018,5.2,Other,3494,3882,3626,
,16/04/2018,1.5,Other,3650,3650,3650,
,23/04/2018,4.5, ,NR,NR,NR,
,25/04/2018,2,Other,3814,3814,3814,
Hanumangarh Town,02/04/2018,11.8,Other,3561,3899,3722,
,03/04/2018,1,Other,3771,3771,3771,
,04/04/2018,21.3,Other,2500,3786,3700,
,05/04/2018,25.7,Other,3500,3905,3905,
,06/04/2018,9.1,Other,3500,3822,3798,
,07/04/2018,7,Other,3600,3600,3600,
,09/04/2018,9.3,Other,3350,3819,3752,
,12/04/2018,0.5,Other,3722,3722,3722,
,13/04/2018,9.8,Other,3700,3851,3800,
,20/04/2018,1, ,NR,NR,NR,
Hanumangarh(Urlivas),03/04/2018,1.6,Other,3700,3898,3898,
,04/04/2018,2.9,Other,3800,3900,3900,
,05/04/2018,5.2,Other,3883,4050,4050,
,09/04/2018,0.6,Other,3849,3849,3849,
,10/04/2018,1.5,Other,3766,3766,3766,
Hindoun,12/04/2018,1.6,Other,3786,3786,3786,
,13/04/2018,0.8,Other,3647,3647,3647,
,18/04/2018,0.3,Other,3650,3650,3650,
,20/04/2018,0.6, ,NR,NR,NR,
,21/04/2018,1.7, ,NR,NR,NR,
,23/04/2018,0.4,Other,3560,3560,3560,
,26/04/2018,3.8,Other,3700,3780,3740,
Jaitaran,05/04/2018,1.4,Other,3810,3810,3810,
,12/04/2018,2.5,Other,3750,3750,3750,
,13/04/2018,1.5,Other,3700,3700,3700,
,16/04/2018,8.3,Other,3650,3671,3660,
,17/04/2018,12.8,Other,3661,3675,3668,
,19/04/2018,14.5,Other,3665,3670,3667,
,21/04/2018,8.5, ,NR,NR,NR,
,25/04/2018,12.7,Other,3655,3675,3665,
,26/04/2018,10.7,Other,3682,3691,3686,
Jaitsar,03/04/2018,5.8,Other,3671,3890,3851,
,04/04/2018,3.6,Other,3600,3910,3860,
,05/04/2018,10.2,Other,3660,3807,3770,
,06/04/2018,21.5,Other,3730,3825,3800,
,09/04/2018,10.6,Other,3500,3800,3670,
,10/04/2018,0.9,Other,3500,3761,3600,
,11/04/2018,3,Other,3650,3650,3650,
,12/04/2018,2.2,Other,3750,3771,3765,
,13/04/2018,0.2,Other,3740,3740,3740,
,16/04/2018,1.3,Other,3300,3692,3475,
,17/04/2018,1.7,Other,3451,3781,3700,
,18/04/2018,1,Other,3730,3730,3730,
,19/04/2018,10.5,Other,3650,3650,3650,
