Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,02/07/2018,2.8,Other,1505,3250,3000,
,03/07/2018,2.2,Other,1950,3255,3110,
,04/07/2018,0.2,Other,3000,3130,3130,
,05/07/2018,1,Other,2680,3300,3235,
,06/07/2018,1.6,Other,3095,3245,3245,
,07/07/2018,3.1,Other,1510,3375,2825,
,09/07/2018,3.1,Other,1715,3270,3250,
,10/07/2018,3,Other,1125,3145,3000,
,11/07/2018,3.3,Other,1500,3155,3105,
,12/07/2018,0.6,Other,1485,3035,3025,
,14/07/2018,0.4,Other,2900,2900,2900,
,18/07/2018,0.1,Other,1500,1500,1500,
,19/07/2018,0.8,Other,1720,2875,1780,
,23/07/2018,0.5,Other,2125,2500,2500,
,24/07/2018,0.3,Other,3015,3250,3250,
,30/07/2018,2.5,Other,3175,3330,3250,
,31/07/2018,0.1,Other,2965,3130,3130,
Bhavnagar,02/07/2018,0.2,White,1615,1615,1615,
,03/07/2018,0.7,White,1550,1550,1550,
,05/07/2018,0.3,White,3110,3110,3110,
,06/07/2018,1.8,White,2340,2340,2340,
,07/07/2018,0.1,White,1720,1720,1720,
,10/07/2018,1.1,White,1800,1800,1800,
,17/07/2018,0.2,White,2425,2425,2425,
,30/07/2018,0.4,White,1705,1705,1705,
,31/07/2018,2.1,White,1700,1700,1700,
Botad,02/07/2018,10.9,Other,2850,3310,3080,
,03/07/2018,7.5,Other,2500,3215,2860,
,04/07/2018,1.1,Other,2930,3195,3065,
,05/07/2018,9.7,Other,3000,3245,3125,
,06/07/2018,6.2,Other,2480,3225,2855,
,07/07/2018,4.7,Other,2880,3210,3045,
,09/07/2018,6.5,Other,2305,3180,2745,
,10/07/2018,6.8,Other,2750,3140,2945,
,11/07/2018,4.6,Other,2305,3150,2730,
,12/07/2018,5.3,Other,2860,3140,3000,
,13/07/2018,4.1,Other,2750,3085,2920,
,16/07/2018,1.3,Other,2630,3005,2820,
,17/07/2018,2.3,Other,2945,3045,2995,
,18/07/2018,2.3,Other,2730,3075,2905,
,19/07/2018,7.5,Other,2750,3205,2980,
,20/07/2018,3.3,Other,2580,3415,3000,
,21/07/2018,3.2,Other,2750,3180,2965,
,23/07/2018,5.9,Other,2755,3205,2980,
,24/07/2018,5.9,Other,2730,3255,2995,
,25/07/2018,4.2,Other,2660,3280,2970,
,26/07/2018,1.7,Other,3055,3355,3205,
,28/07/2018,1.2,Other,2030,3285,2660,
,30/07/2018,2.9,Other,2980,3220,3100,
,31/07/2018,4.1,Other,3070,3155,3115,
Chotila,03/07/2018,3.35,Jowar ( White),1500,3250,2800,
,06/07/2018,2,Jowar ( White),1500,3250,2750,
,12/07/2018,2.5,Jowar ( White),1500,3250,2375,
,13/07/2018,1.5,Jowar ( White),1500,3250,2750,
,20/07/2018,22.3,Jowar ( White),1500,3259,2500,
,24/07/2018,1.4,Jowar ( White),2000,3250,2750,
,26/07/2018,2.1,Jowar ( White),1500,3250,2500,
Dahod,09/07/2018,0.1,Jowar ( White),1200,1400,1300,
,10/07/2018,1,Jowar ( White),1200,1400,1300,
,12/07/2018,4.5,Jowar ( White),1200,1400,1300,
,19/07/2018,0.4,Jowar ( White),1200,1400,1300,
,25/07/2018,0.1,Jowar ( White),1200,1400,1300,
Dehgam,02/07/2018,1.9,Other,3075,3235,3155,
,03/07/2018,1.5,Other,3140,3210,3175,
,04/07/2018,0.7,Other,3190,3250,3220,
,05/07/2018,1.5,Other,3250,3270,3260,
,06/07/2018,1.5,Other,3140,3245,3192,
,07/07/2018,2.2,Other,3025,3260,3142,
,09/07/2018,1.4,Other,3150,3205,3177,
,10/07/2018,1.3,Other,3105,3310,3207,
,11/07/2018,4.4,Other,3130,3280,3205,
,12/07/2018,1.7,Other,3230,3265,3247,
,13/07/2018,2.1,Other,3155,3255,3205,
,16/07/2018,0.3,Other,2900,3200,3050,
,17/07/2018,0.5,Other,3100,3150,3125,
,18/07/2018,0.2,Other,3075,3115,3095,
,19/07/2018,0.6,Other,3075,3105,3090,
,20/07/2018,0.8,Other,3025,3075,3050,
,23/07/2018,1.3,Other,3090,3180,3135,
,24/07/2018,0.2,Other,3075,3150,3112,
,25/07/2018,0.8,Other,3105,3165,3135,
,26/07/2018,0.9,Other,3130,3200,3165,
,27/07/2018,1.3,Other,3090,3170,3130,
,28/07/2018,1.4,Other,3070,3140,3105,
Dhanera,03/07/2018,0.4,Other,1515,3265,2390,
,04/07/2018,0.1,Other,3200,3255,3227,
,05/07/2018,0.06,Other,2000,2000,2000,
,10/07/2018,0.06,Other,1525,1525,1525,
