Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,05/05/2020,0.1,Jowar ( White),3000,3000,3000,
,06/05/2020,0.5,Jowar ( White),2700,2700,2700,
Botad,01/05/2020,0.7,Other,3205,3205,3205,
,05/05/2020,1.5,Other,2705,2705,2705,
,08/05/2020,0.7,Other,2730,2730,2730,
Dahod,04/05/2020,3,Jowar ( White),2000,2300,2200,
Dhrol,08/05/2020,0.1,Other,2500,2875,2690,
Jambusar,01/05/2020,0.1, ,NR,NR,NR,
,02/05/2020,0.1, ,NR,NR,NR,
,03/05/2020,0.1, ,NR,NR,NR,
,04/05/2020,0.1, ,NR,NR,NR,
,06/05/2020,0.1,Other,2200,2600,2400,
,07/05/2020,0.1,Other,2200,2400,2300,
,08/05/2020,0.1,Other,2200,2400,2300,
Jambusar(Kaavi),02/05/2020,1, ,NR,NR,NR,
,03/05/2020,1, ,NR,NR,NR,
,04/05/2020,1, ,NR,NR,NR,
,06/05/2020,1,Other,2200,2600,2500,
,07/05/2020,1,Other,2000,2300,2100,
,08/05/2020,1,Other,2100,2400,2300,
Mahuva(Station Road),04/05/2020,23.3, ,NR,NR,NR,
,07/05/2020,46.2,Other,1840,3330,2750,
Mansa,05/05/2020,0.43, ,NR,NR,NR,
,06/05/2020,1.02, ,NR,NR,NR,
,07/05/2020,1.28, ,NR,NR,NR,
,08/05/2020,2, ,NR,NR,NR,
Porbandar,01/05/2020,1.3, ,NR,NR,NR,
,02/05/2020,3.5, ,NR,NR,NR,
,04/05/2020,5.2, ,NR,NR,NR,
,05/05/2020,1, ,NR,NR,NR,
,06/05/2020,3.2, ,NR,NR,NR,
,07/05/2020,1.6,Other,2500,3150,2825,
,08/05/2020,1.8,Other,2700,2950,2825,
Rajula,01/05/2020,15,Local,2000,3300,2650,
,02/05/2020,12.3,Local,1800,3250,2525,
,04/05/2020,20.5,Local,2200,3240,2720,
,05/05/2020,24.5,Local,1750,3225,2488,
,06/05/2020,28.1,Local,2000,3175,2588,
,07/05/2020,25,Local,2005,3500,2753,
Savarkundla,04/05/2020,4.5,Jowar ( White),2425,2750,2588,
,05/05/2020,2.1,Jowar ( White),2150,2635,2393,
,06/05/2020,4,Jowar ( White),1750,2870,2310,
,07/05/2020,3.5,Jowar ( White),2400,2900,2650,
Siddhpur,01/05/2020,0.1,Jowar ( White),4755,4755,4755,
