Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,24/09/2018,14,Jowar ( White),1350,1450,1400,
Athani,05/09/2018,1,Jowar ( White),1600,1800,1700,
,12/09/2018,5,Jowar ( White),1600,1900,1700,
,15/09/2018,1,Jowar ( White),1600,1900,1700,
,16/09/2018,1,Jowar ( White),1750,1900,1800,
Badami,18/09/2018,1,Jowar Hybrid,1000,1300,1200,
Bagalakot,12/09/2018,1,Jowar Hybrid,1525,1600,1550,
Bangalore,01/09/2018,7,Jowar ( White),2200,2600,2400,
,03/09/2018,20,Jowar ( White),2200,2600,2400,
,04/09/2018,30,Jowar ( White),2200,2600,2400,
,05/09/2018,40,Jowar ( White),2200,2600,2400,
,06/09/2018,14,Jowar ( White),2200,2600,2400,
,07/09/2018,6,Jowar ( White),2200,2600,2400,
,10/09/2018,32,Jowar ( White),2200,2600,2400,
,12/09/2018,5,Jowar ( White),2200,2600,2400,
,14/09/2018,7,Jowar ( White),2200,2600,2400,
,17/09/2018,6,Jowar ( White),2200,2600,2400,
,18/09/2018,14,Jowar ( White),2200,2600,2400,
,19/09/2018,28,Jowar ( White),2200,2600,2400,
,22/09/2018,21,Jowar ( White),2200,2600,2400,
,24/09/2018,1,Jowar ( White),2200,2600,2400,
,25/09/2018,25,Jowar ( White),2200,2600,2400,
,26/09/2018,31,Jowar ( White),2200,2600,2400,
,27/09/2018,14,Jowar ( White),2200,2600,2400,
,28/09/2018,6,Jowar ( White),2200,2600,2400,
,29/09/2018,21,Jowar ( White),2200,2600,2400,
Basava Kalayana,01/09/2018,1,Hybrid,1000,1141,1120,
,,,Jowar ( White),1700,2100,1900,
,04/09/2018,2,Hybrid,1000,1150,1120,
,,,Jowar ( White),1600,2100,2000,
,05/09/2018,2,Hybrid,1000,1150,1121,
,,,Jowar ( White),1700,2150,2000,
,,,Jowar (Yellow),1600,1751,1600,
,06/09/2018,1,Hybrid,1000,1160,1140,
,,,Jowar ( White),1700,2000,1900,
,07/09/2018,1,Hybrid,1100,1180,1140,
,,,Jowar ( White),1500,2100,2000,
,,,Jowar (Yellow),1500,1500,1500,
,08/09/2018,1,Hybrid,1050,1180,1120,
,,,Jowar ( White),1700,2150,2000,
,11/09/2018,1,Hybrid,1000,1140,1000,
,,,Jowar ( White),1650,2150,2000,
,,,Jowar (Yellow),1971,1971,1971,
,12/09/2018,2,Hybrid,1100,1150,1125,
,,,Jowar ( White),1500,2100,1950,
,14/09/2018,2,Hybrid,1000,1180,1140,
,,,Jowar ( White),1600,2000,1800,
,15/09/2018,1,Hybrid,1000,1150,1120,
,,,Jowar ( White),1800,1800,1800,
,18/09/2018,1,Hybrid,1000,1180,1140,
,,,Jowar ( White),1700,2200,2000,
,19/09/2018,1,Hybrid,950,1150,1100,
,,,Jowar ( White),1600,2000,1800,
,20/09/2018,1,Hybrid,1000,1150,1100,
,,,Jowar ( White),1600,2200,1850,
,22/09/2018,1,Hybrid,1000,1150,1100,
,,,Jowar ( White),1600,2300,2000,
,24/09/2018,1,Hybrid,1100,1150,1100,
,,,Jowar ( White),1800,1800,1800,
,25/09/2018,1,Hybrid,1000,1150,1100,
,,,Jowar ( White),1800,2050,1800,
,26/09/2018,2,Hybrid,1000,1150,1100,
,,,Jowar ( White),1700,2100,1900,
,27/09/2018,1,Hybrid,1050,1150,1100,
,,,Jowar ( White),1600,2200,2000,
,29/09/2018,1,Hybrid,1150,1300,1250,
,,,Jowar ( White),1700,2200,2000,
Belgaum,01/09/2018,1,Jowar ( White),1800,2400,2150,
,03/09/2018,1,Jowar ( White),1800,2400,2150,
,05/09/2018,1,Jowar ( White),1850,2450,2200,
,06/09/2018,1,Jowar ( White),1850,2450,2200,
,07/09/2018,1,Jowar ( White),1850,2450,2200,
,08/09/2018,1,Jowar ( White),1850,2400,2200,
,09/09/2018,1,Jowar ( White),1850,2400,2200,
,12/09/2018,10,Jowar ( White),1850,2400,2200,
,14/09/2018,1,Jowar ( White),1850,2400,2200,
,15/09/2018,4,Jowar ( White),1800,2400,2100,
,16/09/2018,1,Jowar ( White),1800,2400,2100,
,19/09/2018,1,Jowar ( White),1850,2400,2200,
,20/09/2018,6,Jowar ( White),1850,2400,2200,
,22/09/2018,1,Jowar ( White),1900,2450,2250,
,23/09/2018,1,Jowar ( White),1900,2450,2250,
,24/09/2018,1,Jowar ( White),1900,2450,2250,
,26/09/2018,1,Jowar ( White),1800,2400,2200,
,27/09/2018,4,Jowar ( White),1800,2400,2200,
,28/09/2018,1,Jowar ( White),1800,2400,2200,
,29/09/2018,2,Jowar ( White),1600,1800,1700,
,30/09/2018,10,Jowar ( White),1600,1800,1700,
Bellary,01/09/2018,5,Jowar Hybrid,900,1730,1683,
,03/09/2018,2.9,Annigeri,1059,1667,1422,
,,,Jowar Hybrid,1059,1667,1422,
,04/09/2018,5,Annigeri,1123,1666,1463,
,,,Jowar Hybrid,1123,1666,1463,
,05/09/2018,2.5,Annigeri,1339,1607,1485,
,,,Jowar Hybrid,1339,1607,1485,
,06/09/2018,29,Annigeri,1334,1686,1451,
,,,Jowar Hybrid,1334,1686,1451,
,07/09/2018,4,Annigeri,1189,1606,1454,
,,,Jowar Hybrid,1189,1606,1454,
,11/09/2018,10,Annigeri,1271,1601,1451,
,,,Jowar Hybrid,1271,1601,1451,
,12/09/2018,7,Jowar Hybrid,1317,1712,1458,
,14/09/2018,11.3,Annigeri,1420,1907,1567,
,,,Jowar Hybrid,1420,1907,1567,
,15/09/2018,13,Annigeri,1377,1920,1587,
,,,Jowar Hybrid,1377,1620,1587,
,17/09/2018,7,Annigeri,1189,1961,1482,
,,,Jowar Hybrid,1189,1961,1482,
,18/09/2018,28.1,Jowar Hybrid,1257,1760,1695,
,19/09/2018,17,Jowar Hybrid,1427,1660,1614,
,20/09/2018,21,Jowar Hybrid,1494,1700,1684,
,22/09/2018,35,Annigeri,1660,1700,1683,
,,,Jowar Hybrid,1660,1700,1683,
,24/09/2018,1,Annigeri,1505,1680,1660,
,,,Jowar Hybrid,1505,1680,1660,
,25/09/2018,10,Jowar Hybrid,1202,1615,1448,
,26/09/2018,66.9,Annigeri,1459,1910,1905,
,,,Jowar Hybrid,1459,1910,1905,
,27/09/2018,22,Annigeri,1337,1820,1533,
,,,Jowar Hybrid,1337,1820,1533,
,28/09/2018,5,Annigeri,1322,1820,1532,
