Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer (Grain),23/09/2019,0.5,Other,2200,2200,2200,
Bagru,02/09/2019,1.3,Other,2300,2500,2400,
,06/09/2019,4,Other,2400,2500,2450,
,09/09/2019,1.5,Other,2400,2500,2450,
,23/09/2019,5,Other,2200,2500,2350,
Bandikui,01/09/2019,0.8,Other,2250,2250,2250,
Baran,21/09/2019,0.3,Other,2800,2800,2800,
Beawar,01/09/2019,0.2,Other,2200,2400,2300,
,07/09/2019,0.4,Other,2200,2400,2300,
,26/09/2019,0.8,Other,2000,2400,2200,
Bijay Nagar,10/09/2019,1.1,Other,1800,2335,2300,
,11/09/2019,0.5,Other,2300,2300,2300,
,18/09/2019,0.2,Other,1952,1952,1952,
,24/09/2019,0.3,Other,1400,1791,1700,
Chaksu,05/09/2019,4,Other,2400,2400,2400,
,09/09/2019,4.2,Other,2400,2400,2400,
,11/09/2019,1.8,Other,2175,2175,2175,
Degana,07/09/2019,0.1,Jowar ( White),1800,1800,1800,
,18/09/2019,1,Jowar ( White),2400,2400,2400,
,19/09/2019,1.1,Jowar ( White),2000,2000,2000,
Fatehnagar,16/09/2019,0.5,Jowar Hybrid,1700,1700,1700,
Gangapur,05/09/2019,80,Other,1900,2000,1950,
,06/09/2019,98.9,Other,1950,1960,1955,
,12/09/2019,25.5,Other,1940,1960,1950,
,18/09/2019,36,Other,1940,1950,1945,
,28/09/2019,106,Other,1960,1980,1970,
Jaipur (Grain),17/09/2019,31.2,Jowar ( White),2300,2500,2400,
,23/09/2019,20,Jowar ( White),2200,2500,2350,
,24/09/2019,31.2,Jowar ( White),2200,2500,2350,
,26/09/2019,25.2,Jowar ( White),2200,2500,2350,
Jodhpur (Grain)(Mandor),07/09/2019,1.2,Other,1600,1800,1700,
,10/09/2019,4.5,Other,1600,1700,1650,
,13/09/2019,4.7,Other,1600,1700,1650,
,14/09/2019,3,Other,1600,1700,1650,
,25/09/2019,0.4,Other,1600,1700,1650,
Jodhpur(Grain)(Bhagat Ki Kothi),12/09/2019,1,Other,2500,2600,2550,
,15/09/2019,2,Other,2500,3000,2750,
,25/09/2019,1.5,Other,2200,2400,2300,
,26/09/2019,1.9,Other,2300,2500,2400,
,30/09/2019,0.8,Other,2450,2700,2575,
Kekri,08/09/2019,125,Jowar ( White),2270,2460,2340,
,09/09/2019,50,Jowar ( White),2450,2700,2650,
,11/09/2019,56, ,NR,NR,NR,
,12/09/2019,20,Jowar ( White),2240,2460,2300,
,13/09/2019,110,Jowar ( White),2270,2540,2370,
,14/09/2019,80,Jowar ( White),2360,2560,2490,
,16/09/2019,120,Jowar ( White),2250,2560,2430,
,17/09/2019,80,Jowar ( White),2260,2480,2400,
,18/09/2019,85,Jowar ( White),2270,2650,2435,
,19/09/2019,50,Jowar ( White),2230,2540,2350,
,20/09/2019,80,Jowar ( White),2370,2500,2470,
,21/09/2019,50,Jowar ( White),2350,2510,2480,
,23/09/2019,60,Jowar ( White),2230,2500,2415,
,24/09/2019,75,Jowar ( White),2250,2460,2340,
,25/09/2019,80,Jowar ( White),2260,2640,2430,
,26/09/2019,70,Jowar ( White),1895,2465,2370,
,27/09/2019,105,Jowar ( White),2215,2450,2360,
,28/09/2019,80,Jowar ( White),2140,2385,2260,
Khedh(Bodaramev),13/09/2019,1.1,Other,2200,2200,2200,
,19/09/2019,1,Other,2100,2125,2100,
,24/09/2019,2.5,Other,2105,2125,2111,
,25/09/2019,1.2,Other,2036,2090,2070,
,26/09/2019,2,Other,2100,2155,2110,
,27/09/2019,3.5,Other,1950,2152,2100,
,28/09/2019,2.2,Other,2000,2170,2150,
,30/09/2019,4.9, ,NR,NR,NR,
Kherli,06/09/2019,0.1,Other,2025,2025,2025,
,12/09/2019,0.2,Other,1900,1900,1900,
,17/09/2019,0.8,Other,2093,2093,2093,
,18/09/2019,1.6,Other,2050,2250,2171,
,19/09/2019,1,Other,2100,2102,2101,
,21/09/2019,3.5,Other,1850,1925,1875,
,23/09/2019,3.3,Other,1900,1920,1915,
,24/09/2019,2.2,Other,1900,1925,1910,
,27/09/2019,1.7,Other,1900,1950,1925,
,28/09/2019,2.3,Other,1950,1950,1950,
,30/09/2019,0.8,Other,1925,2031,1950,
Kishan Renwal(Sambhar),23/09/2019,0.2,Other,2000,2000,2000,
Madanganj Kishanganj,05/09/2019,3.5,Other,1800,2500,2150,
,06/09/2019,2.6,Other,1800,2400,2100,
,07/09/2019,2.2,Other,1800,2450,2125,
,09/09/2019,1.3,Other,1800,2450,2125,
,10/09/2019,1.6, ,NR,NR,NR,
,12/09/2019,3.3,Other,1800,2400,2100,
,13/09/2019,3,Other,1800,2350,2075,
,14/09/2019,1.2,Other,1800,2300,2050,
,16/09/2019,1.7,Other,1800,2270,2035,
,17/09/2019,2.2,Other,1800,2250,2025,
,18/09/2019,2.1,Other,1800,2240,2020,
,20/09/2019,0.6,Other,1800,2200,2000,
,21/09/2019,0.9,Other,1800,2250,2025,
,23/09/2019,0.9,Other,1800,2200,2000,
,24/09/2019,0.4,Other,1800,2200,2000,
,25/09/2019,0.1,Other,1800,2200,2000,
,26/09/2019,0.1,Other,1800,2200,2000,
,27/09/2019,0.6,Other,1800,2250,2025,
,30/09/2019,0.5,Other,1800,2200,2000,
Mahua Mandabar(Mahua),12/09/2019,0.3,Other,1800,1800,1800,
,23/09/2019,0.9,Other,1800,1870,1850,
,24/09/2019,1.9,Other,1830,1830,1830,
,25/09/2019,1.1,Other,1720,1780,1760,
,26/09/2019,1.3,Other,1500,1861,1760,
,27/09/2019,1.5,Other,1750,1850,1800,
,28/09/2019,0.8,Other,1820,1820,1820,
,30/09/2019,2.2,Other,1860,1896,1880,
Malpura,11/09/2019,1,Other,2090,2290,2150,
,16/09/2019,0.7,Other,2100,2200,2150,
,19/09/2019,2.1,Other,2650,2720,2680,
,22/09/2019,1.7,Other,2100,2326,2200,
,23/09/2019,0.1,Other,2346,2376,2350,
,25/09/2019,0.5,Other,2176,2376,2250,
,26/09/2019,0.3,Other,2270,2325,2300,
,28/09/2019,0.5,Other,2100,2250,2200,
,29/09/2019,0.1,Other,2000,2200,2100,
,30/09/2019,2.1,Other,1800,2300,2100,
Merta City,05/09/2019,3.9,Other,1900,2350,2300,
,06/09/2019,2.5,Other,2700,2700,2700,
,13/09/2019,0.3,Other,1950,1950,1950,
,14/09/2019,1.3,Other,1850,1850,1850,
,16/09/2019,1,Other,1841,1841,1841,
,17/09/2019,1,Other,1751,2000,2000,
,18/09/2019,1.9,Other,1650,1950,1950,
,20/09/2019,0.5,Other,1800,1800,1800,
,21/09/2019,1.5,Other,1700,2046,2046,
Nagaur,17/09/2019,3,Other,2000,2400,2250,
,18/09/2019,10.7,Other,2000,2400,2200,
,19/09/2019,1.7,Other,2000,2400,2200,
,24/09/2019,3.5,Other,2000,2400,2300,
,25/09/2019,10.7,Other,2000,2400,2300,
Sumerpur,14/09/2019,0.4,Hybrid,1900,1900,1900,
