Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agar,02/12/2019,12,Other,4000,5490,5150,
,03/12/2019,19,Other,3900,5580,5200,
,04/12/2019,20,Other,3960,5600,5200,
,05/12/2019,9,Other,4050,5540,5200,
,06/12/2019,21.5,Other,3800,5615,5200,
,07/12/2019,14,Other,3850,5640,5250,
,09/12/2019,15,Other,4000,5700,5200,
,11/12/2019,17.3,Other,4000,5940,5450,
,12/12/2019,21.5,Other,3800,5710,5200,
,13/12/2019,8,Other,3870,5825,5300,
,16/12/2019,23.5,Other,4070,5740,5200,
,17/12/2019,7.5,Other,3970,5680,5300,
,18/12/2019,8.5,Other,3960,5750,5500,
,19/12/2019,23,Other,4000,5650,5100,
,21/12/2019,8,Other,4000,5720,5300,
,23/12/2019,27,Other,3800,5600,5300,
,24/12/2019,10,Other,4025,5600,5200,
,27/12/2019,10,Other,3900,5570,5200,
,30/12/2019,11.5,Other,4000,5760,5380,
,31/12/2019,10,Other,4060,5800,5400,
Anjad,18/12/2019,193,Kabuli Chana(Chickpeas-white),5600,5800,5750,
Badnagar,02/12/2019,44.9,Kabuli Chana(Chickpeas-white),4120,5540,5050,
,04/12/2019,35.4,Kabuli Chana(Chickpeas-white),4150,5956,5240,
,05/12/2019,36.4,Kabuli Chana(Chickpeas-white),4030,5875,5140,
,06/12/2019,33.5,Kabuli Chana(Chickpeas-white),4020,5801,5150,
,07/12/2019,17.8,Kabuli Chana(Chickpeas-white),4020,5760,5100,
,09/12/2019,37.1,Kabuli Chana(Chickpeas-white),4240,5851,5200,
,10/12/2019,38.6,Kabuli Chana(Chickpeas-white),4242,5801,5125,
,12/12/2019,32.9,Kabuli Chana(Chickpeas-white),4142,5651,5130,
,13/12/2019,33.7,Kabuli Chana(Chickpeas-white),4120,5770,5150,
,16/12/2019,46.9,Kabuli Chana(Chickpeas-white),4150,5800,5240,
,17/12/2019,40,Kabuli Chana(Chickpeas-white),4020,5871,5040,
,18/12/2019,44.6,Kabuli Chana(Chickpeas-white),4120,5950,5130,
,19/12/2019,31,Kabuli Chana(Chickpeas-white),4150,5700,5244,
,21/12/2019,40.4,Kabuli Chana(Chickpeas-white),4130,5971,5450,
,23/12/2019,29.3,Kabuli Chana(Chickpeas-white),4140,6022,5550,
,24/12/2019,29.2,Kabuli Chana(Chickpeas-white),4240,6161,5550,
,27/12/2019,32.7,Kabuli Chana(Chickpeas-white),4175,6000,5590,
,30/12/2019,43.8,Kabuli Chana(Chickpeas-white),4240,6301,5660,
,31/12/2019,14.3,Kabuli Chana(Chickpeas-white),4200,6201,5650,
Badnawar,02/12/2019,7.9,Kabuli Chana(Chickpeas-white),3900,5680,5395,
,03/12/2019,8.1,Kabuli Chana(Chickpeas-white),3930,5725,5475,
,04/12/2019,11.8,Kabuli Chana(Chickpeas-white),3500,5790,5250,
,05/12/2019,7.5,Kabuli Chana(Chickpeas-white),3400,5770,5000,
,07/12/2019,17,Kabuli Chana(Chickpeas-white),3805,6100,5670,
,09/12/2019,6.8,Kabuli Chana(Chickpeas-white),3700,5925,5445,
,10/12/2019,5.8,Kabuli Chana(Chickpeas-white),3300,5775,5670,
,11/12/2019,5,Kabuli Chana(Chickpeas-white),3900,5880,5600,
,12/12/2019,1.9,Kabuli Chana(Chickpeas-white),3600,5805,5360,
,13/12/2019,10.1,Kabuli Chana(Chickpeas-white),3300,5940,5500,
,16/12/2019,11.6,Kabuli Chana(Chickpeas-white),3800,5705,5200,
,17/12/2019,9.3,Kabuli Chana(Chickpeas-white),2880,5800,5225,
,18/12/2019,7.7,Kabuli Chana(Chickpeas-white),3500,6140,5595,
,19/12/2019,6.2,Kabuli Chana(Chickpeas-white),3600,6000,5650,
,21/12/2019,6.9,Kabuli Chana(Chickpeas-white),3405,5755,5400,
,23/12/2019,8.2,Kabuli Chana(Chickpeas-white),4405,5900,5590,
,24/12/2019,4.3,Kabuli Chana(Chickpeas-white),4105,5975,5175,
,27/12/2019,5.7,Kabuli Chana(Chickpeas-white),4050,5600,5095,
,30/12/2019,4.6,Kabuli Chana(Chickpeas-white),3600,6100,5600,
,31/12/2019,3.3,Kabuli Chana(Chickpeas-white),4000,6200,5775,
Badod,13/12/2019,0.2,Other,4400,4400,4400,
Badwaha,01/12/2019,0.2,Other,4815,4955,4955,
,02/12/2019,0.2,Other,4500,5250,5195,
,04/12/2019,0.3,Other,3745,5200,4595,
,05/12/2019,0.1,Other,5200,5200,5200,
,06/12/2019,0.7,Other,4600,5295,5255,
,07/12/2019,0.4,Other,4815,5200,5000,
,08/12/2019,11.3,Other,4105,4505,4500,
,09/12/2019,1.5,Other,4405,5300,5270,
,11/12/2019,0.4,Other,3750,5350,4300,
,12/12/2019,0.1,Other,5050,5500,5300,
,13/12/2019,0.1,Other,5050,5050,5050,
,15/12/2019,0.2,Other,4000,5205,5205,
,16/12/2019,0.6,Other,3800,5450,5200,
,18/12/2019,0.3,Other,3700,5335,5070,
,19/12/2019,0.5,Other,5195,5195,5195,
,21/12/2019,0.5,Other,4000,5350,4475,
,22/12/2019,0.1,Other,5150,5150,5150,
,23/12/2019,1.1,Other,3400,5350,5170,
,26/12/2019,9,Other,4600,5600,5600,
,27/12/2019,0.8,Other,3790,5340,4800,
,28/12/2019,0.3,Other,5400,5440,5440,
Badwani,06/12/2019,11.5,Kabuli Chana(Chickpeas-white),5700,5800,5739,
,12/12/2019,26.35,Kabuli Chana(Chickpeas-white),5650,5900,5851,
,14/12/2019,24.1,Kabuli Chana(Chickpeas-white),4650,5000,4855,
,15/12/2019,6.3,Kabuli Chana(Chickpeas-white),4650,4650,4650,
,17/12/2019,53.1,Kabuli Chana(Chickpeas-white),4050,6325,5701,
,18/12/2019,17.14,Kabuli Chana(Chickpeas-white),6200,6200,6200,
,20/12/2019,9.27,Kabuli Chana(Chickpeas-white),5900,5900,5900,
,30/12/2019,11.88,Kabuli Chana(Chickpeas-white),5150,6200,5914,
Baikunthpur,16/12/2019,5.3,Other,3400,3969,3865,
Bijawar,02/12/2019,21,Other,3800,3950,3875,
,04/12/2019,14.4,Other,3900,3920,3910,
,06/12/2019,11,Other,3800,3850,3825,
,07/12/2019,24.6,Other,3790,3840,3815,
,09/12/2019,9.6,Other,3790,3800,3795,
,10/12/2019,35.7,Other,3790,3815,3803,
,11/12/2019,9.6,Other,3790,3800,3795,
,12/12/2019,4.8,Other,3790,3790,3790,
,18/12/2019,18,Other,3590,3600,3595,
,19/12/2019,10.7,Other,3600,3800,3700,
,24/12/2019,8.3,Other,3610,3650,3630,
Burhanpur,02/12/2019,0.5,Other,3600,3750,3750,
,11/12/2019,0.1,Other,3236,3236,3236,
Daloda,02/12/2019,3,Other,3400,3900,3800,
,03/12/2019,4,Other,3400,3830,3700,
,04/12/2019,5.5,Other,3400,3800,3700,
,05/12/2019,2.4,Other,3400,3800,3600,
,06/12/2019,2.6,Other,3450,3780,3600,
,07/12/2019,3,Other,3400,3800,3700,
,09/12/2019,3,Other,3400,3899,3700,
,10/12/2019,24,Other,3400,3890,3700,
,11/12/2019,1.7,Other,3350,3860,3700,
,12/12/2019,3,Other,3350,3890,3700,
,13/12/2019,2.6,Other,3400,3800,3700,
,16/12/2019,6.5,Other,3450,3970,3800,
,17/12/2019,2.3,Other,3400,3960,3800,
,18/12/2019,3.4,Other,3450,3991,3800,
,19/12/2019,2.8,Other,3500,3960,3800,
,23/12/2019,2,Other,3400,4100,3900,
,24/12/2019,2.8,Other,3400,3980,3700,
,26/12/2019,2.6,Other,3500,4051,3900,
,27/12/2019,2.9,Other,3600,4091,3900,
,30/12/2019,2.4,Other,3400,4040,3900,
,31/12/2019,1,Other,3600,4100,3900,
Dhamnod,03/12/2019,29.5,Kabuli Chana(Chickpeas-white),3930,6100,5400,
,04/12/2019,28.3,Kabuli Chana(Chickpeas-white),4100,6105,5490,
,05/12/2019,36.6,Kabuli Chana(Chickpeas-white),4400,5995,5605,
,06/12/2019,26.9,Kabuli Chana(Chickpeas-white),4000,6050,5540,
,07/12/2019,24.1,Kabuli Chana(Chickpeas-white),4165,6355,5800,
,09/12/2019,53,Kabuli Chana(Chickpeas-white),4000,6200,5745,
,10/12/2019,51.8,Kabuli Chana(Chickpeas-white),4450,6255,5610,
,11/12/2019,37.5,Kabuli Chana(Chickpeas-white),3600,6200,5500,
,12/12/2019,32.4,Kabuli Chana(Chickpeas-white),4010,5960,5550,
,13/12/2019,10.5,Kabuli Chana(Chickpeas-white),4020,6010,5200,
,14/12/2019,25.9,Kabuli Chana(Chickpeas-white),3900,5905,5490,
,16/12/2019,19.8,Kabuli Chana(Chickpeas-white),3800,6005,5535,
,17/12/2019,24.3,Kabuli Chana(Chickpeas-white),3800,6005,5645,
,18/12/2019,24,Kabuli Chana(Chickpeas-white),4055,6105,5705,
,19/12/2019,37,Kabuli Chana(Chickpeas-white),3705,6100,5640,
,21/12/2019,24.7,Kabuli Chana(Chickpeas-white),3800,6145,5755,
,23/12/2019,24.1,Kabuli Chana(Chickpeas-white),4000,6215,5755,
,24/12/2019,27.4,Kabuli Chana(Chickpeas-white),4000,6200,5780,
