Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambikapur,05/05/2018,9.3,Local,1430,1430,1430,
,14/05/2018,47.7,Other,1430,1430,1430,
,16/05/2018,10,Local,1430,1430,1430,
,19/05/2018,10,Local,1430,1430,1430,
Baikunthpur,14/05/2018,2.5,Other,1400,1400,1400,
,21/05/2018,1,Other,1400,1400,1400,
,31/05/2018,1.5,Other,1400,1400,1400,
Bandhabazar,02/05/2018,10,Medium,1250,1250,1250,
,04/05/2018,23,Medium,1200,1250,1200,
,05/05/2018,6,Medium,1250,1250,1250,
,06/05/2018,6.1,Medium,1250,1250,1250,
,07/05/2018,25,Medium,1250,1250,1250,
,08/05/2018,20.4,Medium,1200,1220,1220,
,09/05/2018,7,Medium,1200,1200,1200,
,10/05/2018,7,Medium,1250,1250,1250,
,11/05/2018,24,Medium,1240,1240,1240,
,12/05/2018,40.1,Medium,1240,1240,1240,
,14/05/2018,26.5,Medium,1188,1188,1188,
,16/05/2018,12.5,Medium,1200,1200,1200,
,17/05/2018,7.2,Medium,1240,1240,1240,
,18/05/2018,12,Medium,1240,1240,1240,
,19/05/2018,24.1,Medium,1200,1240,1200,
,20/05/2018,41.6,Medium,1200,1200,1200,
,21/05/2018,47.7,Medium,1240,1250,1250,
,22/05/2018,109.3,Medium,1150,1255,1240,
,23/05/2018,37.1,Medium,1150,1255,1255,
,24/05/2018,64.2,Medium,1150,1250,1250,
,25/05/2018,24,Medium,1230,1230,1230,
,26/05/2018,23.6,Medium,1150,1150,1150,
,27/05/2018,36,Medium,1150,1240,1150,
,28/05/2018,29.9,Medium,1240,1240,1240,
,29/05/2018,21.6,Medium,1255,1255,1255,
,30/05/2018,25.4,Medium,1150,1240,1240,
,31/05/2018,5277.3,Medium,1240,1425,1425,
Bardewri,18/05/2018,77,Other,1100,1100,1100,
Bededonger,03/05/2018,12,Local,1000,1100,1050,
,04/05/2018,12.1,Local,1000,1100,1050,
,11/05/2018,112.2,Local,1000,1100,1050,
,15/05/2018,41.7,Local,1000,1100,1050,
,18/05/2018,10,Local,1000,1100,1050,
