Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amirgadh,04/02/2020,0.1,Other,1950,1950,1950,
,08/02/2020,0.2,Other,1990,1990,1990,
Amreli,01/02/2020,0.6,Yellow,1450,1940,1920,
,03/02/2020,9.5,Yellow,2150,2150,2150,
,08/02/2020,0.1,Yellow,1850,1850,1850,
,10/02/2020,0.1,Yellow,2305,2305,2305,
,11/02/2020,0.1,Yellow,2130,2150,2150,
Bhiloda,04/02/2020,1.6,Other,1800,2135,1968,
,05/02/2020,1.5,Other,1800,2000,1900,
,06/02/2020,0.5,Other,1750,1850,1800,
,07/02/2020,0.3,Other,1750,1850,1800,
,12/02/2020,1.8,Other,1800,1950,1875,
,13/02/2020,0.5,Other,1750,1900,1825,
,14/02/2020,1.5,Other,1800,2255,2028,
,15/02/2020,0.5,Other,1800,1945,1873,
,17/02/2020,0.5,Other,1850,2180,2015,
,19/02/2020,0.7,Other,1750,2250,2000,
,20/02/2020,0.5,Other,1800,2000,1900,
,22/02/2020,0.5,Other,1750,1955,1853,
,24/02/2020,3.5,Other,1550,2090,1820,
,25/02/2020,2.7,Other,1700,1850,1775,
,26/02/2020,0.9,Other,1650,1925,1788,
,27/02/2020,2.5,Other,1600,1850,1725,
,28/02/2020,1.5,Other,1700,1850,1775,
,29/02/2020,0.5,Other,1750,1950,1850,
Dahod,01/02/2020,230.7,White (SAFED),1750,2400,2000,
,,,Yellow,1750,1800,1775,
,03/02/2020,311.9,White (SAFED),1850,2325,2300,
,,,Yellow,1750,1850,1825,
,04/02/2020,124.7,White (SAFED),1850,2300,1875,
,,,Yellow,1750,1815,1800,
,05/02/2020,106.6,White (SAFED),1850,2300,1900,
,,,Yellow,1800,1850,1825,
,06/02/2020,93.7,White (SAFED),1800,2313,2000,
,,,Yellow,1750,1850,1800,
,07/02/2020,236.5,White (SAFED),1800,2300,2100,
,,,Yellow,1750,1850,1800,
,08/02/2020,186.7,White (SAFED),1800,2300,2250,
,,,Yellow,1750,1850,1800,
,10/02/2020,455.9,White (SAFED),1800,2300,2265,
,,,Yellow,1700,1700,1700,
,11/02/2020,309.1,White (SAFED),1850,2300,1875,
,,,Yellow,1675,1700,1680,
,12/02/2020,81.3,White (SAFED),1850,2300,2250,
,,,Yellow,1675,1700,1680,
,13/02/2020,122.6,White (SAFED),1850,2375,1900,
,,,Yellow,1675,1700,1690,
,14/02/2020,165,White (SAFED),1850,2325,1875,
,,,Yellow,1650,1700,1675,
,15/02/2020,189.5,White (SAFED),1850,2381,2150,
,,,Yellow,1650,1700,1675,
,17/02/2020,304.6,White (SAFED),1800,2472,1825,
,,,Yellow,1600,1650,1625,
,18/02/2020,271.4,White (SAFED),1800,2500,1850,
,,,Yellow,1600,1650,1625,
,19/02/2020,236.7,White (SAFED),1850,2375,1875,
,,,Yellow,1450,1525,1475,
,20/02/2020,164.1,White (SAFED),1850,2350,1900,
,,,Yellow,1450,1550,1475,
,22/02/2020,244.3,White (SAFED),1650,2334,2150,
,,,Yellow,1450,1550,1500,
,24/02/2020,147.7,White (SAFED),1650,2422,2250,
,,,Yellow,1500,1625,1600,
,25/02/2020,133.2,White (SAFED),1600,2350,2150,
,,,Yellow,1500,1700,1650,
,26/02/2020,133.9,White (SAFED),1650,2350,1675,
,,,Yellow,1600,1700,1650,
,27/02/2020,101.9,White (SAFED),1600,2300,1700,
,,,Yellow,1600,1700,1650,
,28/02/2020,200.3,White (SAFED),1700,2300,1725,
,,,Yellow,1600,1725,1650,
,29/02/2020,104.4,White (SAFED),1750,2376,1800,
,,,Yellow,1600,1725,1650,
Davgadbaria(Piplod),02/02/2020,1.5,Deshi White,1930,1950,1940,
,04/02/2020,1.9,Deshi White,1920,1940,1930,
,06/02/2020,2.4,Deshi White,1910,1930,1920,
,09/02/2020,2.7,Deshi White,1920,1940,1930,
,12/02/2020,3.4,Deshi White,1920,1940,1930,
,16/02/2020,1,Deshi White,1930,1950,1940,
,17/02/2020,2.7,Deshi White,1930,1950,1940,
,18/02/2020,3.7,Deshi White,1940,1960,1950,
,19/02/2020,2.8,Deshi White,1940,1960,1950,
,21/02/2020,1.8,Deshi White,1910,1940,1920,
,23/02/2020,2.4,Deshi White,1910,1950,1930,
,25/02/2020,2.2,Deshi White,1900,1940,1920,
,29/02/2020,2.7,Deshi White,1910,1950,1920,
Devgadhbaria,03/02/2020,1.2,Deshi White,1930,1950,1940,
,05/02/2020,1.6,Deshi White,1930,1950,1940,
,07/02/2020,2.2,Deshi White,1920,1940,1930,
,10/02/2020,2.7,Deshi White,1930,1950,1940,
,11/02/2020,3.2,Deshi White,1920,1940,1930,
,14/02/2020,3.2,Deshi White,1930,1950,1940,
,16/02/2020,1.2,Deshi White,1930,1950,1940,
,22/02/2020,3.4,Deshi White,1900,1950,1920,
,24/02/2020,3.7,Deshi White,1920,1950,1940,
,25/02/2020,4.2,Deshi White,1910,1950,1930,
,28/02/2020,3.7,Deshi White,1910,1950,1940,
Dhansura,01/02/2020,0.2,Hybrid,2000,2200,2150,
,03/02/2020,0.5,Hybrid,2000,2200,2150,
,04/02/2020,0.3,Hybrid,2000,2190,2150,
,05/02/2020,0.5,Hybrid,2000,2190,2150,
,06/02/2020,1,Hybrid,2000,2325,2200,
,07/02/2020,0.5,Hybrid,2000,2250,2175,
,08/02/2020,0.5,Hybrid,2000,2225,2165,
,10/02/2020,0.3,Hybrid,2000,2250,2125,
,11/02/2020,0.2,Hybrid,1750,2150,2050,
,12/02/2020,0.7,Hybrid,2000,2210,2150,
,13/02/2020,0.5,Hybrid,1750,2175,2120,
,15/02/2020,0.2,Hybrid,1825,2200,2100,
,17/02/2020,0.5,Hybrid,1650,2125,2050,
,18/02/2020,3,Hybrid,1600,2000,1900,
,19/02/2020,2,Hybrid,1750,2100,2000,
,20/02/2020,0.5,Hybrid,1750,2200,2100,
,22/02/2020,0.5,Hybrid,1500,2100,2000,
,24/02/2020,0.5,Hybrid,1650,2100,2050,
,25/02/2020,0.3,Hybrid,1700,2150,2050,
,26/02/2020,0.5,Hybrid,1500,1900,1850,
,27/02/2020,0.2,Hybrid,1650,1950,1850,
,28/02/2020,0.2,Hybrid,1650,2000,1900,
,29/02/2020,1,Hybrid,1500,1950,1800,
Godhra,01/02/2020,0.5,Deshi White,1980,2060,2050,
,18/02/2020,3.4,Deshi White,1870,2160,2050,
,22/02/2020,2.2,Deshi White,1900,2305,2150,
Godhra(Kakanpur),07/02/2020,2.7,Other,2100,2350,2215,
,22/02/2020,0.9,Other,2190,2260,2215,
,26/02/2020,3.6,Other,2105,2200,2140,
Godhra(Timbaroad),06/02/2020,8.7,White Local,2105,2350,2305,
,,,Yellow,1850,1920,1905,
,17/02/2020,8.7,Other,2205,2310,2270,
Gogamba,01/02/2020,0.5, ,NR,NR,NR,
,03/02/2020,0.5,Deshi White,2400,2500,2450,
,04/02/2020,0.5,Deshi White,2400,2500,2450,
,07/02/2020,0.5,Deshi White,2300,2400,2350,
,08/02/2020,1.8,Deshi White,2400,2500,2450,
,10/02/2020,0.5,Deshi White,2300,2500,2400,
,11/02/2020,0.5,Deshi White,2400,2600,2500,
,12/02/2020,1.2,Deshi White,2400,2600,2500,
,13/02/2020,0.7,Deshi White,2400,2600,2500,
,14/02/2020,1.8,Deshi White,2200,2300,2250,
,15/02/2020,1,Deshi White,2200,2300,2250,
,17/02/2020,1.8,Deshi White,2200,2300,2250,
,18/02/2020,1,Deshi White,2200,2300,2250,
,19/02/2020,0.5,Deshi White,2200,2400,2300,
,20/02/2020,1.5,Deshi White,2200,2300,2250,
,22/02/2020,1.6,Deshi White,2100,2200,2150,
,23/02/2020,1,Deshi White,2100,2200,2150,
,24/02/2020,0.5,Deshi White,2100,2250,2150,
,25/02/2020,1,Deshi White,2200,2300,2250,
,26/02/2020,1.2,Deshi White,2250,2350,2300,
,27/02/2020,1.4,Deshi White,2250,2350,2300,
,28/02/2020,1.2,Deshi White,2100,2300,2200,
,29/02/2020,0.8,Deshi White,2100,2200,2150,
Gogamba(Similiya),01/02/2020,0.5, ,NR,NR,NR,
,03/02/2020,0.6,Deshi White,2200,2400,2300,
,04/02/2020,0.4,Deshi White,2300,2400,2350,
,07/02/2020,1,Deshi White,2200,2300,2250,
,08/02/2020,0.7,Deshi White,2250,2350,2300,
,10/02/2020,0.2,Deshi White,2200,2400,2300,
,11/02/2020,0.5,Deshi White,2400,2500,2450,
,12/02/2020,1.7,Deshi White,2200,2400,2300,
,13/02/2020,0.7,Deshi White,2200,2300,2250,
,14/02/2020,0.8,Deshi White,2050,2150,2100,
,15/02/2020,1,Deshi White,2100,2200,2150,
,17/02/2020,1,Deshi White,2200,2300,2250,
,18/02/2020,1.2,Deshi White,2200,2300,2250,
,19/02/2020,1,Deshi White,2200,2300,2250,
,20/02/2020,0.5,Deshi White,2200,2300,2250,
,22/02/2020,0.7,Deshi White,2000,2100,2050,
,23/02/2020,0.8,Deshi White,2100,2200,2150,
,25/02/2020,0.5,Deshi White,2100,2250,2200,
,26/02/2020,0.6,Deshi White,2100,2200,2150,
,27/02/2020,1,Deshi White,2100,2200,2150,
,28/02/2020,0.5,Deshi White,2100,2200,2150,
,29/02/2020,0.5,Deshi White,2000,2100,2050,
Gondal,01/02/2020,0.1,Yellow,2005,2105,2105,
,07/02/2020,0.1,Yellow,2205,2205,2205,
,08/02/2020,0.1,Yellow,1805,1855,1855,
,12/02/2020,1,Yellow,1955,2105,1955,
,17/02/2020,3.4,Yellow,1805,1805,1805,
,19/02/2020,0.1,Yellow,2155,2155,2155,
,26/02/2020,0.7,Yellow,1555,1555,1555,
,28/02/2020,0.2,Yellow,1805,1805,1805,
Himatnagar,01/02/2020,10,Yellow,1900,2200,2050,
,03/02/2020,4,Yellow,1950,2075,2025,
,04/02/2020,10,Yellow,1900,2200,2050,
,06/02/2020,5.5,Yellow,1900,2050,1975,
,07/02/2020,50,Yellow,1900,2075,2000,
,08/02/2020,6,Yellow,1900,2075,2000,
,11/02/2020,2,Yellow,1900,2075,2000,
,12/02/2020,3.5,Yellow,1900,2150,2025,
,13/02/2020,53,Yellow,1900,2200,2050,
,14/02/2020,20,Yellow,1875,2150,2025,
,17/02/2020,42.5,Yellow,1875,2150,2025,
,18/02/2020,8,Yellow,1900,2150,2025,
,19/02/2020,1,Yellow,1850,2050,1950,
,20/02/2020,5.5,Yellow,1850,2075,1975,
,22/02/2020,1,Yellow,1750,1875,1825,
,25/02/2020,29,Yellow,1400,1625,1525,
,27/02/2020,6.5,Yellow,1450,2175,1900,
,28/02/2020,20,Yellow,1750,2150,1950,
Jambusar,01/02/2020,0.1, ,NR,NR,NR,
,03/02/2020,0.1, ,NR,NR,NR,
,04/02/2020,0.1, ,NR,NR,NR,
,05/02/2020,0.1, ,NR,NR,NR,
,10/02/2020,0.1,Other,1650,1850,1750,
,11/02/2020,0.1,Other,1600,1800,1700,
,12/02/2020,0.1,Other,1600,1800,1700,
,13/02/2020,0.1,Other,1650,1850,1750,
,14/02/2020,0.1,Other,1600,1800,1700,
,15/02/2020,0.1,Other,1600,1800,1700,
,16/02/2020,0.1,Other,1600,1800,1700,
,17/02/2020,0.1,Other,1600,1800,1700,
,18/02/2020,0.1,Other,1600,1800,1700,
,19/02/2020,0.1,Other,1600,1800,1700,
,20/02/2020,0.1,Other,1600,1800,1700,
,21/02/2020,0.1,Other,1600,1800,1700,
,22/02/2020,0.1,Other,1600,1800,1700,
,23/02/2020,0.1,Other,1600,1800,1700,
,24/02/2020,0.1,Other,1600,1800,1700,
,25/02/2020,0.1,Other,1650,1850,1750,
,26/02/2020,0.1,Other,1600,1800,1700,
,27/02/2020,0.1,Other,1650,1850,1750,
,28/02/2020,0.1,Other,1600,1800,1700,
,29/02/2020,0.1,Other,1600,1800,1700,
Jambusar(Kaavi),01/02/2020,1, ,NR,NR,NR,
,03/02/2020,1, ,NR,NR,NR,
,04/02/2020,1, ,NR,NR,NR,
,05/02/2020,1, ,NR,NR,NR,
,10/02/2020,1,Other,1700,1900,1800,
,11/02/2020,1,Other,1700,1900,1800,
,12/02/2020,1,Other,1600,1800,1700,
,13/02/2020,1,Other,1600,1800,1700,
,14/02/2020,1,Other,1600,1800,1700,
,15/02/2020,1,Other,1700,1900,1800,
,16/02/2020,1,Other,1650,1850,1750,
,17/02/2020,1,Other,1600,1800,1700,
,18/02/2020,1,Other,1700,1900,1800,
,19/02/2020,1,Other,1700,1900,1800,
,20/02/2020,1,Other,1650,1850,1750,
,21/02/2020,1,Other,1550,1750,1650,
,22/02/2020,1,Other,1550,1750,1650,
,23/02/2020,1,Other,1600,1800,1700,
,24/02/2020,1,Other,1600,1800,1700,
,25/02/2020,1,Other,1650,1850,1750,
,26/02/2020,1,Other,1650,1850,1750,
,27/02/2020,1,Other,1600,1800,1700,
,28/02/2020,1,Other,1650,1850,1750,
,29/02/2020,1,Other,1650,1850,1750,
Jasdan,03/02/2020,0.1, ,NR,NR,NR,
,10/02/2020,0.1, ,NR,NR,NR,
,19/02/2020,0.1, ,NR,NR,NR,
,24/02/2020,0.1, ,NR,NR,NR,
,28/02/2020,0.1, ,NR,NR,NR,
Khedbrahma,04/02/2020,10, ,NR,NR,NR,
,05/02/2020,10, ,NR,NR,NR,
,13/02/2020,20,Other,1900,2000,1950,
,19/02/2020,50,Other,1925,1975,1950,
,28/02/2020,35,Other,1550,1645,1597,
Mahuva(Station Road),03/02/2020,0.1, ,NR,NR,NR,
,06/02/2020,0.1,Other,2005,2005,2005,
,07/02/2020,0.7,Other,2310,2360,2335,
,10/02/2020,1.5,Other,2060,2060,2060,
,19/02/2020,0.4,Other,1450,1620,1535,
,20/02/2020,0.1,Other,2110,2110,2110,
,22/02/2020,0.2,Other,1000,1030,1015,
,25/02/2020,10.5,Other,2005,2005,2005,
,26/02/2020,0.1,Other,1845,1845,1845,
Modasa,07/02/2020,4.3,Hybrid Red (Cattle Feed),1750,2000,1900,
,15/02/2020,2,Hybrid Red (Cattle Feed),1750,1965,1825,
,22/02/2020,1.5,Hybrid Red (Cattle Feed),1500,1660,1575,
,28/02/2020,3,Hybrid Red (Cattle Feed),1500,1705,1600,
,29/02/2020,2.5,Hybrid Red (Cattle Feed),1500,1700,1575,
Morva Hafad,10/02/2020,0.2,Deshi White,1750,2200,1975,
,11/02/2020,0.4,Deshi White,1750,2200,1975,
,14/02/2020,0.4,Deshi White,1750,2200,1975,
Nizar,19/02/2020,27.4, ,NR,NR,NR,
Palanpur,04/02/2020,0.8, ,NR,NR,NR,
,05/02/2020,1, ,NR,NR,NR,
,08/02/2020,1, ,NR,NR,NR,
,24/02/2020,1, ,NR,NR,NR,
,25/02/2020,0.4, ,NR,NR,NR,
Palitana,10/02/2020,0.74, ,NR,NR,NR,
,11/02/2020,0.5, ,NR,NR,NR,
,12/02/2020,0.5, ,NR,NR,NR,
,20/02/2020,0.12, ,NR,NR,NR,
Rajkot,01/02/2020,1.9,Red,1910,2260,2050,
,03/02/2020,1,Red,1860,2240,2050,
,04/02/2020,1.5,Red,1890,2240,2075,
,05/02/2020,1.9,Red,1900,2210,2000,
,06/02/2020,1.8,Red,1925,2225,2000,
,07/02/2020,2,Red,1890,2210,2000,
,08/02/2020,1.5,Red,1825,2210,2000,
,10/02/2020,1.8,Red,1850,2225,2000,
,11/02/2020,1.5,Red,1860,2235,2050,
,12/02/2020,2,Red,1890,2210,2050,
,14/02/2020,1.5,Red,1900,2210,2100,
,15/02/2020,1.7,Red,1825,2200,2000,
,17/02/2020,2,Red,1835,2200,2000,
,27/02/2020,1,Red,1850,2205,2000,
,29/02/2020,1,Red,1850,2200,2000,
Rajula,14/02/2020,0.1,Other,2500,2500,2500,
,19/02/2020,0.2,Other,2175,2255,2215,
,20/02/2020,0.1,Other,1750,1750,1750,
,27/02/2020,0.1,Other,2000,2000,2000,
Savarkundla,03/02/2020,0.2,Hybrid,2000,2155,2078,
,17/02/2020,0.1,Hybrid,2500,2500,2500,
,24/02/2020,0.3,Hybrid,2075,2250,2163,
,25/02/2020,0.2,Hybrid,2500,2500,2500,
Vadodara,03/02/2020,122.72, ,NR,NR,NR,
,05/02/2020,1.2,Deshi White,1800,2000,2000,
,06/02/2020,5.9,Deshi White,1800,2000,2000,
,07/02/2020,1.8,Deshi White,2300,2400,2400,
,11/02/2020,10.95,Deshi White,2300,2400,2400,
,12/02/2020,12.46,Deshi White,2300,2400,2400,
,14/02/2020,2,Deshi White,2300,2400,2400,
,15/02/2020,6.82,Deshi White,2300,2400,2400,
,17/02/2020,6.6,Deshi White,2300,2400,2400,
,18/02/2020,15.51,Deshi White,2300,2400,2400,
,19/02/2020,2,Deshi White,2300,2400,2400,
,22/02/2020,37.02,Deshi White,2300,2400,2400,
Vagodiya,04/02/2020,1.8,Hybrid Yellow (Cattle Feed),1760,1860,1800,
,06/02/2020,5.8,Hybrid Yellow (Cattle Feed),1800,1910,1860,
