Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Daltenganj,22/10/2018,1.36,Deshi White,1550,1750,1700,
,29/10/2018,1.44,Deshi White,1550,1750,1700,
,30/10/2018,0.76,Deshi White,1550,1800,1700,
,31/10/2018,2.15,Deshi White,1550,1800,1710,
Gadhwah,03/10/2018,3.2, ,NR,NR,NR,
,11/10/2018,3.8,Other,1730,1800,1750,
Pakur,01/10/2018,0.01, ,NR,NR,NR,
,02/10/2018,0.01, ,NR,NR,NR,
,03/10/2018,0.2, ,NR,NR,NR,
,04/10/2018,0.06,Other,1700,1800,1750,
,05/10/2018,0.01,Other,1700,1800,1750,
,06/10/2018,0.01,Other,1700,1800,1750,
,07/10/2018,0.02,Other,1700,1800,1750,
,08/10/2018,0.1,Other,1700,1800,1750,
,09/10/2018,0.01,Other,1700,1800,1750,
,10/10/2018,0.1,Other,1700,1800,1750,
,11/10/2018,0.01,Other,1700,1800,1750,
,12/10/2018,0.01,Other,1700,1800,1750,
,13/10/2018,0.02,Other,1700,1800,1750,
,20/10/2018,0.02,Other,1700,1800,1750,
,21/10/2018,0.05,Other,1700,1800,1750,
,22/10/2018,0.06,Other,1700,1800,1750,
,23/10/2018,0.01,Other,1700,1800,1750,
,24/10/2018,0.02,Other,1700,1800,1750,
,25/10/2018,0.05,Other,1700,1800,1750,
,26/10/2018,0.03,Other,1700,1800,1750,
,27/10/2018,0.03,Other,1700,1800,1750,
,28/10/2018,0.02,Other,1700,1800,1750,
,29/10/2018,0.02,Other,1700,1800,1750,
,30/10/2018,0.04,Other,1700,1800,1750,
,31/10/2018,0.01,Other,1700,1800,1750,
