Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arakalgud,10/07/2019,10,Local,2700,2700,2700,
,16/07/2019,10,Local,2200,2400,2300,
,26/07/2019,5,Local,2250,2250,2250,
Arasikere,18/07/2019,13,Local,3550,3550,3550,
Athani,15/07/2019,4,Hybrid/Local,1800,2400,2000,
,18/07/2019,1,Hybrid/Local,1800,2400,2400,
,29/07/2019,20,Hybrid/Local,1800,2400,2000,
,30/07/2019,4,Hybrid/Local,1800,2500,2400,
Bagalakot,20/07/2019,1,Hybrid/Local,2311,2311,2311,
,23/07/2019,2,Hybrid/Local,2350,2350,2350,
Bagepalli,15/07/2019,14,Other,1900,2200,2000,
Bangalore,15/07/2019,60,Hybrid/Local,2500,2700,2600,
,16/07/2019,11,Hybrid/Local,2500,2700,2600,
,17/07/2019,50,Hybrid/Local,2500,2700,2600,
,18/07/2019,15,Hybrid/Local,2500,2700,2600,
,19/07/2019,17,Hybrid/Local,2600,2700,2650,
,20/07/2019,44,Hybrid/Local,2600,2700,2650,
,22/07/2019,23,Hybrid/Local,2600,2700,2650,
,23/07/2019,39,Hybrid/Local,2600,2700,2650,
,24/07/2019,41,Hybrid/Local,2600,2700,2650,
,25/07/2019,32,Hybrid/Local,2600,2700,2650,
,26/07/2019,20,Hybrid/Local,2600,2700,2650,
,29/07/2019,68,Hybrid/Local,2600,2700,2650,
,30/07/2019,51,Hybrid/Local,2600,2700,2650,
,31/07/2019,53,Hybrid/Local,2600,2700,2650,
Bangarpet,20/07/2019,19,Hybrid/Local,2200,2750,2500,
Channarayapatna,13/07/2019,14,Local,2300,2300,2300,
Chickkaballapura,02/07/2019,2,Sweet Corn (For Biscuits),4200,4300,4250,
,03/07/2019,2,Sweet Corn (For Biscuits),4670,4770,4670,
,04/07/2019,3,Sweet Corn (For Biscuits),1500,1600,1500,
,07/07/2019,3,Local,3300,3400,3400,
,10/07/2019,3,Local,2400,2500,2400,
,11/07/2019,6,Sweet Corn (For Biscuits),3700,3800,3700,
,12/07/2019,21,Local,6720,6820,6720,
,16/07/2019,6,Local,2520,2530,2520,
,,,Sweet Corn (For Biscuits),3750,3850,3750,
,17/07/2019,5,Local,2200,2300,2200,
,,,Sweet Corn (For Biscuits),2335,2445,2335,
,19/07/2019,11,Local,4340,4350,4340,
,20/07/2019,6,Sweet Corn (For Biscuits),3700,3800,3700,
,22/07/2019,5,Sweet Corn (For Biscuits),2400,2500,2400,
,26/07/2019,10,Sweet Corn (For Biscuits),4000,4100,4000,
,30/07/2019,1,Local,324,400,324,
Chikkamagalore,24/07/2019,12,Local,2500,2500,2500,
,26/07/2019,6,Local,2100,2100,2100,
,31/07/2019,2,Local,2100,2100,2100,
Chintamani,28/07/2019,21,Local,2500,2800,2650,
Chitradurga,24/07/2019,16,Local,2650,2690,2674,
Davangere,15/07/2019,4,Local,2560,2560,2560,
,24/07/2019,13,Local,2150,2200,2171,
Dharwar,24/07/2019,44,Local,2254,2254,2254,
Doddaballa Pur,31/07/2019,439,Local,2400,2460,2430,
Gadag,26/07/2019,3,Local,1324,1867,1335,
Gokak,09/07/2019,12,Local,2450,2450,2450,
,20/07/2019,89,Local,2270,2400,2270,
Gowribidanoor,17/07/2019,27,Hybrid/Local,2000,2300,2100,
,18/07/2019,20,Hybrid/Local,2000,2300,2100,
,23/07/2019,28,Hybrid/Local,2000,2300,2100,
Gubbi,22/07/2019,1,Yellow,2000,2000,2000,
Gulbarga,12/07/2019,1,Local,2210,2350,2306,
,15/07/2019,1,Local,2175,2275,2225,
,16/07/2019,1,Local,2206,2276,2252,
,17/07/2019,1,Local,2208,2278,2254,
,29/07/2019,1,Local,2200,2275,2251,
,30/07/2019,1,Local,2301,2602,2466,
,31/07/2019,1,Local,2400,2625,2552,
Gundlupet,22/07/2019,16,Local,1550,1550,1550,
,24/07/2019,12,Local,1550,1550,1550,
,25/07/2019,15,Local,1550,1550,1550,
,30/07/2019,30,Local,1550,1550,1550,
H.B. Halli,22/07/2019,62,Hybrid/Local,2450,2650,2500,
,24/07/2019,14,Hybrid/Local,2200,2200,2200,
,30/07/2019,1,Hybrid/Local,2500,2500,2500,
Hanagal,15/07/2019,113,Local,2000,2500,2100,
,16/07/2019,107,Local,2000,2500,2100,
,17/07/2019,15,Local,2520,2520,2520,
,18/07/2019,59,Local,2000,2520,2000,
,19/07/2019,34,Local,2250,2600,2600,
,20/07/2019,20,Local,1850,1850,1850,
,23/07/2019,19,Local,2100,2100,2100,
,24/07/2019,72,Local,2480,2550,2550,
,25/07/2019,39,Local,2455,2550,2455,
,26/07/2019,29,Local,2100,2300,2100,
,29/07/2019,66,Local,2100,2470,2470,
,30/07/2019,46,Local,2400,2400,2400,
,31/07/2019,36,Local,2100,2500,2500,
Harappana Halli,23/07/2019,50,Hybrid/Local,2500,2575,2575,
Hassan,12/07/2019,8,Local,2500,2500,2500,
,16/07/2019,44,Local,1600,2000,2000,
,23/07/2019,81,Local,1700,1700,1700,
,24/07/2019,9,Local,2500,2500,2500,
Haveri,17/07/2019,170,Local,2350,2450,2400,
,18/07/2019,77,Local,2400,2400,2400,
,22/07/2019,50,Local,2390,2390,2390,
,23/07/2019,284,Local,2400,2550,2450,
,25/07/2019,47,Local,2100,2500,2400,
,29/07/2019,76,Local,2500,2500,2500,
,30/07/2019,55,Local,2500,2500,2500,
,31/07/2019,93,Local,2500,2500,2500,
Hirekerur,22/07/2019,191,Hybrid/Local,2000,2150,2100,
,23/07/2019,205,Hybrid/Local,2000,2200,2150,
,24/07/2019,30,Hybrid/Local,2000,2200,2150,
Holenarsipura,16/07/2019,126,Local,2600,2600,2600,
,18/07/2019,5,Local,2200,2200,2200,
,22/07/2019,16,Local,2400,2400,2400,
Honnali,15/07/2019,18,Local,1900,2050,2000,
,16/07/2019,32,Local,1920,2150,2000,
,17/07/2019,222,Local,2000,2200,2100,
,18/07/2019,37,Local,2000,2200,2150,
,19/07/2019,32,Local,2000,2200,2150,
,20/07/2019,42,Local,2000,2250,2150,
,22/07/2019,39,Local,1950,2200,2180,
,23/07/2019,49,Local,1900,2200,2150,
,24/07/2019,29,Local,1950,2100,2000,
,25/07/2019,23,Local,1920,2090,2060,
,26/07/2019,78,Local,1950,2150,2110,
,29/07/2019,122,Local,1950,2100,1980,
,30/07/2019,26,Local,1980,2150,2100,
,31/07/2019,898,Local,1950,2200,2180,
Hoskote,22/07/2019,700,Local,2080,2080,2080,
Hubli (Amaragol),15/07/2019,6,Local,2455,2455,2455,
,23/07/2019,5,Local,2471,2491,2471,
Hungund,15/07/2019,15,Hybrid/Local,2400,2400,2400,
,16/07/2019,12,Local,2400,2400,2400,
Jamakhandi,01/07/2019,40,Hybrid/Local,2200,2400,2300,
,04/07/2019,56,Hybrid/Local,2250,2400,2380,
,10/07/2019,3,Hybrid/Local,2100,2300,2200,
,12/07/2019,51,Hybrid/Local,2100,2420,2300,
,15/07/2019,3,Hybrid/Local,2100,2300,2200,
,16/07/2019,31,Hybrid/Local,2300,2450,2420,
,24/07/2019,2,Hybrid/Local,2200,2400,2300,
,26/07/2019,31,Hybrid/Local,2300,2450,2400,
,30/07/2019,31,Hybrid/Local,2300,2450,2400,
Kadur,31/07/2019,6,Local,2000,2000,2000,
Kalagategi,01/07/2019,21,Local,2000,2100,2050,
Kolar,26/07/2019,47,Local,2600,2700,2653,
,31/07/2019,30,Sweet Corn (For Biscuits),4200,4300,4250,
Kollegal,16/07/2019,18,Local,2000,2400,2200,
,30/07/2019,3,Local,2700,2700,2700,
,31/07/2019,13,Local,2700,2700,2700,
Koppal,15/07/2019,2,Yellow,2419,2500,2451,
,18/07/2019,5,Yellow,2329,2419,2388,
,22/07/2019,2,Yellow,2329,2481,2453,
