Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,03/01/2018,1.32,Other,1100,1100,1100,
,04/01/2018,0.85,Other,1122,1122,1122,
,08/01/2018,0.32,Other,1075,1101,1101,
,11/01/2018,0.63,Other,1090,1091,1091,
,15/01/2018,3.34,Other,1083,1083,1083,
,17/01/2018,0.98,Other,1070,1070,1070,
,24/01/2018,0.42,Other,1050,1050,1050,
Agar,02/01/2018,0.4,Other,1150,1150,1150,
,03/01/2018,2,Other,1100,1140,1135,
,04/01/2018,0.2,Other,1140,1140,1140,
,05/01/2018,0.4,Other,1133,1133,1133,
,06/01/2018,2.5,Other,1000,1100,1040,
,08/01/2018,0.3,Other,1000,1000,1000,
,11/01/2018,0.3,Other,1105,1105,1105,
,12/01/2018,0.7,Other,917,1138,1050,
,23/01/2018,1.5,Other,1142,1142,1142,
,24/01/2018,0.2,Other,950,950,950,
,29/01/2018,0.3,Other,1002,1002,1002,
,30/01/2018,1,Other,1000,1119,1110,
Alirajpur,24/01/2018,1.2,Deshi White,1100,1200,1150,
Anjad,03/01/2018,153.63,Yellow,1000,1130,1110,
,04/01/2018,109.4,Yellow,1070,1140,1100,
,05/01/2018,106.4,Yellow,1035,1251,1100,
,06/01/2018,175.72,Yellow,1125,1135,1135,
,08/01/2018,89.7,Yellow,1100,1150,1110,
,09/01/2018,105.59,Yellow,1000,1150,1125,
,10/01/2018,137.65,Yellow,1055,1105,1075,
,11/01/2018,117.3,Yellow,1050,1175,1075,
,12/01/2018,137.03,Yellow,1075,1150,1100,
,13/01/2018,128.34,Yellow,1000,1150,1050,
,14/01/2018,134.37,Yellow,1000,1200,1125,
,15/01/2018,218.9,Yellow,1080,1125,1100,
,16/01/2018,46.58,Yellow,1000,1125,1050,
,17/01/2018,20.05,Yellow,1000,1100,1080,
,18/01/2018,9,Yellow,1075,1130,1125,
,19/01/2018,311.36,Yellow,1075,1130,1105,
,20/01/2018,48.1,Yellow,1105,1130,1110,
,21/01/2018,139.3,Yellow,1035,1140,1120,
,22/01/2018,99.63,Yellow,1075,1125,1120,
,23/01/2018,89.5,Yellow,975,1125,1100,
,24/01/2018,96.63,Yellow,975,1125,1100,
,25/01/2018,167.77,Yellow,1075,1150,1095,
,26/01/2018,85.44,Yellow,1050,1130,1100,
,27/01/2018,72.9,Yellow,1080,1125,1090,
,28/01/2018,86.65,Yellow,1075,1100,1090,
,30/01/2018,126.58,Yellow,1075,1135,1100,
,31/01/2018,201.7,Yellow,1075,1200,1125,
Anuppur,02/01/2018,1.75,Other,1095,1100,1100,
,04/01/2018,2.03,Other,1100,1100,1100,
,05/01/2018,21.2,Other,1427,1427,1427,
Aron,03/01/2018,0.3,Other,NR,NR,1040,
,04/01/2018,0.1,Other,NR,NR,1000,
,17/01/2018,0.8,Other,NR,NR,1047,
,24/01/2018,0.7,Other,NR,NR,1075,
Ashoknagar,01/01/2018,8.2,Other,1100,1100,1100,
,05/01/2018,2,Other,1165,1165,1165,
,10/01/2018,6.9,Other,1096,1140,1096,
Ashta,01/01/2018,15.6,Other,1081,1118,1110,
,02/01/2018,15.5,Other,1111,1138,1122,
,03/01/2018,11.2,Other,1110,1125,1120,
,04/01/2018,15.7,Other,1080,1125,1121,
,05/01/2018,17.5,Other,1100,1119,1114,
,06/01/2018,8,Other,1110,1118,1117,
,08/01/2018,12.7,Other,1050,1122,1117,
,09/01/2018,12.2,Other,1051,1122,1117,
,10/01/2018,4.3,Other,1105,1114,1110,
,11/01/2018,3,Other,1100,1128,1120,
