Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,01/11/2018,7,Other,1300,1361,1340,
,02/11/2018,15,Other,1300,1361,1340,
,03/11/2018,12,Other,1300,1300,1300,
,06/11/2018,4,Other,1305,1908,1610,
,12/11/2018,7,Other,1375,1900,1637,
,13/11/2018,7,Other,1311,1400,1351,
,14/11/2018,7,Other,1301,1800,1550,
,15/11/2018,4,Other,1301,1301,1301,
,16/11/2018,1,Other,1375,1375,1375,
,17/11/2018,5,Other,1325,1475,1400,
,19/11/2018,7,Other,1275,1400,1337,
,20/11/2018,10,Other,1200,1400,1300,
,21/11/2018,28,Other,1391,1391,1391,
,22/11/2018,6,Other,1391,1391,1391,
,23/11/2018,10,Other,1391,1391,1391,
,24/11/2018,2,Other,1500,1500,1500,
,26/11/2018,6,Other,1415,1451,1430,
,29/11/2018,3,Other,1451,1551,1501,
,30/11/2018,3,Other,1525,1525,1525,
Ahmedpur,13/11/2018,1,Other,1390,1390,1390,
Akkalkot,08/11/2018,3,Other,1401,1401,1401,
,12/11/2018,8,Other,1400,1401,1400,
Akkalkuwa,12/11/2018,27,Other,1411,1490,1460,
,13/11/2018,30,Other,1381,1480,1466,
,14/11/2018,34,Other,1390,1488,1461,
,15/11/2018,30,Other,1390,1488,1461,
,16/11/2018,31,Other,1421,1488,1475,
,17/11/2018,26,Other,1420,1492,1481,
,19/11/2018,38,Other,1405,1489,1481,
,20/11/2018,35,Other,1430,1482,1465,
,22/11/2018,31,Other,1380,1496,1478,
,24/11/2018,25,Other,1408,1491,1485,
,26/11/2018,40,Other,1495,1791,1778,
,27/11/2018,25,Other,1390,1501,1485,
,28/11/2018,45,Other,1400,1487,1471,
,29/11/2018,29,Other,1421,1486,1481,
,30/11/2018,30,Other,1400,1491,1480,
Akola,01/11/2018,1,Yellow,1125,1125,1125,
,03/11/2018,2,Yellow,1150,1650,1300,
,12/11/2018,1,Yellow,1625,1625,1625,
,13/11/2018,8,Yellow,1350,1625,1485,
,15/11/2018,9,Yellow,1150,1600,1375,
,17/11/2018,1,Yellow,1125,1125,1125,
,19/11/2018,3,Yellow,1125,1500,1160,
,22/11/2018,2,Yellow,1200,1600,1400,
,23/11/2018,1,Yellow,1450,1650,1550,
,26/11/2018,1,Yellow,1650,1650,1650,
,28/11/2018,2,Yellow,1140,1600,1370,
Akot,17/11/2018,20,Deshi White,1161,1296,1200,
Amalner,01/11/2018,185,Deshi Red,1150,1431,1431,
,02/11/2018,170,Deshi Red,1300,1425,1425,
,03/11/2018,170,Deshi Red,1315,1425,1425,
,10/11/2018,40,Deshi Red,1304,1381,1381,
,12/11/2018,95,Deshi Red,1320,1408,1408,
,13/11/2018,63,Deshi Red,1340,1423,1423,
,14/11/2018,52,Deshi Red,1255,1455,1455,
