Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,08/09/2018,2,Other,1400,1400,1400,
,12/09/2018,2,Other,1400,1400,1400,
Ahmedpur,08/09/2018,5,Other,1100,1340,1220,
Akola,18/09/2018,1,Yellow,1500,1500,1500,
,29/09/2018,1,Yellow,1250,1250,1250,
Amalner,11/09/2018,1,Deshi Red,1408,1450,1450,
,12/09/2018,1,Deshi Red,1251,1425,1425,
,15/09/2018,3,Deshi Red,1191,1191,1191,
,17/09/2018,2,Deshi Red,1300,1440,1440,
,18/09/2018,1,Deshi Red,1400,1400,1400,
,19/09/2018,1,Deshi Red,1270,1270,1270,
,21/09/2018,1,Deshi Red,1350,1350,1350,
,22/09/2018,1,Deshi Red,1251,1325,1325,
,25/09/2018,1,Deshi Red,1270,1400,1400,
,26/09/2018,1,Deshi Red,1200,1350,1350,
,27/09/2018,1,Deshi Red,1300,1400,1400,
,29/09/2018,3,Deshi Red,1220,1234,1234,
Aurangabad,26/09/2018,4,Yellow,910,910,910,
Baramati,11/09/2018,10,Deshi Red,1421,1611,1550,
,20/09/2018,21,Deshi Red,1325,1600,1525,
Barshi,24/09/2018,4,Other,3000,3900,3500,
,26/09/2018,2,Other,1500,1500,1500,
Beed,06/09/2018,2,Other,1441,1668,1600,
,22/09/2018,2,Other,1341,1341,1341,
Bhokardan,01/09/2018,4,Yellow,1300,1400,1350,
,03/09/2018,4,Yellow,1350,1400,1370,
,08/09/2018,4,Yellow,1350,1450,1400,
,15/09/2018,3,Yellow,1400,1500,1450,
,17/09/2018,4,Yellow,1400,1500,1450,
,22/09/2018,5,Yellow,1450,1550,1500,
,24/09/2018,4,Yellow,1450,1550,1500,
,29/09/2018,1,Yellow,1350,1450,1400,
Bhokardan(Pimpalgaon Renu),04/09/2018,3,Yellow,1300,1450,1350,
,11/09/2018,2,Yellow,1350,1450,1400,
,18/09/2018,4,Yellow,1400,1500,1450,
,25/09/2018,3,Yellow,1400,1500,1450,
Bhusaval,29/09/2018,28,Yellow,1460,1460,1460,
Buldhana,03/09/2018,6,Yellow,1100,1350,1350,
,04/09/2018,3,Yellow,1100,1350,1350,
,05/09/2018,10,Yellow,1100,1350,1350,
,06/09/2018,2,Yellow,1250,1350,1350,
,13/09/2018,2,Yellow,1150,1350,1350,
,19/09/2018,5,Yellow,1150,1350,1350,
Chalisgaon,11/09/2018,7,Yellow,1254,1400,1300,
,14/09/2018,7,Yellow,1270,1400,1291,
,18/09/2018,9,Yellow,1300,1360,1354,
,19/09/2018,7,Yellow,1011,1400,1300,
,21/09/2018,43,Yellow,980,1286,1200,
,25/09/2018,13,Yellow,986,1300,1195,
,26/09/2018,10,Yellow,978,1351,1300,
