Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badepalli,04/02/2020,17.3, ,NR,NR,NR,
,05/02/2020,4.8, ,NR,NR,NR,
,06/02/2020,2.2, ,NR,NR,NR,
,11/02/2020,5.6, ,NR,NR,NR,
,12/02/2020,0.4, ,NR,NR,NR,
,14/02/2020,0.4, ,NR,NR,NR,
,15/02/2020,3.4, ,NR,NR,NR,
,17/02/2020,4.5, ,NR,NR,NR,
,18/02/2020,2.3, ,NR,NR,NR,
,19/02/2020,12.2, ,NR,NR,NR,
,20/02/2020,5.4, ,NR,NR,NR,
,22/02/2020,0.5, ,NR,NR,NR,
,24/02/2020,18.6, ,NR,NR,NR,
,25/02/2020,4.1, ,NR,NR,NR,
,26/02/2020,1.9, ,NR,NR,NR,
,27/02/2020,2.2, ,NR,NR,NR,
,28/02/2020,11.2, ,NR,NR,NR,
,29/02/2020,7, ,NR,NR,NR,
Banswada,22/02/2020,100, ,NR,NR,NR,
Bhainsa,03/02/2020,6.2, ,NR,NR,NR,
,13/02/2020,4.88, ,NR,NR,NR,
,26/02/2020,5.2,Hybrid,1559,1559,1559,
,29/02/2020,7.1,Hybrid,1542,1596,1579,
Bhiknoor,08/02/2020,10, ,NR,NR,NR,
Charla,04/02/2020,150, ,NR,NR,NR,
,05/02/2020,100, ,NR,NR,NR,
,06/02/2020,1547, ,NR,NR,NR,
,07/02/2020,300, ,NR,NR,NR,
,08/02/2020,688, ,NR,NR,NR,
,09/02/2020,145, ,NR,NR,NR,
,10/02/2020,422, ,NR,NR,NR,
,11/02/2020,314, ,NR,NR,NR,
,12/02/2020,340, ,NR,NR,NR,
,13/02/2020,380, ,NR,NR,NR,
,14/02/2020,539, ,NR,NR,NR,
,15/02/2020,1066, ,NR,NR,NR,
,17/02/2020,170, ,NR,NR,NR,
,18/02/2020,810, ,NR,NR,NR,
,19/02/2020,1140, ,NR,NR,NR,
,20/02/2020,540, ,NR,NR,NR,
,21/02/2020,340, ,NR,NR,NR,
,22/02/2020,521, ,NR,NR,NR,
,24/02/2020,1514, ,NR,NR,NR,
,25/02/2020,530, ,NR,NR,NR,
,26/02/2020,200, ,NR,NR,NR,
,27/02/2020,909, ,NR,NR,NR,
,28/02/2020,672, ,NR,NR,NR,
,29/02/2020,540, ,NR,NR,NR,
Choppadandi,01/02/2020,6.7, ,NR,NR,NR,
,03/02/2020,8.9, ,NR,NR,NR,
,04/02/2020,14.1, ,NR,NR,NR,
,10/02/2020,3.4, ,NR,NR,NR,
,11/02/2020,2.3, ,NR,NR,NR,
,12/02/2020,1.7, ,NR,NR,NR,
,13/02/2020,4.7, ,NR,NR,NR,
,14/02/2020,12.4, ,NR,NR,NR,
,15/02/2020,3.6, ,NR,NR,NR,
,17/02/2020,0.5, ,NR,NR,NR,
,18/02/2020,7.2, ,NR,NR,NR,
,19/02/2020,4.9, ,NR,NR,NR,
,20/02/2020,2.9, ,NR,NR,NR,
,24/02/2020,14,Hybrid,1532,1771,1655,
,25/02/2020,2.2,Hybrid,1728,1766,1728,
,27/02/2020,7.7,Hybrid,1728,1781,1761,
Dammapet,05/02/2020,12,Deshi Red,1800,2000,1900,
,08/02/2020,25,Deshi Red,1800,2000,1900,
,12/02/2020,67,Deshi Red,1800,2000,1900,
,14/02/2020,26.5,Deshi Red,1900,2100,2000,
,17/02/2020,21,Deshi Red,1800,2000,1900,
,18/02/2020,12,Deshi Red,1800,2000,1900,
,20/02/2020,11,Deshi Red,1900,2100,2000,
,22/02/2020,26,Deshi Red,1800,2000,1900,
,24/02/2020,21,Deshi Red,1800,2000,1900,
,26/02/2020,25,Deshi Red,1800,2000,1900,
,27/02/2020,82,Deshi Red,1800,2000,1900,
,28/02/2020,48.5,Deshi Red,1800,2000,1900,
Gollapally,03/02/2020,0.8, ,NR,NR,NR,
Huzzurabad,01/02/2020,1, ,NR,NR,NR,
,02/02/2020,1, ,NR,NR,NR,
,03/02/2020,1, ,NR,NR,NR,
,04/02/2020,1, ,NR,NR,NR,
,05/02/2020,1,Deshi Red,1760,1760,1760,
,06/02/2020,1,Deshi Red,1760,1760,1760,
,07/02/2020,1,Deshi Red,1760,1760,1760,
,08/02/2020,1,Deshi Red,1760,1760,1760,
,09/02/2020,1,Deshi Red,1760,1760,1760,
,10/02/2020,1,Deshi Red,1760,1760,1760,
,11/02/2020,1,Deshi Red,1760,1760,1760,
,14/02/2020,1,Deshi Red,1760,1760,1760,
,15/02/2020,1,Deshi Red,1760,1760,1760,
,16/02/2020,1,Deshi Red,1760,1760,1760,
,17/02/2020,1,Deshi Red,1760,1760,1760,
,20/02/2020,1,Deshi Red,1760,1760,1760,
,21/02/2020,1,Deshi Red,1760,1760,1760,
,22/02/2020,1,Deshi Red,1760,1760,1760,
,23/02/2020,1,Deshi Red,1760,1760,1760,
,24/02/2020,1,Deshi Red,1760,1760,1760,
,25/02/2020,1,Deshi Red,1760,1760,1760,
,26/02/2020,1,Deshi Red,1760,1760,1760,
,27/02/2020,1,Deshi Red,1760,1760,1760,
,28/02/2020,1,Deshi Red,1760,1760,1760,
,29/02/2020,1,Deshi Red,1760,1760,1760,
Jagtial,01/02/2020,0.5, ,NR,NR,NR,
,02/02/2020,0.1, ,NR,NR,NR,
,03/02/2020,2.6, ,NR,NR,NR,
,05/02/2020,1.8,Deshi Red,1625,1705,1705,
,06/02/2020,0.2,Deshi Red,1645,1675,1675,
,07/02/2020,1.2,Deshi Red,1356,1656,1656,
,14/02/2020,0.2,Deshi Red,1575,1605,1605,
,15/02/2020,0.4,Deshi Red,1435,1636,1636,
,16/02/2020,0.1,Deshi Red,1600,1600,1600,
,17/02/2020,1.6,Deshi Red,1212,1675,1675,
,18/02/2020,3.8,Deshi Red,1285,1711,1711,
,19/02/2020,0.4,Deshi Red,1515,1801,1801,
,21/02/2020,0.1,Deshi Red,1700,1700,1700,
,22/02/2020,0.1,Deshi Red,1700,1700,1700,
,23/02/2020,0.1,Deshi Red,1600,1600,1600,
,24/02/2020,3.8,Deshi Red,1711,1711,1711,
,25/02/2020,2.2,Deshi Red,1111,1685,1625,
,26/02/2020,2.4,Deshi Red,1111,1751,1751,
,27/02/2020,1.5,Deshi Red,1250,1750,1750,
,28/02/2020,1.3,Deshi Red,1311,1688,1575,
,29/02/2020,0.4,Deshi Red,1350,1551,1350,
Jangaon,10/02/2020,11, ,NR,NR,NR,
,11/02/2020,8.25, ,NR,NR,NR,
,12/02/2020,11, ,NR,NR,NR,
,13/02/2020,27.5, ,NR,NR,NR,
,17/02/2020,8.25, ,NR,NR,NR,
,18/02/2020,13.75, ,NR,NR,NR,
,19/02/2020,16.5, ,NR,NR,NR,
