Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dhekiajuli,02/12/2018,2,Other,4000,4200,4200,
,03/12/2018,3.5,Other,4000,4100,4100,
,06/12/2018,1.5,Other,4000,4100,4100,
,07/12/2018,4.5, ,NR,NR,NR,
,08/12/2018,1.5,Other,4000,4100,4100,
,10/12/2018,2,Other,4000,4100,4100,
,11/12/2018,4.5,Other,4000,4100,4100,
,12/12/2018,3.5, ,NR,NR,NR,
,13/12/2018,3.2,Other,4000,4100,4100,
,14/12/2018,3.5,Other,4000,4100,4100,
,15/12/2018,3.5,Other,4000,4100,4100,
,16/12/2018,3.5, ,NR,NR,NR,
,17/12/2018,4.5, ,NR,NR,NR,
,18/12/2018,3.5, ,NR,NR,NR,
,19/12/2018,2.5,Other,4000,4100,4100,
,24/12/2018,4.5,Other,4000,4100,4100,
,25/12/2018,3.5,Other,4000,4100,4100,
,26/12/2018,2.5,Other,4000,4100,4100,
,28/12/2018,3, ,NR,NR,NR,
,29/12/2018,4.5, ,NR,NR,NR,
Dhing,01/12/2018,28,Mustard,3500,4200,4000,
,07/12/2018,30,Mustard,3500,4300,4000,
,11/12/2018,30,Mustard,3800,4500,4200,
,14/12/2018,30,Mustard,3500,4300,4000,
,17/12/2018,36, ,NR,NR,NR,
,18/12/2018,15,Mustard,3800,4500,4200,
,20/12/2018,25, ,NR,NR,NR,
,24/12/2018,32,Mustard,3500,4200,4000,
,26/12/2018,40,Mustard,4200,4500,4300,
,27/12/2018,30,Mustard,4200,4500,4300,
,28/12/2018,32,Mustard,4200,4500,4300,
,29/12/2018,29, ,NR,NR,NR,
,31/12/2018,36,Mustard,4200,4500,4350,
Howly,03/12/2018,3,Mustard,3800,4000,3900,
,06/12/2018,30,Mustard,3800,4000,3900,
,17/12/2018,3, ,NR,NR,NR,
,24/12/2018,2,Mustard,3900,4000,3950,
,27/12/2018,2, ,NR,NR,NR,
