Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bohorihat,01/02/2018,6,Mustard,2500,3400,3000,
,02/02/2018,2,Mustard,2750,3500,2800,
,03/02/2018,6,Mustard,3000,3500,3250,
,05/02/2018,5,Mustard,3000,3500,3375,
,06/02/2018,4,Mustard,3000,3500,3350,
,07/02/2018,6,Mustard,3150,3500,3375,
,08/02/2018,9,Mustard,3250,3500,3375,
,09/02/2018,3,Mustard,3250,3500,3375,
,13/02/2018,7.5,Mustard,3250,3400,3325,
,14/02/2018,3,Mustard,3250,3500,3350,
,17/02/2018,9,Mustard,3350,3550,3500,
,18/02/2018,5,Mustard,3400,3500,3450,
,19/02/2018,7,Mustard,3400,3500,3450,
,20/02/2018,10,Mustard,3350,3550,3500,
,21/02/2018,3,Mustard,3350,3500,3400,
,22/02/2018,12,Mustard,3400,3525,3500,
,23/02/2018,3,Mustard,3400,3550,3500,
,25/02/2018,5,Mustard,3375,3550,3500,
,26/02/2018,9,Mustard,3375,3550,3500,
Bongiagaon,02/02/2018,2,Other,2750,3250,3200,
,03/02/2018,1.8,Other,2750,3250,3200,
,05/02/2018,2,Other,2750,3250,3200,
,06/02/2018,2.8,Other,2750,3250,3200,
,12/02/2018,2.2,Other,3000,3250,3200,
,13/02/2018,2.2,Other,3000,3250,3200,
,15/02/2018,2,Other,3000,3250,3200,
,16/02/2018,2.7,Other,3000,3250,3200,
,18/02/2018,1.5,Other,3000,3250,3200,
,19/02/2018,1.8,Other,3000,3250,3200,
,21/02/2018,2.3,Other,3000,3250,3200,
,22/02/2018,2.3,Other,3250,3350,3300,
,23/02/2018,20.7,Other,3200,3300,3250,
Dhekiajuli,03/02/2018,4, ,NR,NR,NR,
,05/02/2018,2.5, ,NR,NR,NR,
,06/02/2018,3.5,Other,3800,3900,3900,
,08/02/2018,2,Other,3800,3900,3900,
,09/02/2018,2.2, ,NR,NR,NR,
,12/02/2018,0.3, ,NR,NR,NR,
,13/02/2018,2.5,Other,3800,3900,3900,
,14/02/2018,2.5,Other,3800,3900,3900,
,15/02/2018,0.2,Other,3800,3900,3900,
,16/02/2018,2.6,Other,3800,3900,3900,
,17/02/2018,2.5,Other,3800,3900,3900,
,18/02/2018,4.5,Other,3800,3900,3900,
,19/02/2018,2.5,Other,3800,3900,3900,
,21/02/2018,4.5, ,NR,NR,NR,
,22/02/2018,3.4, ,NR,NR,NR,
,27/02/2018,2.4,Other,3800,3900,3900,
,28/02/2018,3.5, ,NR,NR,NR,
Dhing,07/02/2018,20,Mustard,3000,3500,3200,
,08/02/2018,30,Mustard,3000,3500,3200,
,12/02/2018,30,Mustard,3000,3500,3300,
,13/02/2018,28,Mustard,3000,3500,3200,
,14/02/2018,25,Mustard,3000,3500,3200,
,15/02/2018,15, ,NR,NR,NR,
,17/02/2018,10,Mustard,3300,3500,3400,
,19/02/2018,15,Mustard,3300,3500,3400,
,21/02/2018,30,Mustard,3000,3500,3200,
,22/02/2018,30,Mustard,3000,3600,3200,
,23/02/2018,30,Mustard,3000,3700,3200,
,25/02/2018,35,Mustard,3000,3600,3200,
,26/02/2018,32,Mustard,3000,3500,3200,
Gauripur,02/02/2018,12,Mustard,2000,2950,2625,
,05/02/2018,10,Mustard,2000,2900,2650,
,06/02/2018,20,Mustard,2000,2900,2650,
,07/02/2018,18,Mustard,2000,2900,2550,
,08/02/2018,20,Mustard,2400,2900,2500,
,10/02/2018,15,Mustard,2400,3000,2500,
,12/02/2018,20,Mustard,2400,2950,2500,
,17/02/2018,15,Mustard,2500,3000,2700,
Howly,01/02/2018,15,Mustard,3700,3800,3700,
,05/02/2018,15,Mustard,3200,3500,3300,
,08/02/2018,10,Mustard,3400,3600,3500,
,12/02/2018,10,Mustard,3200,3400,3300,
,15/02/2018,12,Mustard,3500,3600,3500,
,19/02/2018,15,Mustard,3400,3600,3500,
,20/02/2018,12,Mustard,3400,3600,3500,
,22/02/2018,10,Mustard,3400,3600,3400,
Kharupetia,03/02/2018,80,Mustard,3800,4000,3900,
,07/02/2018,20,Mustard,3100,3700,3700,
,10/02/2018,12,Mustard,3600,3800,3700,
,14/02/2018,5,Mustard,3500,3750,3700,
,21/02/2018,10,Mustard,3400,3700,3700,
,28/02/2018,4,Mustard,3500,3700,3700,
