Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amirgadh,04/05/2018,0.3,Other,3300,3300,3300,
,15/05/2018,0.1,Other,3250,3250,3250,
,26/05/2018,0.1,Other,3500,3500,3500,
,28/05/2018,0.3,Other,3450,3470,3460,
,29/05/2018,1.1,Other,2750,3440,3095,
Amreli,05/05/2018,0.2,Mustard,2920,2920,2920,
,08/05/2018,0.1,Other,3750,3780,3780,
,15/05/2018,0.1,Other,3525,3525,3525,
,19/05/2018,0.8,Mustard,3090,3090,3090,
,30/05/2018,0.2,Mustard,3020,3020,3020,
,31/05/2018,1.4,Mustard,2640,3030,2900,
Becharaji,02/05/2018,1.2,Other,3300,3400,3350,
,03/05/2018,2.5,Other,3350,3410,3380,
,04/05/2018,3,Other,3325,3365,3345,
,05/05/2018,1.5,Other,3350,3435,3392,
,07/05/2018,2.9,Other,3250,3355,3302,
,10/05/2018,4,Other,3300,3390,3345,
,11/05/2018,0.1,Other,3300,3350,3325,
,12/05/2018,2.1,Other,3250,3415,3332,
,14/05/2018,0.5,Other,3350,3440,3395,
,16/05/2018,0.5,Other,3000,3380,3190,
,17/05/2018,0.2,Other,3300,3430,3365,
,21/05/2018,0.5,Other,3250,3440,3345,
,23/05/2018,8,Other,3500,3595,3547,
,24/05/2018,2.3,Other,3500,3580,3540,
,25/05/2018,0.8,Other,3400,3550,3475,
,26/05/2018,4.8,Other,3550,3595,3572,
,28/05/2018,2.5,Other,3550,3600,3575,
,30/05/2018,1.6,Other,3525,3570,3547,
,31/05/2018,0.7,Other,3375,3460,3417,
Bhabhar,08/05/2018,17,Mustard,3500,3640,3570,
,09/05/2018,15.3,Mustard,3500,3650,3575,
,10/05/2018,17.3,Mustard,3500,3615,3557,
,11/05/2018,14.2,Mustard,3500,3625,3562,
,12/05/2018,21.7,Mustard,3500,3670,3585,
,14/05/2018,4.7,Mustard,3500,3650,3575,
,15/05/2018,2.5,Mustard,3525,3650,3587,
,16/05/2018,3.5,Mustard,3500,3650,3575,
,17/05/2018,4.2,Mustard,3500,3625,3562,
,28/05/2018,6,Mustard,3500,3550,3525,
,30/05/2018,8.2,Mustard,3500,3575,3537,
Bhavnagar,11/05/2018,0.1,Other,3275,3275,3275,
,15/05/2018,0.1,Other,3625,3625,3625,
,29/05/2018,0.2,Other,3000,3000,3000,
,31/05/2018,0.1,Other,2580,2580,2580,
Bhiloda,21/05/2018,0.3,Other,3000,3295,3148,
,22/05/2018,0.1,Other,3000,3475,3238,
Dahod,10/05/2018,0.4,Other,3200,3400,3300,
,11/05/2018,0.3,Other,3200,3400,3300,
,15/05/2018,0.1, ,NR,NR,NR,
,16/05/2018,0.3,Other,3200,3400,3300,
,18/05/2018,0.7,Other,3200,3400,3300,
,19/05/2018,0.5,Other,3200,3400,3300,
,22/05/2018,1.2,Other,3200,3400,3300,
,23/05/2018,9.7,Other,3200,3400,3300,
,25/05/2018,0.6,Other,3200,3400,3300,
,26/05/2018,0.1,Other,3200,3400,3300,
,29/05/2018,0.1,Other,3200,3400,3300,
,31/05/2018,0.1,Other,3200,3400,3300,
Deesa,01/05/2018,110,Other,3250,3525,3425,
,02/05/2018,80.1,Other,3300,3500,3425,
,03/05/2018,94.8,Other,3250,3500,3425,
,04/05/2018,46.8,Other,3375,3535,3425,
,05/05/2018,89.1,Other,3450,3565,3525,
,07/05/2018,34.9,Other,3500,3605,3550,
,08/05/2018,36.4,Other,3500,3605,3550,
