Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achnera,01/01/2018,14,Sarson(Black),3800,3900,3850,
,02/01/2018,11,Sarson(Black),3700,3900,3800,
,03/01/2018,13,Sarson(Black),3700,3900,3800,
,05/01/2018,15, ,NR,NR,NR,
,06/01/2018,13,Mustard,3780,3820,3800,
,07/01/2018,13,Sarson(Black),3800,3900,3850,
,08/01/2018,12,Sarson(Black),3700,3800,3750,
,09/01/2018,14,Sarson(Black),3630,3670,3650,
,10/01/2018,13.5,Sarson(Black),3500,3600,3550,
,12/01/2018,12,Sarson(Black),3650,3750,3700,
,15/01/2018,14,Sarson(Black),3600,3680,3640,
,16/01/2018,15,Sarson(Black),3600,3660,3630,
,17/01/2018,13,Sarson(Black),3630,3690,3660,
,19/01/2018,13,Sarson(Black),3660,3740,3700,
,20/01/2018,14,Sarson(Black),3680,3720,3700,
,21/01/2018,12,Sarson(Black),3700,3740,3720,
,23/01/2018,12,Sarson(Black),3680,3760,3720,
,24/01/2018,11,Sarson(Black),3700,3780,3740,
,27/01/2018,13,Sarson(Black),3680,3760,3720,
,28/01/2018,12,Sarson(Black),3700,3760,3730,
,29/01/2018,12,Sarson(Black),3660,3740,3700,
,30/01/2018,11,Sarson(Black),3700,3750,3720,
,31/01/2018,13,Sarson(Black),3700,3760,3730,
Agra,01/01/2018,241,Sarson(Black),3300,3550,3450,
,02/01/2018,234,Sarson(Black),3350,3550,3460,
,03/01/2018,244,Sarson(Black),3350,3550,3450,
,04/01/2018,235,Sarson(Black),3350,3550,3470,
,05/01/2018,220,Sarson(Black),3350,3600,3480,
,06/01/2018,211,Sarson(Black),3500,3650,3580,
,08/01/2018,205,Sarson(Black),3400,3600,3500,
,09/01/2018,226,Sarson(Black),3350,3550,3480,
,10/01/2018,460,Sarson(Black),3350,3550,3450,
,11/01/2018,225,Sarson(Black),3350,3550,3460,
,12/01/2018,218,Sarson(Black),3450,3650,3520,
,13/01/2018,200,Sarson(Black),3450,3650,3550,
,15/01/2018,225,Sarson(Black),3400,3600,3500,
,16/01/2018,216,Sarson(Black),3400,3650,3520,
,17/01/2018,226.5,Sarson(Black),3400,3600,3500,
,18/01/2018,215,Sarson(Black),3400,3620,3520,
,19/01/2018,212,Sarson(Black),3400,3650,3550,
,20/01/2018,205,Sarson(Black),3400,3650,3560,
,22/01/2018,215,Sarson(Black),3400,3600,3500,
,23/01/2018,207,Sarson(Black),3450,3650,3540,
,24/01/2018,195,Sarson(Black),3450,3650,3550,
,25/01/2018,213,Sarson(Black),3400,3650,3540,
,26/01/2018,196,Sarson(Black),3450,3650,3550,
,27/01/2018,196,Sarson(Black),3450,3700,3580,
,29/01/2018,200,Sarson(Black),3450,3680,3560,
,30/01/2018,206,Sarson(Black),3420,3650,3550,
,31/01/2018,217,Sarson(Black),3400,3650,3540,
Ajuha,01/01/2018,3.3,Lohi Black,3500,3600,3550,
,02/01/2018,2.6,Lohi Black,3500,3600,3560,
,03/01/2018,1.6,Lohi Black,3500,3600,3550,
,04/01/2018,11,Lohi Black,3500,3560,3530,
,06/01/2018,6,Lohi Black,3480,3560,3500,
,07/01/2018,5.3,Lohi Black,3400,3500,3450,
,08/01/2018,6,Lohi Black,3400,3500,3450,
,09/01/2018,5,Lohi Black,3400,3500,3460,
,10/01/2018,4,Lohi Black,3400,3500,3450,
,11/01/2018,1,Lohi Black,3380,3460,3400,
,13/01/2018,1.8,Lohi Black,3450,3550,3500,
,14/01/2018,2.6,Lohi Black,3460,3540,3500,
,15/01/2018,2.8,Lohi Black,3470,3560,3500,
,16/01/2018,3,Lohi Black,3500,3600,3550,
,17/01/2018,3.6,Lohi Black,3500,3570,3540,
,18/01/2018,17,Lohi Black,3450,3550,3500,
,20/01/2018,25,Lohi Black,3460,3550,3500,
,21/01/2018,5,Lohi Black,3480,3560,3520,
,22/01/2018,10,Lohi Black,3450,3550,3500,
,23/01/2018,3,Lohi Black,3400,3500,3450,
,24/01/2018,2.4,Lohi Black,3400,3500,3450,
,25/01/2018,2,Lohi Black,3400,3500,3450,
,27/01/2018,3.6,Lohi Black,3450,3550,3500,
