Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/09/2018,11,Other,1200,1600,1400,
,02/09/2018,14,Other,1400,1600,1500,
,04/09/2018,17,Other,1500,1600,1550,
,05/09/2018,15,Other,1400,1600,1500,
,06/09/2018,13,Other,1200,1600,1400,
,07/09/2018,12,Other,1400,1600,1500,
,08/09/2018,11,Other,1200,1600,1400,
,09/09/2018,15,Other,1400,1600,1500,
,11/09/2018,13,Other,1000,1500,1250,
,12/09/2018,9,Other,1200,1400,1300,
,13/09/2018,8,Other,1400,1800,1600,
,14/09/2018,9,Other,1600,1800,1700,
,15/09/2018,10,Other,1700,1800,1750,
,16/09/2018,13,Other,1600,1800,1700,
,18/09/2018,15,Other,1600,1800,1700,
,19/09/2018,13,Other,1400,1600,1500,
,20/09/2018,12,Other,1200,1600,1400,
,21/09/2018,13,Other,1400,1600,1500,
,22/09/2018,11,Other,1200,1600,1400,
,24/09/2018,13,Other,1400,1600,1500,
,25/09/2018,15, ,NR,NR,NR,
,26/09/2018,13,Other,1200,1400,1300,
,27/09/2018,11,Other,1000,1400,1200,
,29/09/2018,13,Other,1200,1600,1400,
,30/09/2018,15,Other,1400,1600,1500,
Raigarh,01/09/2018,25,Other,1700,1800,1700,
,02/09/2018,21,Other,1700,1800,1700,
,03/09/2018,25,Other,1600,1700,1600,
,05/09/2018,21,Other,1700,1800,1700,
,07/09/2018,27,Other,1700,1800,1700,
,08/09/2018,27,Other,1600,1700,1600,
,09/09/2018,25,Other,1600,1700,1600,
,10/09/2018,27,Other,1600,1700,1600,
,11/09/2018,52,Other,1600,1700,1600,
,17/09/2018,20,Other,1700,1800,1700,
,18/09/2018,21,Other,1700,1800,1800,
,19/09/2018,20,Other,1600,1700,1600,
,20/09/2018,47,Other,1800,1800,1800,
,21/09/2018,25,Other,1600,1700,1600,
,23/09/2018,28,Other,1600,1700,1600,
,24/09/2018,21,Other,1600,1700,1600,
,26/09/2018,58,Other,1600,1700,1600,
,27/09/2018,27,Other,1600,1700,1600,
,28/09/2018,28,Other,1500,1600,1500,
,29/09/2018,27,Other,1600,1700,1600,
,30/09/2018,21,Other,1700,1800,1700,
Rajnandgaon,01/09/2018,5,Onion,1400,1400,1400,
,02/09/2018,7,Onion,1500,1500,1500,
,04/09/2018,7.5,Onion,1400,1400,1400,
,05/09/2018,5.5,Onion,1400,1400,1400,
,06/09/2018,10,Onion,1400,1400,1400,
,07/09/2018,7,Onion,1400,1400,1400,
,08/09/2018,5,Onion,1400,1400,1400,
,09/09/2018,10,Onion,1400,1400,1400,
,11/09/2018,10,Onion,1400,1400,1400,
,16/09/2018,10,Onion,1400,1400,1400,
,18/09/2018,5.5,Onion,1400,1400,1400,
,19/09/2018,5, ,NR,NR,NR,
,20/09/2018,11,Onion,1000,1000,1000,
,21/09/2018,10,Onion,1000,1000,1000,
,22/09/2018,5.5,Onion,1000,1000,1000,
,23/09/2018,10,Onion,1000,1000,1000,
,25/09/2018,7,Onion,1200,1200,1200,
,26/09/2018,7,Onion,1400,1400,1400,
,29/09/2018,10,Onion,1400,1400,1400,
,30/09/2018,7,Onion,1400,1400,1400,
Tiphra,02/09/2018,60,Other,1100,1300,1200,
,03/09/2018,50,Other,1200,1400,1300,
,04/09/2018,44,Other,1200,1400,1300,
,05/09/2018,50,Other,1300,1400,1300,
,06/09/2018,30,Other,800,850,800,
,07/09/2018,58,Other,1200,1400,1300,
,08/09/2018,60,Other,1000,1200,1100,
,09/09/2018,49,Other,1100,1300,1200,
,10/09/2018,45,Other,1200,1400,1300,
,11/09/2018,50,Other,1100,1400,1200,
,12/09/2018,54,Other,1200,1400,1300,
,14/09/2018,50,Other,1100,1300,1200,
,15/09/2018,60,Other,1200,1400,1300,
,16/09/2018,60,Other,1200,1400,1300,
,17/09/2018,55,Other,1200,1400,1300,
,18/09/2018,60,Other,1200,1400,1300,
,19/09/2018,53,Other,1100,1300,1200,
,20/09/2018,54,Other,1200,1400,1300,
,21/09/2018,55,Other,1300,1400,1300,
,22/09/2018,58,Other,1200,1400,1300,
,23/09/2018,60,Other,1100,1300,1200,
,24/09/2018,58,Other,1200,1300,1200,
,25/09/2018,55,Other,1100,1300,1200,
,26/09/2018,50,Other,1150,1400,1300,
,27/09/2018,55,Other,1100,1300,1200,
,29/09/2018,52,Other,1200,1400,1300,
,30/09/2018,50,Other,1300,1500,1400,
