Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad(Chimanbhai Patal Market Vasana),02/04/2018,525.9,Local,600,850,775,
,,,Nasik,800,1000,925,
,03/04/2018,542.3,Local,600,900,800,
,,,Nasik,750,1050,950,
,04/04/2018,573.2,Local,500,850,700,
,,,Nasik,750,1000,900,
,05/04/2018,572.7,Local,400,850,675,
,,,Nasik,700,1000,900,
,06/04/2018,902.5,Local,600,850,750,
,,,Nasik,800,1000,925,
,07/04/2018,1130.2,Local,500,800,675,
,,,Nasik,700,900,825,
,09/04/2018,1122.8,Local,500,800,675,
,,,Nasik,700,900,825,
,10/04/2018,882.5,Local,500,800,700,
,,,Nasik,650,850,800,
,11/04/2018,813.3,Local,500,750,650,
,,,Nasik,500,800,675,
,12/04/2018,761.9,Local,400,750,600,
,,,Nasik,500,800,700,
,13/04/2018,594.1,Local,500,750,650,
,,,Nasik,550,800,700,
,16/04/2018,1500.1,Local,400,700,575,
,,,Nasik,600,800,725,
,17/04/2018,447.8,Local,400,650,550,
,,,Nasik,650,850,775,
,19/04/2018,867,Local,500,800,700,
,,,Nasik,600,900,800,
,20/04/2018,431.5,Local,500,850,725,
,,,Nasik,750,900,850,
,21/04/2018,767.2,Local,400,750,625,
,,,Nasik,700,900,825,
,23/04/2018,1146.4,Local,400,750,625,
,,,Nasik,500,900,750,
,24/04/2018,766.2,Local,400,750,600,
,,,Nasik,600,850,750,
,25/04/2018,603,Local,450,750,625,
,,,Nasik,500,850,700,
,26/04/2018,609.6,Local,450,700,600,
,,,Nasik,650,850,775,
,27/04/2018,713.2,Local,400,750,600,
,,,Nasik,600,850,750,
,28/04/2018,906.6,Local,400,750,600,
,,,Nasik,600,850,750,
,30/04/2018,941.2,Local,400,700,600,
,,,Nasik,650,850,775,
Anand(Veg,Yard,Anand),02/04/2018,0.45,Other,700,800,750,
,03/04/2018,0.41,Other,800,1000,900,
,04/04/2018,0.7,Other,600,800,700,
,05/04/2018,0.44,Other,600,800,700,
,06/04/2018,0.52,Other,600,800,700,
,07/04/2018,0.65,Other,600,800,700,
,09/04/2018,0.27,Other,600,1000,900,
,10/04/2018,0.58,Other,600,900,750,
,11/04/2018,0.61,Other,500,750,650,
,12/04/2018,0.58,Other,500,800,600,
,13/04/2018,0.45,Other,500,800,600,
,14/04/2018,0.3,Other,500,900,800,
,16/04/2018,0.32,Other,500,800,700,
,17/04/2018,0.53,Other,500,750,650,
,18/04/2018,0.4,Other,500,800,700,
,19/04/2018,0.37,Other,500,750,600,
,20/04/2018,0.41,Other,500,800,700,
,21/04/2018,0.3,Other,500,850,650,
,23/04/2018,0.33, ,NR,NR,NR,
,24/04/2018,0.2,Other,500,900,750,
,25/04/2018,0.56,Other,500,1000,750,
,26/04/2018,0.61,Other,500,900,750,
,27/04/2018,0.23,Other,500,900,750,
,28/04/2018,0.48,Other,500,800,750,
,30/04/2018,0.19,Other,500,900,750,
Bharuch,01/04/2018,56.25,Other,600,1200,1000,
,02/04/2018,29.96,Other,800,1200,1000,
,03/04/2018,56.96,Other,600,1200,850,
,04/04/2018,58.64,Other,600,1200,850,
,05/04/2018,56.76,Other,600,1200,1000,
,06/04/2018,58.36,Other,600,1100,1000,
,07/04/2018,58.96,Other,500,1200,850,
,08/04/2018,55.65,Other,600,1200,800,
,09/04/2018,87.05,Other,800,1150,1000,
,10/04/2018,125.7,Other,600,1000,750,
,11/04/2018,131.75,Other,600,1000,700,
,12/04/2018,87.7,Other,600,1000,700,
