Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad(Chimanbhai Patal Market Vasana),01/12/2018,529.6,Local,500,900,750,
,,,Nasik,500,1100,850,
,03/12/2018,862.2, ,NR,NR,NR,
,04/12/2018,576.5,Local,500,900,750,
,,,Nasik,500,1100,850,
,05/12/2018,491.7, ,NR,NR,NR,
,06/12/2018,825.3,Local,450,900,725,
,,,Nasik,500,1100,850,
,07/12/2018,870.8,Local,400,900,700,
,,,Nasik,500,1100,850,
,08/12/2018,843.3,Local,500,850,725,
,,,Nasik,500,1000,800,
,10/12/2018,1204,Local,400,750,600,
,,,Nasik,500,1000,800,
,11/12/2018,810.8,Local,400,800,650,
,,,Nasik,600,1000,850,
,12/12/2018,585.2,Local,400,750,600,
,,,Nasik,500,1000,800,
,13/12/2018,543.3, ,NR,NR,NR,
,14/12/2018,424.7,Local,300,700,550,
,,,Nasik,400,1000,750,
,15/12/2018,492.1,Local,300,700,550,
,,,Nasik,500,1000,800,
,17/12/2018,842.8, ,NR,NR,NR,
,18/12/2018,597.1,Local,300,750,550,
,,,Nasik,400,1000,750,
,19/12/2018,674.5, ,NR,NR,NR,
,20/12/2018,585.4,Local,300,750,575,
,,,Nasik,500,1000,800,
,21/12/2018,763.4,Local,300,750,575,
,,,Nasik,300,1000,700,
,22/12/2018,850.6,Local,300,700,550,
,,,Nasik,300,1000,700,
,24/12/2018,1133.9,Local,200,600,500,
,,,Nasik,300,900,700,
,26/12/2018,1730.7,Local,250,600,450,
,,,Nasik,300,800,575,
,27/12/2018,557,Local,300,600,500,
,,,Nasik,300,800,600,
,28/12/2018,544.4,Local,300,650,500,
,,,Nasik,400,800,625,
,29/12/2018,465,Local,300,650,525,
,,,Nasik,400,800,650,
,31/12/2018,537.6,Local,300,750,575,
,,,Nasik,300,1000,700,
Anand(Veg,Yard,Anand),01/12/2018,0.48,Other,900,1100,1000,
,03/12/2018,0.28,Other,600,1000,800,
,04/12/2018,0.31,Other,900,1150,1000,
,05/12/2018,0.36,Other,900,1100,1000,
,06/12/2018,0.27,Other,900,1250,1050,
,07/12/2018,45.45,Onion,900,1000,950,
,08/12/2018,38.7,Onion,750,1000,900,
,10/12/2018,31,Onion,900,1000,950,
,11/12/2018,43.65,Onion,750,1000,900,
,12/12/2018,21.82,Onion,500,1000,750,
,13/12/2018,36.45,Onion,400,900,750,
,14/12/2018,22,Onion,350,750,500,
,17/12/2018,63.45,Onion,300,700,600,
,18/12/2018,19.35,Onion,250,700,450,
,19/12/2018,45.45,Onion,250,750,500,
,20/12/2018,25.88,Onion,250,600,500,
,21/12/2018,9.9,Onion,250,800,700,
,22/12/2018,3.95,Onion,350,900,750,
,24/12/2018,41.63,Onion,250,750,600,
,25/12/2018,10.57,Onion,250,700,500,
,26/12/2018,39.83,Onion,250,750,600,
,27/12/2018,35.74,Onion,250,800,700,
,28/12/2018,53.1,Onion,250,800,700,
,29/12/2018,34.42,Onion,250,800,500,
,31/12/2018,38.02,Onion,250,750,550,
Bharuch,01/12/2018,62.56,Other,700,1400,1200,
,02/12/2018,36.86,Other,700,1300,1000,
,03/12/2018,46.96,Other,700,1250,1000,
,04/12/2018,68.96,Other,700,1350,1000,
,05/12/2018,73.52,Other,700,1300,1000,
,06/12/2018,86.54,Other,700,1300,1000,
,07/12/2018,59.86,Other,700,1250,1000,
,08/12/2018,68.96,Other,700,1300,1000,
,09/12/2018,42.96,Other,700,1300,1000,
,10/12/2018,62.56,Other,800,1250,1000,
,11/12/2018,62.96,Other,700,1250,1000,
,12/12/2018,69.86,Other,700,1350,1000,
,13/12/2018,86.52,Other,700,1300,1000,
,14/12/2018,69.86,Other,700,1300,1000,
,15/12/2018,69.86,Other,700,1200,850,
,16/12/2018,56.86,Other,700,1300,1000,
,17/12/2018,63.52,Other,700,1300,1000,
,18/12/2018,64.86,Other,800,1300,1000,
,19/12/2018,58.96,Other,800,1300,1000,
,20/12/2018,62.52,Other,800,1300,1000,
,21/12/2018,68.86,Other,800,1250,1000,
,23/12/2018,36.52,Other,700,1250,1000,
,24/12/2018,86.76,Other,800,1300,1000,
,26/12/2018,86.96,Other,700,1250,1000,
,30/12/2018,69.86,Other,500,1000,700,
,31/12/2018,59.86,Other,700,1000,850,
Bhavnagar,01/12/2018,306.3,Red,530,970,950,
,03/12/2018,380.7, ,NR,NR,NR,
,04/12/2018,426.8, ,NR,NR,NR,
,06/12/2018,543.9, ,NR,NR,NR,
,08/12/2018,937.5,Red,525,910,750,
,10/12/2018,568.8,Red,475,910,750,
,11/12/2018,922.9,Red,475,920,900,
,13/12/2018,789.1,Red,450,860,750,
,15/12/2018,869.9,Red,500,975,975,
,17/12/2018,756.8, ,NR,NR,NR,
,18/12/2018,821.1,Red,450,815,800,
,19/12/2018,744, ,NR,NR,NR,
,20/12/2018,841.6,Red,400,775,750,
,,,White,655,700,675,
,21/12/2018,1736.7,Red,400,720,600,
,22/12/2018,1018.2,Red,350,680,650,
,24/12/2018,1264.8,Red,400,700,600,
,,,White,660,795,750,
,25/12/2018,762.8,Red,425,700,600,
,,,White,600,725,675,
,26/12/2018,1124.9, ,NR,NR,NR,
,27/12/2018,1285,Red,405,685,650,
,,,White,600,775,750,
,28/12/2018,134, ,NR,NR,NR,
,29/12/2018,1235.6,Red,450,755,725,
,,,White,500,750,625,
,31/12/2018,1394.5,Red,625,970,950,
,,,White,670,740,700,
Bilimora,18/12/2018,1.3,Nasik,400,500,450,
,19/12/2018,3.7,Nasik,400,600,500,
,20/12/2018,3.83,Nasik,500,600,550,
,21/12/2018,7.31,Nasik,400,700,550,
,22/12/2018,6,Nasik,400,1000,700,
,24/12/2018,3.5,Nasik,400,600,500,
,25/12/2018,5.9,Nasik,700,900,800,
,26/12/2018,1.1,Nasik,400,700,550,
,27/12/2018,1.22,Nasik,400,500,450,
,28/12/2018,2.21, ,NR,NR,NR,
,29/12/2018,1.33,Nasik,400,800,600,
Dahod(Veg. Market),01/12/2018,20.5,Onion,800,1300,1100,
,02/12/2018,8.35,Onion,900,1300,1200,
,03/12/2018,5,Onion,900,1300,1200,
,04/12/2018,7.3,Onion,900,1300,1200,
,05/12/2018,4.3,Onion,800,1300,1000,
,06/12/2018,5.4,Onion,700,1300,1000,
,07/12/2018,5,Onion,500,1000,800,
,08/12/2018,6.5,Onion,500,1000,700,
,09/12/2018,15.6,Onion,600,1200,1000,
,10/12/2018,7.2,Onion,600,1200,1000,
,11/12/2018,5.88,Onion,600,1200,1000,
,12/12/2018,7.33,Onion,600,1200,800,
,13/12/2018,13.25,Onion,500,1000,700,
,14/12/2018,6.72,Onion,500,1100,800,
,15/12/2018,10.65,Onion,500,1000,800,
,16/12/2018,9.72,Onion,600,1100,800,
,17/12/2018,4.02,Onion,400,1000,700,
,18/12/2018,6.5,Onion,400,1000,800,
,19/12/2018,7.2,Onion,400,1000,500,
,20/12/2018,6.52,Onion,400,1000,700,
,21/12/2018,12.45,Onion,500,1000,800,
,23/12/2018,9.73,Onion,500,1000,700,
,24/12/2018,6.5,Onion,500,1000,700,
,25/12/2018,4.5,Onion,500,900,800,
,26/12/2018,7.33,Onion,400,900,700,
,27/12/2018,6.53,Onion,400,900,700,
,28/12/2018,8.93,Onion,400,900,700,
,29/12/2018,7.25,Onion,200,800,700,
,30/12/2018,7.35,Onion,200,800,600,
,31/12/2018,5.5,Onion,200,800,700,
Deesa(Deesa Veg Yard),03/12/2018,38.5,Other,500,750,625,
,04/12/2018,35,Other,500,750,625,
,05/12/2018,38.5,Other,500,800,650,
,06/12/2018,28,Other,500,800,650,
,07/12/2018,24.5,Other,500,750,625,
,08/12/2018,28,Other,600,800,700,
,10/12/2018,31.5,Other,750,900,825,
,11/12/2018,35,Other,750,900,825,
,13/12/2018,28,Other,750,950,850,
,14/12/2018,31.5,Other,700,1000,850,
,15/12/2018,28,Other,750,1050,900,
,17/12/2018,28,Other,800,1100,950,
,18/12/2018,31.5,Other,750,1100,925,
,19/12/2018,28,Other,750,1050,900,
,22/12/2018,28,Other,500,1000,750,
,24/12/2018,31.5,Other,550,1100,825,
,26/12/2018,49,Other,750,850,800,
,27/12/2018,52.5,Other,750,900,825,
,28/12/2018,49,Other,750,1000,875,
,31/12/2018,28,Other,500,1000,750,
Dholka(Koth),01/12/2018,45,Other,900,1100,1000,
,03/12/2018,40,Other,900,1100,1000,
,04/12/2018,55,Other,800,1100,900,
,05/12/2018,40,Other,800,1100,900,
,06/12/2018,40,Other,800,1000,900,
,08/12/2018,50,Other,750,1100,900,
,10/12/2018,40,Other,900,1100,1000,
,11/12/2018,50,Other,900,1200,1000,
,12/12/2018,55,Other,900,1200,1100,
,13/12/2018,45,Other,900,1100,1000,
,15/12/2018,40,Other,1000,1300,1200,
,17/12/2018,60,Other,1000,1200,1100,
,18/12/2018,60,Other,900,1100,1000,
,19/12/2018,30,Other,800,1000,900,
,20/12/2018,50,Other,900,1100,1000,
,21/12/2018,50,Other,900,1200,1000,
,22/12/2018,60,Other,900,1200,1000,
,24/12/2018,45,Other,1100,1300,1200,
,26/12/2018,50,Other,1200,1350,1300,
,28/12/2018,45,Other,900,1200,1000,
,29/12/2018,40,Other,1000,1300,1200,
,31/12/2018,50,Other,1000,1300,1200,
Gondal,01/12/2018,542.4,Red,205,680,605,
,03/12/2018,500.8,Red,205,705,555,
,04/12/2018,451.1,Red,230,905,655,
,05/12/2018,407.7,Red,230,880,680,
,06/12/2018,452, ,NR,NR,NR,
,07/12/2018,93.6, ,NR,NR,NR,
,08/12/2018,633.8, ,NR,NR,NR,
,10/12/2018,505, ,NR,NR,NR,
,11/12/2018,520.8, ,NR,NR,NR,
,12/12/2018,458, ,NR,NR,NR,
,13/12/2018,457.5, ,NR,NR,NR,
,14/12/2018,387.2, ,NR,NR,NR,
,17/12/2018,516.3, ,NR,NR,NR,
,18/12/2018,357.5, ,NR,NR,NR,
,19/12/2018,344.7, ,NR,NR,NR,
,20/12/2018,357.7, ,NR,NR,NR,
,22/12/2018,427, ,NR,NR,NR,
,24/12/2018,456.5, ,NR,NR,NR,
,25/12/2018,317.3, ,NR,NR,NR,
,26/12/2018,403.2, ,NR,NR,NR,
,28/12/2018,385.2, ,NR,NR,NR,
,29/12/2018,440.2, ,NR,NR,NR,
Jamnagar,01/12/2018,10.3,Other,150,750,450,
,03/12/2018,20.5,Other,200,875,538,
,05/12/2018,23.3,Other,200,900,550,
,06/12/2018,32.2,Other,200,1000,600,
,08/12/2018,59.8,Other,200,850,525,
,12/12/2018,30.8,Other,200,850,525,
,13/12/2018,21.8,Other,200,575,388,
,14/12/2018,11.5,Other,250,575,413,
,15/12/2018,32.4,Other,200,600,400,
,18/12/2018,62.6,Other,200,600,400,
,19/12/2018,20,Other,150,525,338,
,21/12/2018,7,Other,150,500,325,
,24/12/2018,69.9,Other,200,600,400,
,28/12/2018,41.2,Other,150,550,350,
,29/12/2018,36.9,Other,150,575,363,
Jetpur(Dist.Rajkot),28/12/2018,44,Onion,175,505,355,
,29/12/2018,38.2, ,NR,NR,NR,
Kapadvanj,12/12/2018,10,Other,500,600,550,
,13/12/2018,22.5,Other,500,1100,800,
Khambhat(Veg Yard Khambhat),01/12/2018,0.1,Other,500,1100,800,
,03/12/2018,0.1,Other,500,800,650,
,04/12/2018,0.1,Other,600,1000,800,
,05/12/2018,0.1,Other,600,1000,800,
,06/12/2018,0.1,Other,500,1100,800,
,07/12/2018,0.1,Other,500,1100,800,
,08/12/2018,0.1,Other,500,1100,800,
,09/12/2018,0.1,Other,500,1000,750,
,10/12/2018,0.1,Other,500,1000,750,
,11/12/2018,0.1,Other,500,1100,800,
,13/12/2018,0.1,Other,500,1000,750,
,14/12/2018,0.1,Other,500,1000,750,
,16/12/2018,0.1,Other,600,1000,800,
,17/12/2018,0.1,Other,600,1000,800,
,18/12/2018,0.1,Other,600,1000,800,
,19/12/2018,0.1,Other,500,1100,800,
,20/12/2018,0.1,Other,500,1000,750,
,21/12/2018,0.1,Other,500,1000,750,
,22/12/2018,0.1,Other,500,1000,750,
,23/12/2018,0.1,Other,400,900,650,
,24/12/2018,0.1,Other,400,900,650,
,25/12/2018,0.1,Other,300,900,600,
,27/12/2018,0.1,Other,400,900,650,
,28/12/2018,0.1,Other,300,900,600,
,29/12/2018,0.1,Other,300,900,600,
,30/12/2018,0.1,Other,300,900,600,
,31/12/2018,0.1,Other,300,900,600,
Mahuva(Station Road),03/12/2018,891.9,Red,390,1045,750,
,,,White,445,1125,750,
,04/12/2018,689.8,Red,350,965,750,
,,,White,500,1130,800,
,05/12/2018,848.4,Red,375,960,600,
,,,White,400,1050,650,
,06/12/2018,1281.8,Red,400,960,750,
,,,White,350,1055,750,
,07/12/2018,1299.7, ,NR,NR,NR,
,08/12/2018,1474.1,Red,350,820,600,
,,,White,470,955,675,
,10/12/2018,1086.6,Red,350,900,600,
,,,White,350,855,600,
,11/12/2018,1337.6,Red,350,845,600,
,,,White,375,930,600,
,14/12/2018,999.6, ,NR,NR,NR,
,15/12/2018,1017.9,Red,350,765,550,
,,,White,325,950,600,
,17/12/2018,1048.9,Red,250,765,500,
,,,White,505,1000,750,
,18/12/2018,1175.9,Red,255,790,500,
,,,White,350,950,600,
,19/12/2018,1234.7,Red,270,755,500,
,,,White,595,995,650,
,20/12/2018,1301.8,Red,325,715,500,
,,,White,350,955,625,
,21/12/2018,1239,Red,275,700,500,
,,,White,480,980,650,
,22/12/2018,1338.3,Red,275,755,500,
,,,White,350,950,650,
