Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aluva,06/04/2020,32,Big,2300,2800,2600,
,,,Small,6000,7000,6500,
,07/04/2020,18,Big,2200,2800,2500,
,,,Small,6000,7000,6500,
,08/04/2020,26,Big,2200,2800,2500,
,,,Small,6000,7000,6500,
,13/04/2020,32,Big,1800,2500,2200,
,,,Small,5000,6000,5500,
,15/04/2020,16,Big,1800,2400,2100,
,,,Small,5000,6000,5500,
,16/04/2020,46,Big,1800,2400,2100,
,,,Small,4500,5500,5000,
,17/04/2020,18,Big,1700,2400,2100,
,,,Small,4500,5500,5000,
,18/04/2020,32,Big,1700,2400,2000,
,,,Small,4500,5500,5000,
,20/04/2020,33,Big,1500,2000,1800,
,,,Small,4500,5000,4800,
,21/04/2020,26,Big,1500,2000,1800,
,,,Small,4500,5000,4800,
,22/04/2020,36,Big,1400,2000,1700,
,,,Small,4500,6000,5300,
,23/04/2020,22,Big,1500,2000,1800,
,,,Small,4500,5000,4800,
,24/04/2020,25,Big,1500,2000,1800,
,,,Small,4500,6000,5300,
,25/04/2020,34,Big,1500,2000,1800,
,,,Small,4500,5500,5000,
,27/04/2020,42,Big,1500,2000,1800,
,,,Small,4500,6000,5300,
,28/04/2020,19,Big,1500,2000,1800,
,,,Small,4200,5000,4600,
,29/04/2020,26,Big,1450,2000,1700,
,,,Small,4200,5000,4600,
Anchal,01/04/2020,0.5,Other,6700,6900,6800,
,02/04/2020,0.5,Other,7500,7700,7600,
,03/04/2020,0.5,Other,7800,8000,7900,
,04/04/2020,0.5,Other,6500,6700,6600,
,05/04/2020,0.5,Other,8500,8700,8600,
,06/04/2020,0.5,Other,7000,7200,7100,
,07/04/2020,0.5,Other,6700,6900,6800,
,09/04/2020,0.5,Other,8200,8400,8300,
,10/04/2020,0.5,Other,7500,7700,7600,
,11/04/2020,0.5,Other,7500,7700,7600,
,12/04/2020,0.5,Other,8000,8200,8100,
,13/04/2020,0.5,Other,7800,8000,7900,
,14/04/2020,0.5,Other,5600,5800,5700,
,15/04/2020,0.5,Other,6500,6700,6600,
,16/04/2020,0.5,Other,7500,7700,7600,
,17/04/2020,0.5,Other,6500,6700,6600,
,18/04/2020,0.5,Other,6000,6200,6100,
,19/04/2020,0.5,Other,7500,7700,7600,
,20/04/2020,0.5,Other,8000,8200,8100,
,21/04/2020,0.5,Other,6700,6900,6800,
,22/04/2020,0.5,Other,7500,7700,7600,
,23/04/2020,0.5,Other,6900,7100,7000,
,24/04/2020,0.5,Other,7800,8000,7900,
,25/04/2020,0.5,Other,6000,6200,6100,
,26/04/2020,0.5,Other,6800,7000,6900,
,27/04/2020,0.5,Other,7000,7200,7100,
,28/04/2020,0.5,Other,7800,8000,7900,
,29/04/2020,0.5,Other,6800,7000,6900,
,30/04/2020,0.5,Other,6000,6200,6100,
Angamaly,07/04/2020,2,Big,2700,3300,3000,
,08/04/2020,1,Big,2800,3200,3000,
,15/04/2020,1,Big,2500,2900,2700,
,16/04/2020,1,Big,2600,3000,2800,
,17/04/2020,1,Big,2500,2900,2700,
,20/04/2020,2,Big,2000,2400,2200,
,21/04/2020,1,Big,2000,2400,2200,
,23/04/2020,2,Big,2000,2600,2300,
,24/04/2020,1, ,NR,NR,NR,
,27/04/2020,1,Big,2000,2600,2300,
,28/04/2020,1,Big,2000,2600,2300,
,29/04/2020,1,Big,2000,2600,2300,
,30/04/2020,2,Big,1700,2300,2000,
Aroor,08/04/2020,0.1,Big,2800,3000,2900,
,,,Small,6900,7100,7000,
,11/04/2020,0.1,Big,2300,2500,2400,
,13/04/2020,0.1,Big,2400,2600,2500,
,,,Small,4000,4200,4100,
,23/04/2020,0.1,Big,1800,2000,1900,
,,,Small,4600,4800,4700,
,27/04/2020,0.1,Big,1800,2000,1900,
,,,Small,4000,4200,4100,
,29/04/2020,0.1,Big,1300,1500,1400,
,,,Small,3200,3500,3400,
Athirampuzha,02/04/2020,2, ,NR,NR,NR,
,03/04/2020,2,Onion,7800,8000,7900,
,06/04/2020,2,Big,2500,2700,2600,
,,,Onion,6300,6500,6400,
,07/04/2020,2,Big,2400,2600,2500,
,,,Onion,6300,6500,6400,
,15/04/2020,2,Big,2000,2200,2100,
,,,Onion,5800,6000,5900,
,16/04/2020,1,Big,1700,1900,1800,
,,,Onion,5800,6000,5900,
,17/04/2020,1.5,Big,1700,1900,1800,
