Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,01/03/2018,1.2,Onion,4400,4500,4500,
,05/03/2018,1.3,Onion,4400,4500,4500,
,06/03/2018,1.2,Onion,4400,4500,4500,
,07/03/2018,1.3,Onion,3940,4000,4000,
,08/03/2018,1.4,Onion,3940,4000,4000,
,09/03/2018,1.3,Onion,3940,4000,4000,
,12/03/2018,1.2,Onion,3940,4000,4000,
,13/03/2018,1.1,Onion,3940,4000,4000,
,14/03/2018,1.2,Onion,3940,4000,4000,
,15/03/2018,1.1,Onion,3940,4000,4000,
,16/03/2018,1,Onion,3400,3500,3500,
,17/03/2018,1.1,Onion,3400,3500,3500,
,19/03/2018,0.9,Onion,3400,3500,3500,
,20/03/2018,1.1,Onion,3400,3500,3500,
,21/03/2018,1,Onion,3400,3500,3500,
,22/03/2018,1.1,Onion,3400,3500,3500,
,23/03/2018,1.2,Onion,3400,3500,3500,
,24/03/2018,1.1,Onion,3400,3500,3500,
,26/03/2018,1,Onion,3400,3500,3500,
,27/03/2018,1.1,Onion,2900,3000,3000,
,28/03/2018,1,Onion,2900,3000,3000,
,29/03/2018,1.1,Onion,2900,3000,3000,
Imphal,01/03/2018,5,Other,3300,3700,3500,
,05/03/2018,4.8,Other,3300,3700,3500,
,06/03/2018,5,Other,3300,3700,3500,
,07/03/2018,5,Other,3300,3700,3500,
,08/03/2018,4.6,Other,3300,3700,3500,
,09/03/2018,4.4,Other,2400,2800,2600,
,12/03/2018,5.6,Other,2400,2800,2600,
,13/03/2018,5.4,Other,2400,2800,2600,
,14/03/2018,5.2,Other,2400,2800,2600,
,15/03/2018,5,Other,2400,2800,2600,
,16/03/2018,5.2,Other,2300,2700,2500,
,17/03/2018,4.8,Other,2300,2700,2500,
,19/03/2018,5,Other,2300,2700,2500,
,20/03/2018,5.2,Other,2300,2700,2500,
,21/03/2018,5,Other,2300,2700,2500,
,22/03/2018,4.8,Other,2300,2700,2500,
,23/03/2018,4.6,Other,2300,2700,2500,
,24/03/2018,5.4,Other,2300,2700,2500,
,26/03/2018,5.2,Other,2300,2700,2500,
,27/03/2018,5,Other,2300,2700,2500,
,28/03/2018,4.8,Other,2300,2700,2500,
,29/03/2018,4.6,Other,2300,2700,2500,
Lamlong Bazaar,01/03/2018,1.3,Other,3800,4000,4000,
,05/03/2018,1.5,Other,3800,4000,4000,
,06/03/2018,1.3,Other,3800,4000,4000,
,07/03/2018,1.2,Other,3800,4000,4000,
,08/03/2018,1.3,Other,3800,4000,4000,
,09/03/2018,1.5,Other,3300,3500,3500,
,12/03/2018,1.6,Other,3300,3500,3500,
,13/03/2018,1.4,Other,3300,3500,3500,
,14/03/2018,1.5,Other,3300,3500,3500,
,15/03/2018,1.8,Other,3300,3500,3500,
,16/03/2018,2,Other,2800,3000,3000,
,17/03/2018,2.3,Other,2800,3000,3000,
,19/03/2018,2.4,Other,2800,3000,3000,
,20/03/2018,2,Other,2800,3000,3000,
,21/03/2018,1.6,Other,2800,3000,3000,
,22/03/2018,1.5,Other,2800,3000,3000,
,23/03/2018,1.6,Other,2800,3000,3000,
,24/03/2018,1.8,Other,2800,3000,3000,
,26/03/2018,1.5,Other,2800,3000,3000,
,27/03/2018,1.2,Other,2800,3000,3000,
,28/03/2018,1.4,Other,2800,3000,3000,
,29/03/2018,1.6,Other,2800,3000,3000,
Moreh,05/03/2018,1.5,Other,300,400,400,
,13/03/2018,1.5,Other,4300,4400,4400,
,20/03/2018,1.5,Other,4300,4400,4400,
,27/03/2018,1.4,Other,4300,4400,4400,
Thoubal,01/03/2018,1.4,Other,NR,3600,3600,
,05/03/2018,1.6,Other,NR,3600,3600,
,06/03/2018,1.4,Other,NR,3600,3600,
,07/03/2018,1.6,Other,NR,3600,3600,
,08/03/2018,1.4,Other,NR,4000,4000,
,09/03/2018,1.7,Other,NR,3500,3500,
,12/03/2018,1.5,Other,NR,3500,3500,
,13/03/2018,1.5,Other,NR,2600,2600,
,14/03/2018,1.7,Other,NR,2600,2600,
,15/03/2018,1.7,Other,NR,2400,2400,
,16/03/2018,1.5,Other,NR,2400,2400,
,17/03/2018,1.6,Other,NR,2400,2400,
,19/03/2018,1.4,Other,NR,2400,2400,
,20/03/2018,1.6,Other,NR,2400,2400,
,21/03/2018,1.7,Other,NR,2500,2500,
,22/03/2018,1.5,Other,NR,2500,2500,
,23/03/2018,1.4,Other,NR,2500,2500,
,24/03/2018,1.4,Other,NR,2500,2500,
,26/03/2018,1.6,Other,NR,2500,2500,
,27/03/2018,1.7,Other,NR,2500,2500,
,28/03/2018,1.5,Other,NR,2500,2500,
,29/03/2018,1.7,Other,NR,2500,2500,
