Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/02/2019,58.7,Other,300,800,550,
,02/02/2019,52.4,Other,300,800,575,
,03/02/2019,60.1,Other,300,900,600,
,04/02/2019,23.8,Other,300,900,600,
,06/02/2019,69.5, ,NR,NR,NR,
,07/02/2019,42.3,Other,200,800,550,
,08/02/2019,20.9,Other,300,800,600,
,09/02/2019,133,Other,300,800,600,
,10/02/2019,48.3,Other,300,800,650,
,11/02/2019,25.7,Other,300,600,500,
,12/02/2019,24,Other,300,800,600,
,13/02/2019,27.1,Other,300,700,500,
,14/02/2019,72.6,Other,300,700,550,
,15/02/2019,61.9,Other,300,700,550,
,16/02/2019,16.4,Other,300,600,500,
,17/02/2019,106.8,Other,300,600,550,
,18/02/2019,87.4,Other,300,600,500,
,20/02/2019,43.3,Other,300,600,500,
,21/02/2019,26.5,Other,300,600,500,
,22/02/2019,28.8,Other,300,600,500,
,23/02/2019,25.8,Other,300,600,500,
,24/02/2019,87,Other,300,600,550,
,25/02/2019,39.1,Other,300,600,500,
,26/02/2019,79,Other,300,600,500,
,27/02/2019,59,Other,300,600,500,
,28/02/2019,119.3,Other,300,600,500,
Alwar(FV),01/02/2019,53,Other,420,550,485,
,02/02/2019,36.6,Other,430,560,495,
,03/02/2019,8.7,Other,425,565,495,
,04/02/2019,18,Other,425,570,498,
,05/02/2019,44.1,Other,400,650,525,
,06/02/2019,73,Other,450,625,537,
,07/02/2019,45.4,Other,425,550,487,
,11/02/2019,73.7,Other,430,560,495,
,12/02/2019,3.5,Other,425,565,495,
,13/02/2019,62,Other,430,565,498,
,14/02/2019,10,Other,420,570,495,
,15/02/2019,37,Other,410,570,490,
,16/02/2019,72.1,Other,430,575,502,
,17/02/2019,74,Other,425,575,500,
,18/02/2019,44.2,Other,400,562,481,
,20/02/2019,52.8,Other,410,570,490,
,21/02/2019,72,Other,400,575,487,
,22/02/2019,37.5,Other,400,550,475,
,24/02/2019,95.4,Other,450,562,506,
,25/02/2019,36.4,Other,450,562,500,
,26/02/2019,68.7,Other,475,565,520,
,27/02/2019,7.6,Other,475,570,522,
,28/02/2019,63.7,Other,460,580,520,
Bayana,01/02/2019,1,Onion,700,700,700,
,02/02/2019,1,Onion,700,700,700,
,03/02/2019,1.5,Onion,700,700,700,
,04/02/2019,1.5,Onion,700,700,700,
,05/02/2019,1,Onion,700,700,700,
,08/02/2019,2,Onion,600,700,700,
,09/02/2019,0.5,Onion,600,600,600,
,11/02/2019,0.5,Onion,600,600,600,
,15/02/2019,1,Onion,800,800,800,
,16/02/2019,1.5,Onion,600,600,600,
,20/02/2019,1,Onion,600,600,600,
,21/02/2019,1.5,Onion,600,650,650,
,24/02/2019,1.5,Onion,600,650,650,
Chittorgarh,01/02/2019,7.5,Other,700,1000,850,
,02/02/2019,5,Other,800,1000,900,
,03/02/2019,7.5,Other,700,1200,1000,
,05/02/2019,5.5, ,NR,NR,NR,
,07/02/2019,3,Other,700,900,800,
,08/02/2019,3.5,Other,800,1200,1000,
,09/02/2019,8,Other,1200,1500,1350,
,10/02/2019,9.5,Other,1000,1200,1100,
,11/02/2019,2.7,Other,700,1200,1000,
,12/02/2019,5.5,Other,800,1200,1000,
,13/02/2019,2.5,Other,1000,1400,1200,
,14/02/2019,3.2,Other,800,900,850,
,15/02/2019,3.7,Other,800,1000,850,
,16/02/2019,9.7,Other,1000,1200,1100,
,17/02/2019,11.5,Other,1000,1500,1300,
,18/02/2019,5.5,Other,1200,1300,1250,
,20/02/2019,1.7,Other,1200,1500,1350,
,21/02/2019,6.4,Other,1200,1500,1350,
,22/02/2019,3,Other,1200,1600,1400,
,23/02/2019,5,Other,1000,1500,1300,
,24/02/2019,2.5,Other,1000,1100,1050,
,25/02/2019,3,Other,700,1200,1000,
,26/02/2019,3.7,Other,1000,1100,1050,
,27/02/2019,15.2,Other,500,1400,900,
,28/02/2019,7.5,Other,1200,1500,1350,
Chomu(F&V),01/02/2019,5.9,Other,500,800,600,
,02/02/2019,33.8,Other,500,1000,700,
,04/02/2019,8.2,Other,500,1000,700,
,05/02/2019,13.4,Other,500,1000,700,
,06/02/2019,10.9,Other,600,1000,800,
,07/02/2019,41.4,Other,500,1000,700,
,08/02/2019,12.4,Other,600,1000,800,
,09/02/2019,5.8,Other,400,600,500,
,10/02/2019,6.2,Other,400,600,500,
,11/02/2019,7.3,Other,400,700,500,
,12/02/2019,17.5,Other,400,800,600,
,13/02/2019,6.3,Other,500,800,600,
,14/02/2019,12.8,Other,400,600,500,
,15/02/2019,18.7,Other,400,700,500,
,16/02/2019,13.5,Other,400,600,500,
,17/02/2019,6.5,Other,500,700,600,
,18/02/2019,73.9,Other,500,700,600,
,19/02/2019,13.2,Other,400,600,500,
,20/02/2019,25.8,Other,300,600,500,
,22/02/2019,11.5,Other,400,600,500,
,23/02/2019,15.3,Other,400,600,500,
,24/02/2019,16.5,Other,400,600,500,
,25/02/2019,17.3,Other,400,600,500,
,26/02/2019,50.1,Other,400,600,500,
,27/02/2019,22.4,Other,400,600,500,
,28/02/2019,3.3,Other,400,500,450,
Jaipur(F&V),11/02/2019,323.6,Other,300,700,500,
,12/02/2019,796.3,Other,400,800,600,
,13/02/2019,837,Other,350,800,575,
,14/02/2019,766.8,Other,400,800,600,
