Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bowenpally,01/04/2018,16.5,Onion,500,1000,800,
,02/04/2018,25.6,Onion,500,1000,800,
,03/04/2018,20.1,Onion,300,1000,800,
,04/04/2018,44.2,Onion,500,1000,800,
,05/04/2018,36.9,Onion,400,1000,800,
,06/04/2018,35.5,Onion,500,1000,800,
,07/04/2018,15.4,Onion,500,1000,800,
,08/04/2018,35.2,Onion,400,1000,800,
,09/04/2018,35.4,Onion,500,1000,800,
,10/04/2018,38.9,Onion,500,1000,800,
,11/04/2018,39.8,Onion,400,800,700,
,12/04/2018,29.8,Onion,400,1000,800,
,13/04/2018,31.1,Onion,300,800,600,
,14/04/2018,25.2,Onion,400,1000,800,
,15/04/2018,8.3,Onion,400,800,600,
,17/04/2018,59.7,Onion,400,800,600,
,18/04/2018,18.8,Onion,400,800,600,
,19/04/2018,38,Onion,400,800,700,
,20/04/2018,36.7,Onion,400,800,600,
,21/04/2018,40.8,Onion,400,700,600,
,22/04/2018,39.3,Onion,400,800,600,
,23/04/2018,60.3,Onion,500,1000,800,
,24/04/2018,31.8,Onion,400,800,600,
,25/04/2018,35.6,Onion,400,1000,800,
,26/04/2018,14.6,Onion,400,800,600,
,27/04/2018,56.2,Onion,300,800,600,
,28/04/2018,24.1,Onion,400,800,700,
,29/04/2018,54.1,Onion,300,800,600,
,30/04/2018,13.6,Onion,400,800,600,
Gudimalkapur,01/04/2018,57.5,Onion,400,1200,800,
,02/04/2018,56.3,Onion,300,1200,700,
,03/04/2018,42.5,Onion,400,1200,800,
,04/04/2018,116.2,Onion,400,1200,800,
,05/04/2018,124.8,Onion,400,1200,800,
,06/04/2018,83.4,Onion,400,1200,800,
,07/04/2018,89.9,Onion,300,1200,700,
,08/04/2018,132.1,Onion,400,1200,800,
,09/04/2018,23.2,Onion,400,1200,800,
,10/04/2018,74.2,Onion,400,800,600,
,11/04/2018,103.9,Onion,400,1200,800,
,12/04/2018,93.8,Onion,300,1200,700,
,13/04/2018,93.6,Onion,400,1200,800,
,14/04/2018,83.2,Onion,400,800,600,
,15/04/2018,80.2,Onion,300,800,500,
,17/04/2018,123.7,Onion,300,1000,700,
,18/04/2018,142.3,Onion,300,1200,700,
,19/04/2018,93,Onion,300,1200,700,
,20/04/2018,90.4,Onion,300,1200,700,
,21/04/2018,65.5,Onion,400,1000,700,
,22/04/2018,76.8,Onion,300,1000,600,
,23/04/2018,63,Onion,300,1000,600,
,24/04/2018,6.3,Onion,300,1000,600,
,25/04/2018,48.3,Onion,200,1000,600,
,26/04/2018,100.4,Onion,200,1000,600,
,27/04/2018,55,Onion,200,1000,600,
,28/04/2018,56.4,Onion,200,1000,600,
,29/04/2018,67.9,Onion,200,1000,600,
,30/04/2018,70.1,Onion,200,800,500,
Hyderabad (F&V),02/04/2018,565.5,1st Sort,700,900,800,
,,,2nd Sort,400,600,500,
,03/04/2018,785.3,1st Sort,700,1000,800,
,,,2nd Sort,400,600,500,
,04/04/2018,648.8,1st Sort,700,1000,800,
,,,2nd Sort,400,600,500,
,05/04/2018,818,1st Sort,700,1000,800,
,,,2nd Sort,500,600,550,
,06/04/2018,807.3,1st Sort,700,1000,800,
,,,2nd Sort,400,600,500,
,07/04/2018,985.3,1st Sort,700,1000,800,
,,,2nd Sort,400,600,500,
,09/04/2018,1067.9,1st Sort,700,1000,800,
,,,2nd Sort,400,600,500,
,10/04/2018,742.2,1st Sort,700,1000,800,
,,,2nd Sort,300,600,500,
,11/04/2018,900.1,1st Sort,700,1000,800,
,,,2nd Sort,300,600,500,
,12/04/2018,725.1,1st Sort,700,900,800,
,,,2nd Sort,300,600,500,
,13/04/2018,1171.2,1st Sort,700,900,800,
,,,2nd Sort,300,600,500,
,17/04/2018,1434.8,1st Sort,700,900,800,
,,,2nd Sort,300,600,400,
,18/04/2018,775,1st Sort,700,1000,800,
,,,2nd Sort,300,600,400,
,19/04/2018,920.5,1st Sort,700,1000,800,
,,,2nd Sort,300,600,500,
,20/04/2018,266.8,1st Sort,600,800,700,
,21/04/2018,666.9,1st Sort,600,800,700,
,,,2nd Sort,300,500,400,
,23/04/2018,907,1st Sort,600,800,700,
,,,2nd Sort,200,500,400,
,24/04/2018,768.9,1st Sort,600,800,700,
,,,2nd Sort,200,600,500,
,25/04/2018,531.1,1st Sort,600,800,700,
,,,2nd Sort,200,600,500,
,26/04/2018,592.5,1st Sort,600,700,650,
,,,2nd Sort,200,500,450,
,27/04/2018,523,1st Sort,600,800,700,
,,,2nd Sort,200,600,500,
,28/04/2018,591.2,1st Sort,600,800,700,
