Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kalyanpur,03/05/2018,1.5,Nasik,1550,1600,1580,
,06/05/2018,2.5,Nasik,1550,1600,1580,
,10/05/2018,2,Nasik,1600,1650,1620,
,13/05/2018,2.5,Nasik,1600,1650,1620,
,17/05/2018,2,Nasik,1750,1850,1800,
,20/05/2018,2.5,Nasik,1700,1900,1850,
,24/05/2018,2,Nasik,1750,1950,1870,
,27/05/2018,2.8,Nasik,1700,1800,1750,
,31/05/2018,3,Nasik,1500,1800,1750,
Panisagar,02/05/2018,0.9,Red,1600,1700,1650,
,06/05/2018,0.9,Red,1600,1700,1650,
,09/05/2018,0.9,Red,1600,1700,1650,
,13/05/2018,1.1,Red,1600,1700,1650,
,16/05/2018,1.2,Red,1500,1600,1550,
,20/05/2018,0.9,Red,1800,2000,1900,
,23/05/2018,0.8,Red,1900,2000,1950,
,27/05/2018,0.9,Red,1900,2000,1950,
,30/05/2018,1,Red,1900,2000,1950,
Silachhari,16/05/2018,0.6, ,NR,NR,NR,
,23/05/2018,0.6, ,NR,NR,NR,
,26/05/2018,0.7, ,NR,NR,NR,
Teliamura,04/05/2018,2,Nasik,1550,1650,1600,
,07/05/2018,2,Nasik,1550,1650,1600,
,11/05/2018,4,Nasik,1500,1600,1550,
,14/05/2018,2,Nasik,1700,1800,1750,
,18/05/2018,2,Nasik,1700,1800,1750,
,21/05/2018,4,Nasik,1800,1900,1850,
,25/05/2018,2,Nasik,2000,2100,2050,
,28/05/2018,2,Nasik,1600,1750,1700,
