Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Barpathari,01/10/2019,0.2,Other,5000,5500,5250,
,02/10/2019,0.2,Other,5000,5500,5250,
,03/10/2019,0.3,Other,5000,5500,5250,
,04/10/2019,1,Other,5300,5500,5400,
,05/10/2019,0.2,Other,5300,5500,5400,
,06/10/2019,0.4,Other,5300,5500,5400,
,07/10/2019,1,Other,5300,5500,5400,
,08/10/2019,0.2,Other,5300,5500,5400,
,09/10/2019,0.2,Other,5300,5500,5400,
,10/10/2019,0.3,Other,5300,5500,5400,
,11/10/2019,1.1,Other,5300,5500,5400,
,12/10/2019,0.3,Other,5300,5500,5400,
,13/10/2019,0.2,Other,5300,5500,5400,
,14/10/2019,1,Other,5300,5500,5400,
,15/10/2019,0.2,Other,5300,5500,5400,
,16/10/2019,0.3,Other,5300,5500,5400,
,17/10/2019,0.3,Other,5300,5500,5400,
,18/10/2019,1.1,Other,5300,5500,5400,
,19/10/2019,0.2,Other,5300,5500,5400,
,20/10/2019,0.3,Other,5300,5500,5400,
,21/10/2019,1,Other,5300,5500,5400,
,22/10/2019,0.2,Other,5300,5500,5400,
,23/10/2019,0.2,Other,5300,5500,5400,
,24/10/2019,0.3,Other,5300,5500,5400,
,25/10/2019,0.9,Other,5300,5500,5400,
,26/10/2019,0.2,Other,5300,5500,5400,
,27/10/2019,0.3,Other,5300,5500,5400,
,28/10/2019,1.1,Other,5300,5500,5400,
,29/10/2019,0.3,Other,5300,5500,5400,
,30/10/2019,0.3,Other,5300,5500,5400,
,31/10/2019,0.4,Other,5300,5500,5400,
Kadamtala,01/10/2019,0.25,1st Sort,5500,5600,5550,
,02/10/2019,0.3,1st Sort,5450,5550,5500,
,03/10/2019,0.3,1st Sort,5400,5500,5450,
,04/10/2019,0.25,1st Sort,5400,5500,5450,
,05/10/2019,0.3,1st Sort,5450,5550,5500,
,07/10/2019,0.2,1st Sort,5450,5550,5500,
,08/10/2019,0.25,1st Sort,5450,5550,5500,
,09/10/2019,0.2,1st Sort,5450,5550,5500,
,10/10/2019,0.2,1st Sort,5450,5550,5500,
,12/10/2019,0.2,1st Sort,5000,5100,5050,
,13/10/2019,0.5,1st Sort,5100,5300,5200,
,14/10/2019,0.2,1st Sort,5100,5200,5150,
,15/10/2019,0.2,1st Sort,5100,5300,5200,
,16/10/2019,0.4,1st Sort,5050,5150,5100,
,18/10/2019,0.2,1st Sort,5300,5400,5350,
,19/10/2019,0.2,1st Sort,5100,5400,5300,
,20/10/2019,0.5,1st Sort,5200,5400,5300,
,21/10/2019,0.25,1st Sort,5450,5550,5500,
,22/10/2019,0.4,1st Sort,5500,5600,5550,
,23/10/2019,0.4,1st Sort,5400,5500,5450,
,24/10/2019,0.2,1st Sort,5350,5500,5450,
,25/10/2019,0.3,1st Sort,5400,5550,5450,
,26/10/2019,0.3,1st Sort,5400,5500,5450,
,27/10/2019,0.55,1st Sort,5400,5500,5450,
Kalyanpur,03/10/2019,2,Nasik,5200,5300,5250,
,10/10/2019,1.5,Nasik,5200,5300,5260,
,13/10/2019,2,Nasik,5300,5400,5350,
,17/10/2019,2,Nasik,5300,5400,5350,
,20/10/2019,0.2,Nasik,5150,5250,5200,
,24/10/2019,2,Nasik,5200,5300,5250,
,31/10/2019,0.2,Nasik,5200,5300,5250,
Panisagar,01/10/2019,0.25,Red,5350,5450,5400,
,03/10/2019,0.2,Red,5400,5500,5450,
,04/10/2019,0.2,Red,5400,5500,5450,
,05/10/2019,0.2,Red,5400,5500,5450,
,06/10/2019,0.7,Red,5350,5450,5400,
,07/10/2019,0.15,Red,5350,5450,5400,
,09/10/2019,0.9,Red,5400,5500,5450,
,12/10/2019,0.25,Red,5100,5300,5200,
,13/10/2019,0.8,Red,5000,5100,5050,
,14/10/2019,0.2,Red,5000,5100,5050,
,17/10/2019,0.25,Red,5100,5300,5200,
,18/10/2019,0.25,Red,5200,5400,5300,
,19/10/2019,0.2,Red,5200,5400,5300,
,20/10/2019,0.9,Red,5300,5400,5350,
,21/10/2019,0.2,Red,5450,5550,5500,
,22/10/2019,0.2,Red,5425,5550,5475,
,23/10/2019,0.8,Red,5450,5600,5550,
,24/10/2019,0.2,Red,1800,1900,1850,
,25/10/2019,0.3,Red,5400,5600,5500,
,26/10/2019,0.25,Red,5450,5550,5500,
,27/10/2019,0.7,Red,5300,5400,5350,
,28/10/2019,0.2,Red,5400,5500,5450,
,29/10/2019,0.2,Red,5350,5450,5400,
Teliamura,04/10/2019,2,Nasik,6000,6200,6100,
,07/10/2019,2,Nasik,5200,5700,5500,
,11/10/2019,2,Nasik,5300,5500,5400,
,14/10/2019,1.5,Nasik,6000,6200,6100,
,18/10/2019,2,Nasik,5500,5700,5600,
,21/10/2019,1,Nasik,5500,5700,5600,
,25/10/2019,1,Nasik,5500,5600,5550,
,28/10/2019,2,Nasik,5500,5800,5600,
