Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhagwanpur(Naveen Mandi Sthal),02/05/2019,0.5,Other,700,800,750,
,04/05/2019,0.5,Other,800,950,900,
,06/05/2019,0.5,Other,700,800,780,
,08/05/2019,0.5,Other,800,900,850,
,10/05/2019,0.5,Other,800,850,825,
,11/05/2019,0.5,Other,800,850,810,
,15/05/2019,0.5,Other,700,800,750,
,17/05/2019,0.7,Other,800,850,820,
,19/05/2019,0.5,Other,700,750,720,
,22/05/2019,1,Other,600,700,650,
,24/05/2019,1,Other,700,750,720,
,26/05/2019,1,Other,700,800,750,
,29/05/2019,0.5,Other,700,800,750,
Dehradoon,01/05/2019,51.6,Other,1050,1400,1200,
,03/05/2019,14.2,Other,1050,1450,1150,
,04/05/2019,22.8,Other,1050,1350,1100,
,06/05/2019,143.9,Other,900,1350,1000,
,07/05/2019,68.3,Other,1000,1350,1150,
,08/05/2019,153.1,Other,900,1300,1100,
,09/05/2019,137.5,Other,900,1250,1050,
,10/05/2019,133.1,Other,1150,1450,1200,
,11/05/2019,109.3,Other,1200,1500,1250,
,13/05/2019,283.6, ,NR,NR,NR,
,14/05/2019,165.1,Other,1100,1400,1250,
,15/05/2019,273.4,Other,1100,1400,1250,
,16/05/2019,100.9,Other,1130,1420,1280,
,17/05/2019,86.2,Other,850,1250,1000,
,18/05/2019,60.6,Other,450,700,600,
,20/05/2019,17.3,Other,1150,1450,1200,
,21/05/2019,74.1,Other,1100,1400,1250,
,22/05/2019,84.3,Other,1200,1450,1350,
,23/05/2019,48.1,Other,1100,1400,1150,
,24/05/2019,80.3,Other,1100,1400,1250,
,25/05/2019,146.5,Other,1150,1450,1200,
,27/05/2019,154,Other,1100,1450,1250,
,28/05/2019,111,Other,1110,1460,1260,
,29/05/2019,24.4,Other,1150,1400,1250,
,30/05/2019,125.1,Other,1100,1400,1200,
,31/05/2019,43,Other,1200,1400,1350,
Haldwani,02/05/2019,12.4,Other,300,500,400,
,03/05/2019,28.1,Other,300,500,400,
,05/05/2019,63.1,Other,550,750,650,
,06/05/2019,77.8,Other,600,800,700,
,08/05/2019,49.5,Other,594,794,694,
,09/05/2019,6.9,Other,253,453,353,
,10/05/2019,121,Other,300,500,400,
,12/05/2019,46.2,Other,300,500,400,
,13/05/2019,109.6,Other,367,567,467,
,14/05/2019,103.4,Other,375,575,475,
,15/05/2019,101.8,Other,300,500,400,
,16/05/2019,56,Other,474,674,574,
,17/05/2019,127.4,Other,371,571,471,
,19/05/2019,58,Other,473,673,573,
,21/05/2019,96.2,Other,334,534,434,
,22/05/2019,113.7,Other,355,555,455,
,23/05/2019,38.6,Other,317,517,417,
,24/05/2019,48.2,Other,599,799,699,
,26/05/2019,2.5,Other,300,500,400,
,27/05/2019,7.4,Other,400,600,500,
,29/05/2019,131.1,Other,584,784,684,
,30/05/2019,90.9,Other,600,800,700,
,31/05/2019,25,Other,600,800,700,
Haridwar Union,01/05/2019,2,Other,800,1025,1000,
,02/05/2019,6.5,Other,800,1025,1000,
,03/05/2019,7,Other,800,1050,1000,
,04/05/2019,6.5, ,NR,NR,NR,
,05/05/2019,7.5,Other,800,1000,950,
,06/05/2019,8,Other,800,1000,925,
,07/05/2019,6.8,Other,800,1000,900,
,08/05/2019,7,Other,800,1000,900,
,09/05/2019,6,Other,800,1000,900,
,10/05/2019,5.5,Other,800,1000,900,
,11/05/2019,8,Other,800,1000,900,
,12/05/2019,7.5,Other,800,1000,900,
,13/05/2019,7,Other,800,1000,900,
,15/05/2019,7.8,Other,800,1000,900,
,16/05/2019,8,Other,800,1000,900,
,17/05/2019,7.5,Other,800,1000,900,
,19/05/2019,6.5,Other,800,970,900,
,20/05/2019,3.5,Other,800,1000,925,
,21/05/2019,7,Other,800,980,900,
,22/05/2019,6,Other,800,950,850,
,23/05/2019,7,Other,800,945,840,
,24/05/2019,7.5,Other,800,900,825,
,25/05/2019,8,Other,750,900,820,
,26/05/2019,6.8,Other,750,900,815,
,27/05/2019,7,Other,750,900,825,
,28/05/2019,7,Other,750,900,810,
,29/05/2019,6.5,Other,750,900,800,
,30/05/2019,6.4, ,NR,NR,NR,
