Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alampur,16/10/2019,10, ,NR,NR,NR,
,17/10/2019,6.5, ,NR,NR,NR,
,18/10/2019,21, ,NR,NR,NR,
,19/10/2019,34, ,NR,NR,NR,
,21/10/2019,55.5, ,NR,NR,NR,
,22/10/2019,51, ,NR,NR,NR,
,23/10/2019,26.5, ,NR,NR,NR,
,30/10/2019,62.5,1121,2050,2250,2100,
,31/10/2019,10,1121,2100,2300,2255,
Bankhedi,30/10/2019,6.2, ,NR,NR,NR,
,31/10/2019,5.6,Basumathi,1800,1900,1900,
Bhitarwar,12/10/2019,1,Basmati 1509,2600,2600,2600,
,14/10/2019,25,Basmati 1509,2360,2435,2400,
,15/10/2019,1,Sugandha,2250,2299,2280,
,16/10/2019,17.3,Basmati 1509,1999,2267,2250,
,17/10/2019,14.5,Basmati 1509,2000,2350,2200,
,18/10/2019,37,Basmati 1509,2300,2346,2300,
,19/10/2019,54.3,Basmati 1509,2200,2365,2300,
,,,Sugandha,1700,2095,2000,
,21/10/2019,128.7,Basmati 1509,2000,2391,2200,
,,,Sugandha,1812,2200,1950,
,23/10/2019,112.7,Basmati 1509,2000,2331,2250,
,,,Sugandha,1600,1940,1800,
,30/10/2019,102,Basmati 1509,2015,2345,2100,
,,,Sugandha,1490,1850,1700,
,31/10/2019,210,1121,2300,2440,2400,
,,,Basmati 1509,1800,2225,2100,
,,,Sugandha,1500,1900,1700,
Dabra,01/10/2019,48, ,NR,NR,NR,
,03/10/2019,18, ,NR,NR,NR,
,04/10/2019,204, ,NR,NR,NR,
,05/10/2019,786, ,NR,NR,NR,
,07/10/2019,1464, ,NR,NR,NR,
,09/10/2019,3144,Basmati 1509,1935,2725,2415,
,,,Sugandha,2000,2100,2100,
,10/10/2019,4434,Basmati 1509,2250,2756,2550,
,11/10/2019,1040,Basmati 1509,2300,2750,2575,
,,,Sugandha,2100,2185,2185,
,14/10/2019,3102,Basmati 1509,2200,2750,2550,
,,,Sugandha,2000,2300,2150,
,15/10/2019,3080,Basmati 1509,1950,2530,2300,
,16/10/2019,2740,Basmati 1509,2000,2400,2200,
,,,Sugandha,1900,2100,2000,
,17/10/2019,2278,Basmati 1509,2000,2400,2200,
,,,Sugandha,1900,2100,2000,
,18/10/2019,2746,Basmati 1509,2050,2410,2250,
,,,Sugandha,1950,2150,2050,
,19/10/2019,2556,Basmati 1509,1950,2400,2200,
,,,Sugandha,1900,2100,2000,
,21/10/2019,2782,Basmati 1509,2100,2475,2300,
,,,Sugandha,1850,2000,1900,
,22/10/2019,2909,Basmati 1509,2050,2500,2250,
,,,Sugandha,1800,2050,1950,
,23/10/2019,3384,Basmati 1509,1900,2525,2350,
,,,Sugandha,1800,2000,1900,
,25/10/2019,3090,Basmati 1509,1900,2400,2150,
,,,Sugandha,1700,1900,1800,
,30/10/2019,2703,1121,2250,2350,2300,
,,,Basmati 1509,1900,2300,2150,
,,,Sugandha,1600,1875,1750,
,31/10/2019,3445,Basmati 1509,1800,2250,2050,
,,,Sugandha,1500,1810,1700,
Datia,01/10/2019,0.6,Sugandha,2160,2160,2160,
,03/10/2019,1.5,Basmati 1509,1660,1660,1660,
,04/10/2019,2,Basmati 1509,1900,2025,1975,
,05/10/2019,9,Basmati 1509,1900,2075,2025,
,09/10/2019,29.7,Basmati 1509,1800,2640,2500,
,10/10/2019,48,Basmati 1509,2095,2645,2375,
,11/10/2019,108.2,Basmati 1509,2450,2735,2650,
,,,Sugandha,1955,2250,2175,
,14/10/2019,223.5,Basmati 1509,2250,2490,2375,
,,,Sugandha,2000,2175,2120,
,15/10/2019,273.4,Basmati 1509,2250,2405,2325,
,,,Sugandha,1900,2150,2100,
,19/10/2019,733.8,Basmati 1509,2150,2475,2325,
,,,Sugandha,1850,2040,1975,
