Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ankleshwar,01/04/2019,2.26,Pigeon Pea (Arhar Fali),3000,4800,4350,
,02/04/2019,2.27,Pigeon Pea (Arhar Fali),2750,4350,3650,
,03/04/2019,3.54,Pigeon Pea (Arhar Fali),2750,4350,3650,
,05/04/2019,2.3,Pigeon Pea (Arhar Fali),3500,4400,4000,
,06/04/2019,2.22,Pigeon Pea (Arhar Fali),3750,4650,4425,
,07/04/2019,2.5,Pigeon Pea (Arhar Fali),3750,4650,4425,
,08/04/2019,2.24,Pigeon Pea (Arhar Fali),4425,6625,6000,
,09/04/2019,2.25,Pigeon Pea (Arhar Fali),4425,6625,6175,
,10/04/2019,2.53,Pigeon Pea (Arhar Fali),3750,6450,6000,
,11/04/2019,2.63,Pigeon Pea (Arhar Fali),4250,6450,6000,
,12/04/2019,2.1,Pigeon Pea (Arhar Fali),5750,6650,6250,
,13/04/2019,1.39,Pigeon Pea (Arhar Fali),4850,6450,6000,
,14/04/2019,1.94,Pigeon Pea (Arhar Fali),5450,7950,7250,
,15/04/2019,1.59,Pigeon Pea (Arhar Fali),6250,8450,8000,
,17/04/2019,1.79,Pigeon Pea (Arhar Fali),6350,8150,7500,
,18/04/2019,1.8,Pigeon Pea (Arhar Fali),5750,8450,8000,
,19/04/2019,1.9,Pigeon Pea (Arhar Fali),6150,8650,8250,
,20/04/2019,2,Pigeon Pea (Arhar Fali),6150,7950,7500,
,21/04/2019,2.28,Pigeon Pea (Arhar Fali),6150,7750,7350,
,22/04/2019,1.75,Pigeon Pea (Arhar Fali),6350,8150,7700,
,24/04/2019,1.77,Pigeon Pea (Arhar Fali),9350,11850,11000,
,25/04/2019,1.6,Pigeon Pea (Arhar Fali),7250,8150,7925,
,26/04/2019,1.7,Pigeon Pea (Arhar Fali),6350,7950,7500,
,27/04/2019,1.8,Pigeon Pea (Arhar Fali),6650,7950,7500,
,28/04/2019,1.09,Pigeon Pea (Arhar Fali),6350,7950,7500,
,29/04/2019,1.01,Pigeon Pea (Arhar Fali),6450,7750,7350,
,30/04/2019,1.92,Pigeon Pea (Arhar Fali),6350,7950,7500,
Dahod(Veg. Market),01/04/2019,0.17,Other,2500,3500,3000,
,02/04/2019,0.13,Other,2500,3500,3000,
,03/04/2019,0.15,Other,2500,3800,3500,
,04/04/2019,0.35,Other,2000,2500,2500,
,05/04/2019,0.23,Other,2000,2500,2500,
