Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chandigarh(Grain/Fruit),02/01/2018,96.55, ,NR,NR,NR,
,03/01/2018,150.95, ,NR,NR,NR,
,04/01/2018,108.95,Other,200,450,325,
,05/01/2018,121.75,Other,200,450,325,
,06/01/2018,138.3,Other,200,400,300,
,07/01/2018,136.85,Other,200,400,300,
,09/01/2018,223.3,Other,200,350,275,
,10/01/2018,219.75,Other,200,350,275,
,11/01/2018,154.15,Other,200,350,275,
,12/01/2018,128.6,Other,200,300,250,
,13/01/2018,158.85,Other,200,300,250,
,14/01/2018,185.4,Other,200,300,250,
,16/01/2018,191.25,Other,200,300,250,
,17/01/2018,121.45,Other,200,300,250,
,18/01/2018,138.1,Other,200,300,250,
,19/01/2018,145.35,Other,200,300,250,
,20/01/2018,129.9,Other,200,300,250,
,21/01/2018,130.45,Other,200,300,250,
,23/01/2018,251.35,Other,200,300,250,
,24/01/2018,98.3,Other,200,340,270,
,25/01/2018,235.55,Other,200,330,265,
,26/01/2018,160.1,Other,200,300,250,
,27/01/2018,93.5,Other,200,300,250,
,28/01/2018,122.85,Other,200,300,250,
,30/01/2018,156.45,Other,200,320,260,
,31/01/2018,141.9,Other,200,380,290,
