Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chandigarh(Grain/Fruit),01/12/2019,127.7,Other,400,1500,950,
,03/12/2019,133.8,Other,400,1500,950,
,04/12/2019,135.2,Other,500,1500,1000,
,06/12/2019,145.65,Other,300,1600,950,
,07/12/2019,81.05,Other,400,1600,1000,
,11/12/2019,139.6,Other,400,1600,1000,
,12/12/2019,117.85,Other,400,1600,1000,
,17/12/2019,172.8,Other,500,2000,1250,
,18/12/2019,176.05,Other,500,1500,1000,
,19/12/2019,151.9,Other,500,1500,1000,
,20/12/2019,206.65,Other,500,1500,1000,
,21/12/2019,228,Other,400,1200,800,
,22/12/2019,181.2,Other,400,1200,800,
,24/12/2019,178,Other,500,1300,900,
,26/12/2019,90.95,Other,500,1200,850,
,27/12/2019,73.05,Other,500,1200,850,
,28/12/2019,68.05,Other,500,1200,850,
,29/12/2019,95.7,Other,500,1600,1050,
,31/12/2019,85.45,Other,500,1500,1000,
