Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/06/2018,15,Other,800,1000,900,
,02/06/2018,13,Other,800,1200,1000,
,03/06/2018,13,Other,800,1200,1000,
,05/06/2018,15,Other,800,1000,900,
,06/06/2018,14,Other,800,1200,1000,
,07/06/2018,12,Other,800,1000,900,
,08/06/2018,14,Other,800,1200,1000,
,09/06/2018,12,Other,800,1000,900,
,11/06/2018,14,Other,800,1200,1000,
,12/06/2018,16,Other,800,1000,900,
,13/06/2018,14,Other,1000,1200,1100,
,14/06/2018,14,Other,1000,1200,1100,
,15/06/2018,11,Other,800,1000,900,
,17/06/2018,12,Other,800,1200,1000,
,19/06/2018,14,Other,800,1000,900,
,20/06/2018,12,Other,800,1200,1000,
,21/06/2018,10,Other,800,1000,900,
,22/06/2018,9,Other,700,1000,850,
,23/06/2018,8,Other,700,900,800,
,24/06/2018,13,Other,700,1000,850,
,26/06/2018,16,Other,600,1000,800,
,27/06/2018,14,Other,800,1000,900,
,28/06/2018,11,Other,800,1200,1000,
,29/06/2018,13,Other,800,1000,900,
,30/06/2018,11,Other,800,1200,1000,
Raigarh,01/06/2018,46,Other,1200,1300,1200,
,02/06/2018,88,Other,1200,1300,1200,
,03/06/2018,44,Other,1200,1300,1200,
,04/06/2018,48,Other,1300,1400,1300,
,06/06/2018,46,Other,1200,1300,1200,
,07/06/2018,50,Other,1300,1350,1300,
,12/06/2018,46,Other,1000,1100,1000,
,13/06/2018,89,Other,1200,1300,1200,
,14/06/2018,25,Other,1300,1400,1300,
,15/06/2018,21,Other,1300,1400,1300,
,16/06/2018,65,Other,1300,1400,1300,
,17/06/2018,45,Other,1200,1300,1200,
,18/06/2018,83,Other,1300,1400,1300,
,19/06/2018,25,Other,1350,1400,1350,
,20/06/2018,63,Other,1300,1400,1300,
,21/06/2018,20,Other,1300,1400,1300,
,22/06/2018,46,Other,1200,1300,1200,
,23/06/2018,134,Other,1200,1300,1200,
,24/06/2018,47,Other,1300,1400,1300,
,25/06/2018,182,Other,1200,1300,1200,
,26/06/2018,25,Other,1200,1300,1200,
,27/06/2018,25,Other,1200,1300,1200,
,28/06/2018,46,Other,1300,1400,1300,
,29/06/2018,25,Other,1300,1400,1300,
,30/06/2018,71,Other,1200,1300,1200,
Rajnandgaon,01/06/2018,5,Potato,1400,1400,1400,
,05/06/2018,10,Potato,1500,1500,1500,
,07/06/2018,10,Potato,1600,1600,1600,
,08/06/2018,3,Potato,1600,1600,1600,
,09/06/2018,10,Potato,1600,1600,1600,
,10/06/2018,5.5,Potato,1600,1600,1600,
,12/06/2018,5,Potato,1400,1400,1400,
,13/06/2018,2.5,Potato,1400,1400,1400,
,17/06/2018,5,Potato,1600,1600,1600,
,19/06/2018,5,Potato,1500,1500,1500,
,23/06/2018,10,Potato,1600,1600,1600,
,24/06/2018,5.5,Potato,1600,1600,1600,
,26/06/2018,5.5,Potato,1600,1600,1600,
,27/06/2018,5.5,Potato,1600,1600,1600,
,28/06/2018,2.5,Potato,1600,1600,1600,
,29/06/2018,5,Potato,1600,1600,1600,
,30/06/2018,12,Potato,1600,1600,1600,
Tiphra,02/06/2018,60,Other,700,850,750,
,03/06/2018,40,Other,600,700,650,
,04/06/2018,58,Other,700,800,740,
,05/06/2018,60,Other,600,800,700,
,06/06/2018,55,Other,500,700,600,
,07/06/2018,50,Other,1200,1500,1400,
,08/06/2018,60,Other,1600,1800,1600,
,09/06/2018,65,Other,1700,1900,1800,
,10/06/2018,60,Other,1800,1850,1800,
,11/06/2018,70,Other,1700,1800,1700,
,12/06/2018,68,Other,1600,1800,1700,
,13/06/2018,70,Other,1500,1800,1600,
,14/06/2018,80,Other,1600,1800,1700,
,15/06/2018,70,Other,1500,1800,1600,
,16/06/2018,60,Other,1600,1800,1700,
,17/06/2018,55,Other,1700,1900,1800,
,18/06/2018,50,Other,1600,1800,1700,
,19/06/2018,60,Other,1300,1700,1500,
,20/06/2018,48,Other,1400,1800,1600,
,21/06/2018,50,Other,1500,1700,1600,
,22/06/2018,55,Other,1600,1800,1700,
,23/06/2018,55.5,Other,1500,1700,1600,
,24/06/2018,49,Other,1600,1800,1700,
,25/06/2018,60,Other,1500,1800,1600,
,26/06/2018,65,Other,1400,1800,1700,
,27/06/2018,60,Other,1500,1700,1600,
,28/06/2018,59,Other,1600,1800,1700,
,29/06/2018,60,Other,1700,2000,1800,
,30/06/2018,62,Other,1600,1800,1700,
