Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,02/04/2019,12.35,Desi,1200,1260,1250,
,05/04/2019,9.35,Desi,1200,1340,1300,
,10/04/2019,9.64, ,NR,NR,NR,
,17/04/2019,9.65,Desi,1200,1340,1300,
,20/04/2019,8.32,Desi,1100,1240,1200,
Gumla,06/04/2019,9,Other,3000,4000,3500,
,07/04/2019,7,Other,2800,3000,2900,
,09/04/2019,6,Other,2500,3000,2750,
,10/04/2019,9,Other,3000,4000,3500,
,11/04/2019,8,Other,3000,4000,3500,
Koderma,01/04/2019,0.7,Other,700,900,800,
,10/04/2019,1.29,Other,800,1000,900,
,20/04/2019,0.9,Other,800,1000,900,
,23/04/2019,1.3,Other,800,1000,900,
,30/04/2019,0.9,Other,800,1100,900,
