Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,04/11/2018,32,Other,1400,2000,1750,
,05/11/2018,26,Other,1000,2000,1500,
,08/11/2018,40,Other,1200,2000,1600,
,09/11/2018,22,Other,1000,1900,1450,
,10/11/2018,75,Other,1200,2000,1600,
,11/11/2018,47,Other,1000,2000,1500,
,18/11/2018,47,Other,1000,2000,1500,
,25/11/2018,72,Other,1000,2000,1500,
,26/11/2018,47,Other,1000,2000,1500,
,27/11/2018,43,Other,1000,2000,1500,
,29/11/2018,80,Other,1000,2000,1500,
,30/11/2018,80,Other,1000,2000,1500,
Akluj,01/11/2018,5,Local,1800,2000,1900,
,02/11/2018,4,Local,1800,2000,1900,
,03/11/2018,4,Local,1600,2000,1800,
,04/11/2018,5,Local,1800,2000,1900,
,05/11/2018,4,Local,1600,2000,1800,
,10/11/2018,4,Local,1800,2000,1900,
,11/11/2018,5,Local,1700,2000,1800,
,12/11/2018,5,Local,1700,2000,1800,
,14/11/2018,3,Local,1700,2000,1800,
,15/11/2018,3,Local,1700,2000,1800,
,16/11/2018,5,Local,1700,2000,1800,
,18/11/2018,4,Local,1600,2000,1800,
,19/11/2018,6,Local,1800,2000,1900,
,21/11/2018,4,Local,1800,2000,1900,
,22/11/2018,3,Local,1700,2000,1800,
,24/11/2018,4,Local,1600,2000,1800,
,25/11/2018,4,Local,1600,2000,1800,
,27/11/2018,6,Local,1600,2000,1700,
,28/11/2018,5,Local,1700,2000,1800,
,29/11/2018,3,Local,1800,2000,1900,
,30/11/2018,4,Local,1600,2000,1800,
Amrawati(Frui & Veg. Market),02/11/2018,42,Other,1000,1600,1300,
,03/11/2018,43,Other,700,1400,1050,
,04/11/2018,45,Other,700,1500,1100,
,05/11/2018,45,Other,700,1500,1100,
,06/11/2018,46,Other,700,1600,1150,
,07/11/2018,46,Other,700,1600,1150,
,08/11/2018,48,Other,700,1600,1150,
,09/11/2018,40,Other,800,1600,1200,
,10/11/2018,44,Other,700,1600,1150,
,11/11/2018,46,Other,700,1600,1150,
,12/11/2018,47,Other,700,1600,1150,
,13/11/2018,43,Other,700,1600,1150,
,14/11/2018,44,Other,700,1600,1150,
,15/11/2018,44,Other,700,1600,1150,
,16/11/2018,43,Other,800,1600,1200,
,17/11/2018,44,Other,1000,1600,1300,
,18/11/2018,44,Other,1000,1700,1350,
,19/11/2018,41,Other,1000,1600,1300,
,20/11/2018,46,Other,1000,1600,1300,
,21/11/2018,35,Other,1200,1600,1400,
,22/11/2018,43,Other,800,1600,1200,
,23/11/2018,42,Other,700,1700,1200,
,24/11/2018,42,Other,800,1600,1400,
,25/11/2018,44,Other,800,1600,1200,
,26/11/2018,43,Other,800,1600,1200,
,27/11/2018,44,Other,1000,1200,1100,
,28/11/2018,48,Other,800,1000,900,
,30/11/2018,46,Other,800,1000,900,
Aurangabad,01/11/2018,70,Other,1200,1400,1300,
,03/11/2018,80,Other,1000,1500,1250,
,04/11/2018,70,Other,1200,1400,1300,
,05/11/2018,60,Other,600,1400,1000,
,06/11/2018,30,Other,1300,1500,1400,
,07/11/2018,50,Other,700,1500,1100,
,08/11/2018,20,Other,1200,1500,1350,
,10/11/2018,70,Other,1200,1500,1350,
,11/11/2018,70,Other,1300,1500,1400,
,12/11/2018,50,Other,1200,1400,1300,
,13/11/2018,40,Other,1200,1400,1300,
,14/11/2018,80,Other,1200,1400,1300,
,15/11/2018,30,Other,1300,1500,1400,
,17/11/2018,80,Other,600,1300,950,
,18/11/2018,70,Other,1000,1400,1200,
,19/11/2018,50,Other,1200,1600,1400,
,20/11/2018,60,Other,1000,1300,1150,
,21/11/2018,80,Other,600,1200,900,
,22/11/2018,70,Other,1000,1400,1200,
,24/11/2018,90,Other,900,1300,1100,
,25/11/2018,60,Other,1000,1200,1100,
,26/11/2018,70,Other,900,1200,1050,
,27/11/2018,110,Other,600,1200,900,
,28/11/2018,70,Other,600,900,750,
,29/11/2018,100,Other,600,800,700,
Chandrapur(Ganjwad),01/11/2018,43,Other,1500,1700,1600,
,02/11/2018,46,Other,1500,1700,1600,
,03/11/2018,51,Other,1200,1700,1500,
,04/11/2018,64,Other,1000,1700,1500,
,06/11/2018,78,Other,1400,1800,1600,
,07/11/2018,68,Other,1500,1800,1700,
,08/11/2018,28,Other,1400,1600,1500,
,09/11/2018,44,Other,1500,1700,1600,
,10/11/2018,35,Other,1500,1700,1600,
,11/11/2018,63,Other,1400,1700,1600,
,13/11/2018,62,Other,1500,1700,1600,
,14/11/2018,45,Other,1400,1700,1600,
,15/11/2018,58,Other,1400,1700,1500,
,16/11/2018,38,Other,1200,1700,1500,
,17/11/2018,41,Other,1400,1700,1500,
,18/11/2018,52,Other,1400,1700,1600,
