Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,04/09/2019,1.5,Other,1300,1500,1500,
,05/09/2019,1.6,Other,1300,1500,1500,
,06/09/2019,1.5,Other,1300,1500,1500,
,07/09/2019,1.4,Other,1300,1500,1500,
,09/09/2019,1.5,Other,1300,1500,1500,
,10/09/2019,1.6,Other,1300,1500,1500,
,11/09/2019,1.5,Other,1300,1500,1500,
,12/09/2019,1.6,Other,1300,1500,1500,
,13/09/2019,1.5,Other,1300,1500,1500,
,16/09/2019,1.6,Other,1300,1500,1500,
,17/09/2019,1.5,Other,1300,1500,1500,
,18/09/2019,1.6,Other,1300,1500,1500,
,19/09/2019,1.5,Other,1300,1500,1500,
,20/09/2019,1.6,Other,1300,1500,1500,
,23/09/2019,1.5,Other,1300,1500,1500,
,24/09/2019,1.4,Other,1300,1500,1500,
,25/09/2019,1.3,Other,1300,1500,1500,
,26/09/2019,1.4,Other,1300,1500,1500,
,27/09/2019,1.5,Other,1300,1500,1500,
,28/09/2019,1.4,Other,1300,1500,1500,
Imphal,04/09/2019,5.2,Other,1400,1400,1400,
,05/09/2019,5,Other,1400,1400,1400,
,06/09/2019,4.8,Other,1400,1400,1400,
,07/09/2019,5,Other,1400,1400,1400,
,09/09/2019,5.2,Other,1400,1400,1400,
,10/09/2019,5,Other,1400,1400,1400,
,11/09/2019,5.2,Other,1400,1400,1400,
,16/09/2019,5,Other,1400,1400,1400,
,17/09/2019,4.8,Other,1400,1400,1400,
,18/09/2019,5,Other,1400,1400,1400,
,19/09/2019,5.2,Other,1400,1400,1400,
,20/09/2019,5,Other,1400,1400,1400,
,23/09/2019,5.2,Other,1400,1400,1400,
,24/09/2019,5,Other,1400,1400,1400,
,25/09/2019,4.8,Other,1400,1400,1400,
,26/09/2019,5,Other,1400,1400,1400,
,27/09/2019,4.8,Other,1400,1400,1400,
,28/09/2019,5,Other,1400,1400,1400,
Lamlong Bazaar,04/09/2019,1.8,Other,1300,1500,1500,
,05/09/2019,2,Other,1300,1500,1500,
,06/09/2019,2.2,Other,1300,1500,1500,
,07/09/2019,2,Other,1300,1500,1500,
,09/09/2019,1.8,Other,1300,1500,1500,
,10/09/2019,2,Other,1300,1500,1500,
,11/09/2019,1.8,Other,1300,1500,1500,
,12/09/2019,2,Other,1300,1500,1500,
,13/09/2019,1.8,Other,1300,1500,1500,
,16/09/2019,2,Other,1300,1500,1500,
,17/09/2019,1.8,Other,1300,1700,1500,
,18/09/2019,2,Other,1300,1700,1500,
,19/09/2019,1.8,Other,1300,1700,1500,
,20/09/2019,2,Other,1300,1700,1500,
,23/09/2019,2.2,Other,1300,1700,1500,
,24/09/2019,2,Other,1300,1700,1500,
,25/09/2019,1.8,Other,1300,1700,1500,
,26/09/2019,2,Other,1300,1700,1500,
,27/09/2019,1.8,Other,1300,1700,1500,
,28/09/2019,2,Other,1300,1700,1500,
Moreh,06/09/2019,2,Other,1800,2200,2000,
,13/09/2019,2, ,NR,NR,NR,
,20/09/2019,2,Other,1800,2200,2000,
Thoubal,04/09/2019,1.9,Other,1400,1800,1600,
,05/09/2019,2.2,Other,1400,1800,1600,
,06/09/2019,2.4,Other,1400,1800,1600,
,07/09/2019,2.3,Other,1400,1800,1600,
,09/09/2019,2.2,Other,1400,1800,1600,
,10/09/2019,2.4,Other,1400,1800,1600,
,11/09/2019,2.2,Other,1400,1800,1600,
,12/09/2019,2,Other,1400,1800,1600,
,13/09/2019,2.4,Other,1400,1800,1600,
,16/09/2019,2.2,Other,1400,1800,1600,
,17/09/2019,2.3,Other,1400,1800,1600,
,18/09/2019,2.2,Other,1400,1800,1600,
,19/09/2019,2,Other,1400,1800,1600,
,20/09/2019,2.4,Other,1400,1800,1600,
,23/09/2019,2,Other,1400,1800,1600,
,24/09/2019,2.3,Other,1400,1800,1600,
,25/09/2019,2.4,Other,1400,1800,1600,
,26/09/2019,2.2,Other,1400,1800,1600,
,27/09/2019,2.3,Other,1400,1800,1600,
,28/09/2019,2.4,Other,1400,1800,1600,
