Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dadengiri,04/09/2019,1,Potato,1800,1900,1850,
,11/09/2019,1.5,Potato,1500,1600,1550,
,18/09/2019,1.5,Potato,1500,1600,1550,
,25/09/2019,2,Potato,1500,1700,1600,
Khliehriat,17/09/2019,5.5,Local,2000,2500,2250,
,25/09/2019,6.05,Local,2000,2500,2250,
Mawiong Regulated Market,02/09/2019,2.1,Other,1000,1500,1000,
,04/09/2019,24.2,Other,1000,1400,1200,
,05/09/2019,11.9,Other,1200,1200,1200,
,06/09/2019,17.9,Other,800,1200,800,
,07/09/2019,12.3,Other,1200,1200,1200,
,09/09/2019,10.4,Other,1200,1200,1200,
,10/09/2019,4.9,Other,700,1400,1000,
,11/09/2019,23.1,Other,900,1200,1000,
,12/09/2019,24.5,Other,1000,1400,1200,
,13/09/2019,11.8,Other,1000,1300,1000,
,14/09/2019,11.9,Other,800,1200,1000,
,15/09/2019,22,Other,800,1200,1000,
,16/09/2019,22,Other,800,1200,1000,
,20/09/2019,21,Other,700,1500,1200,
,21/09/2019,13.3,Other,1200,1300,1200,
,23/09/2019,25.9,Other,1200,1300,1200,
,24/09/2019,18.9,Other,700,1200,900,
,25/09/2019,3.5,Other,1000,1400,1000,
,26/09/2019,32.2,Other,700,1300,1000,
,27/09/2019,7,Other,900,1000,900,
,30/09/2019,16.1,Other,700,1600,1000,
Rongram,06/09/2019,2.6,Potato,1500,1700,1550,
,13/09/2019,1.5,Potato,2000,2300,2100,
,20/09/2019,2.5,Potato,1600,1700,1650,
,27/09/2019,2.5,Potato,1500,2000,1700,
Shillong,02/09/2019,15,Jyoti,1200,1600,1400,
,03/09/2019,20,Jyoti,1200,1600,1400,
,04/09/2019,20,Jyoti,1200,1600,1400,
,05/09/2019,25,Jyoti,1200,1500,1300,
,06/09/2019,25,Jyoti,1200,1500,1300,
,09/09/2019,25,Jyoti,1200,1600,1450,
,10/09/2019,30,Jyoti,1200,1600,1400,
,11/09/2019,25,Jyoti,1200,1600,1450,
,12/09/2019,20,Jyoti,1200,1600,1450,
,13/09/2019,20,Jyoti,1200,1600,1400,
,16/09/2019,22,Jyoti,1300,1600,1400,
,17/09/2019,25,Jyoti,1200,1500,1300,
,18/09/2019,20,Jyoti,1200,1600,1450,
,19/09/2019,26,Jyoti,1200,1500,1300,
,20/09/2019,25,Jyoti,1100,1600,1450,
,23/09/2019,25,Jyoti,1100,1600,1400,
,24/09/2019,20,Jyoti,1100,1600,1450,
,25/09/2019,25,Jyoti,1200,1600,1400,
,26/09/2019,30,Jyoti,1200,1600,1400,
,27/09/2019,20,Jyoti,1200,1700,1500,
,30/09/2019,15,Jyoti,1200,1700,1500,
Tura,02/09/2019,1.5,Potato,1400,1700,1600,
,03/09/2019,1.5,Potato,1400,1700,1600,
,04/09/2019,1.5,Potato,1400,1700,1600,
,05/09/2019,1.4,Potato,1400,1800,1600,
,06/09/2019,1.5,Potato,1400,1800,1600,
,09/09/2019,1.5,Potato,1400,1700,1600,
,10/09/2019,1.5,Potato,1400,1700,1600,
,11/09/2019,1.4,Potato,1400,1700,1600,
,12/09/2019,1.3,Potato,1400,1700,1600,
,13/09/2019,1.3,Potato,1400,1700,1600,
,16/09/2019,1.5,Potato,1300,1700,1600,
,17/09/2019,1.5,Local,1300,1700,1600,
,18/09/2019,1.4,Potato,1300,1700,1600,
,19/09/2019,1.4,Potato,1300,1700,1600,
,20/09/2019,2,Potato,1800,1900,1850,
,23/09/2019,2,Potato,1800,1900,1850,
,24/09/2019,2,Potato,1800,1900,1850,
,25/09/2019,2,Potato,1800,1900,1850,
,26/09/2019,2,Potato,1800,1900,1850,
,27/09/2019,1.5,Potato,1800,2100,1900,
