Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer(F&V),01/02/2019,27.7,Other,300,500,400,
,02/02/2019,179.2,Other,300,500,450,
,03/02/2019,22.2,Other,300,500,450,
,04/02/2019,103.2,Other,300,500,450,
,05/02/2019,62.3,Other,300,600,500,
,06/02/2019,3.4,Other,300,600,450,
,07/02/2019,157.6,Other,300,600,500,
,08/02/2019,61.5,Other,300,600,450,
,09/02/2019,36.4,Other,300,600,500,
,10/02/2019,101.3,Other,300,600,500,
,11/02/2019,84.2,Other,300,600,500,
,12/02/2019,40,Other,300,600,450,
,13/02/2019,118.1,Other,400,700,550,
,14/02/2019,136.4,Other,400,700,550,
,15/02/2019,93.9,Other,400,700,600,
,16/02/2019,60.1,Other,400,700,550,
,17/02/2019,74.3,Other,400,700,600,
,18/02/2019,30.7,Other,400,700,550,
,20/02/2019,99.7,Other,400,700,600,
,21/02/2019,101.1,Other,400,700,600,
,22/02/2019,111.3,Other,400,700,600,
,23/02/2019,160.4,Other,400,700,550,
,24/02/2019,147.3,Other,400,700,600,
,26/02/2019,72.5,Other,450,700,600,
,27/02/2019,60.8,Other,400,700,550,
,28/02/2019,52.6,Other,400,700,600,
Alwar(FV),01/02/2019,68.3,Other,500,700,600,
,02/02/2019,84.4,Other,500,700,600,
,03/02/2019,134.5,Other,500,700,600,
,04/02/2019,89.9,Other,500,700,600,
,05/02/2019,72.2,Other,500,700,600,
,06/02/2019,106.5,Other,500,700,600,
,07/02/2019,212.9,Other,500,700,600,
,11/02/2019,69.3,Other,500,700,600,
,12/02/2019,49.4,Other,500,700,600,
,13/02/2019,168,Other,500,700,600,
,14/02/2019,130.7,Other,500,700,600,
,15/02/2019,76.1,Other,500,700,600,
,16/02/2019,155.3,Other,500,700,600,
,17/02/2019,44.2,Other,500,700,600,
,18/02/2019,148,Other,500,700,600,
,20/02/2019,190.5,Other,500,700,600,
,21/02/2019,78.2,Other,500,700,600,
,22/02/2019,136.7,Other,500,700,600,
,23/02/2019,111.3,Other,500,700,600,
,24/02/2019,153.9,Other,500,800,650,
,25/02/2019,51.7,Other,500,800,650,
,26/02/2019,123.6,Other,500,800,650,
,27/02/2019,110.6,Other,500,800,650,
,28/02/2019,199.1,Other,500,800,650,
Bayana,01/02/2019,3,Other,600,600,600,
,02/02/2019,7,Other,600,600,600,
,03/02/2019,4,Other,575,600,600,
,04/02/2019,3,Other,625,625,625,
,05/02/2019,3,Other,600,600,600,
,06/02/2019,3.5,Other,600,625,600,
,07/02/2019,4,Other,600,600,600,
,08/02/2019,3,Other,625,625,625,
,09/02/2019,2,Other,600,650,600,
,10/02/2019,5.2,Other,600,625,600,
,11/02/2019,4,Other,500,550,550,
,12/02/2019,2.5,Other,500,500,500,
,13/02/2019,6.5,Other,550,625,600,
,14/02/2019,8.5,Other,550,625,600,
,15/02/2019,0.5,Other,550,550,550,
,16/02/2019,6.5,Other,550,600,600,
,17/02/2019,4,Other,450,550,550,
,20/02/2019,2,Other,550,550,550,
,21/02/2019,6.2,Other,500,600,550,
,22/02/2019,3.6,Other,500,500,500,
,23/02/2019,4,Other,500,550,500,
,24/02/2019,3.6,Other,500,500,500,
,25/02/2019,7,Other,500,600,600,
,26/02/2019,5,Other,400,500,500,
Chittorgarh,01/02/2019,5,Other,700,1000,850,
,02/02/2019,35,Other,700,1000,850,
,05/02/2019,27, ,NR,NR,NR,
,07/02/2019,30,Other,700,1000,850,
,08/02/2019,19.5,Other,700,1000,850,
,09/02/2019,10,Other,700,1000,850,
,10/02/2019,22,Other,800,1000,900,
,11/02/2019,17,Other,700,1000,850,
,12/02/2019,9.5,Other,700,1000,850,
,14/02/2019,16,Other,700,1000,850,
,15/02/2019,15,Other,700,1000,850,
,17/02/2019,28,Other,500,800,650,
,18/02/2019,21,Other,700,1000,850,
,20/02/2019,21.5,Other,700,1000,850,
,21/02/2019,8.5,Other,700,800,750,
,22/02/2019,16.5,Other,500,700,600,
,23/02/2019,10,Other,500,800,650,
,24/02/2019,28,Other,700,900,800,
,26/02/2019,19.5,Other,800,900,850,
,27/02/2019,30.5,Other,700,900,800,
Chomu(F&V),01/02/2019,64.7,Other,400,700,500,
,02/02/2019,40.9,Other,400,800,600,
,03/02/2019,88.8,Other,300,700,500,
,04/02/2019,71.5,Other,400,900,600,
,06/02/2019,95.1,Other,500,1000,700,
,07/02/2019,42,Other,500,1000,700,
,08/02/2019,38.5,Other,400,800,600,
,09/02/2019,29.1,Other,300,500,400,
,10/02/2019,65.8,Other,300,500,400,
,11/02/2019,110,Other,400,600,500,
,12/02/2019,101.5,Other,400,600,500,
,13/02/2019,58.4,Other,400,600,500,
,14/02/2019,109.8,Other,300,400,350,
,15/02/2019,30,Other,400,600,500,
,16/02/2019,63.5,Other,300,600,400,
,17/02/2019,48,Other,300,500,400,
