Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arakalgud,01/04/2020,28,Medium,2000,2000,2000,
,16/04/2020,10,Local,2700,2700,2700,
,17/04/2020,13,Local,2410,2410,2410,
,19/04/2020,10,Local,2400,2400,2400,
,22/04/2020,4,Local,2500,2500,2500,
,23/04/2020,60,Local,2100,2400,2100,
,24/04/2020,10,Local,2500,2500,2500,
,28/04/2020,10,Fine,2700,2700,2700,
Arasikere,08/04/2020,30,Local,1950,2000,1950,
,13/04/2020,21,Local,2200,2300,2200,
,15/04/2020,5,Local,2000,2000,2000,
,17/04/2020,22,Local,2100,2100,2100,
Bangalore,01/04/2020,20,Fine,3000,3200,3100,
,02/04/2020,15,Fine,3000,3200,3100,
,03/04/2020,50,Fine,3000,3200,3100,
,04/04/2020,55,Fine,2800,3500,3150,
,07/04/2020,64,Fine,3000,3200,3100,
,08/04/2020,2,Fine,3000,3200,3100,
,09/04/2020,9,Fine,3000,3200,3100,
,13/04/2020,52,Fine,3000,3200,3100,
,16/04/2020,91,Fine,3000,3200,3100,
,18/04/2020,40,Fine,3000,3200,3100,
,21/04/2020,31,Fine,3000,3200,3100,
,23/04/2020,26,Fine,3000,3200,3100,
,28/04/2020,20,Fine,3000,3200,3100,
,30/04/2020,23,Fine,3000,3200,3100,
Bangarpet,04/04/2020,20,Local,2350,2850,2650,
,15/04/2020,20,Local,3150,3300,3200,
,22/04/2020,10,Local,2200,2800,2600,
,23/04/2020,16,Local,2800,3400,3200,
,24/04/2020,20,Local,2800,3400,3200,
,30/04/2020,20,Local,2200,2800,2600,
Bellary,21/04/2020,0.2,Fine,2156,2156,2156,
Belur,23/04/2020,2,Fine,1400,1400,1400,
Channagiri,15/04/2020,10,Local,1600,1600,1600,
,25/04/2020,15,Local,1700,1700,1700,
,30/04/2020,12,Local,1600,1600,1600,
Chikkamagalore,08/04/2020,6,Local,2000,2000,2000,
Chintamani,09/04/2020,8,Local,1900,2200,2100,
,13/04/2020,22,Local,2100,2400,2300,
,21/04/2020,135,Local,1900,2100,2000,
,25/04/2020,20,Local,2100,2500,2350,
,29/04/2020,55,Local,1950,2500,2350,
Davangere,04/04/2020,20,Local,2350,2350,2350,
,08/04/2020,37,Local,2100,2150,2111,
,09/04/2020,54,Local,1900,2200,2134,
,10/04/2020,32,Local,2150,2210,2175,
,11/04/2020,25,Local,2200,2200,2200,
,12/04/2020,30,Local,2200,2200,2200,
,13/04/2020,100,Local,1600,1600,1600,
,14/04/2020,111,Local,1930,2325,2209,
,15/04/2020,33,Local,2150,2250,2175,
,16/04/2020,55,Local,2100,2309,2242,
,17/04/2020,129,Local,2000,2370,2184,
,18/04/2020,145,Local,2100,2429,2325,
,19/04/2020,48,Local,2100,2213,2160,
,20/04/2020,144,Local,2210,2375,2260,
,21/04/2020,70,Local,2050,2390,2259,
,22/04/2020,35,Local,2110,2420,2310,
,23/04/2020,78,Local,2130,2480,2312,
,24/04/2020,67,Local,2230,2430,2332,
,25/04/2020,45,Local,2300,2480,2337,
,27/04/2020,20,Local,1200,2500,1850,
,28/04/2020,83,Local,1900,2459,2343,
,29/04/2020,67,Local,1712,2445,2142,
,30/04/2020,18,Local,2065,2400,2252,
Gubbi,01/04/2020,26,Local,2100,2400,2400,
,02/04/2020,31,Local,1700,2000,2000,
,08/04/2020,5,Local,2100,2100,2100,
,13/04/2020,6,Local,2100,2100,2100,
,23/04/2020,12,Local,1800,1800,1800,
,27/04/2020,1,Local,2200,2200,2200,
Gundlupet,07/04/2020,2,Local,1300,1300,1300,
H.B. Halli,09/04/2020,25,Hybrid,1800,1800,1800,
,15/04/2020,11,Hybrid,1900,1900,1900,
Harappana Halli,03/04/2020,25,Local,1886,2250,1950,
,04/04/2020,72,Local,1940,2240,1950,
,05/04/2020,105,Local,1800,2000,1850,
,06/04/2020,99,Local,1900,2175,2100,
,07/04/2020,94,Local,2280,2280,2280,
,08/04/2020,234,Local,1980,2215,2050,
,09/04/2020,225,Local,1900,2270,2000,
,10/04/2020,183,Local,1950,2300,2200,
,11/04/2020,27,Local,2220,2220,2220,
,12/04/2020,252,Local,1900,2300,2250,
,13/04/2020,100,Local,2040,2200,2050,
,14/04/2020,134,Local,2000,2300,2250,
,15/04/2020,163,Local,1900,2200,2150,
,16/04/2020,312,Local,2000,2370,2200,
,17/04/2020,141,Local,2050,2300,2200,
,18/04/2020,271,Local,2190,2400,2350,
,19/04/2020,215,Local,2000,2450,2200,
,20/04/2020,219,Local,2200,2445,2350,
,21/04/2020,134,Local,2390,2400,2395,
,22/04/2020,352,Local,2090,2550,2450,
,23/04/2020,167,Local,1840,2385,2200,
,24/04/2020,325,Local,2150,2450,2330,
,25/04/2020,112,Local,2200,2400,2250,
,27/04/2020,139,Local,2200,2400,2350,
,28/04/2020,115,Local,2000,2425,2380,
,30/04/2020,90,Local,2100,2350,2260,
Harihara,27/04/2020,60,Medium Fine,2300,2300,2300,
Hassan,17/04/2020,55,Other,2250,2250,2250,
,18/04/2020,9,Other,2450,2450,2450,
,21/04/2020,12,Other,2400,2400,2400,
,27/04/2020,4,Other,2460,2460,2460,
,30/04/2020,22,Other,2100,2100,2100,
Haveri,09/04/2020,5,Medium,2500,2500,2500,
Hiriyur,02/04/2020,3,Fine,2600,3200,3000,
,03/04/2020,20,Fine,2600,3200,2900,
,04/04/2020,10,Fine,2600,3200,2900,
Holenarsipura,03/04/2020,5,Local,2200,2200,2200,
,04/04/2020,2,Local,2200,2200,2200,
,05/04/2020,15,Local,1800,2250,2250,
,07/04/2020,15,Local,1800,2250,2250,
,08/04/2020,5,Local,2600,2600,2600,
,10/04/2020,29,Local,2700,2700,2700,
,22/04/2020,5,Local,2000,2000,2000,
Hosadurga,04/04/2020,18,Local,1900,2300,2100,
,21/04/2020,10,Local,1900,2200,2100,
,23/04/2020,40,Local,2200,2500,2400,
,29/04/2020,35,Local,2200,2700,2550,
Jagalur,09/04/2020,23,Local,1800,2050,1950,
,15/04/2020,46,Local,1500,2100,1700,
,20/04/2020,18,Fine,1900,2100,2000,
