Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Madagadipet,18/07/2018,0.36,Other,2010,2010,2010,
,19/07/2018,1.58,Other,1860,2030,1945,
,31/07/2018,0.91,Other,1919,2060,1989,
Thattanchavady,02/07/2018,1,Other,1710,1875,1792,
,03/07/2018,0.3,Other,1890,1890,1890,
,05/07/2018,1.5,Other,1700,1890,1795,
,09/07/2018,1.4,Other,1661,1854,1757,
,10/07/2018,1.5,Other,1679,1889,1784,
,11/07/2018,0.3,Other,1703,1881,1792,
,12/07/2018,1.6,Other,1790,1909,1849,
,13/07/2018,2.2,Other,1860,1930,1895,
,16/07/2018,2.6,Other,1970,2040,2005,
,17/07/2018,0.7,Other,1931,2070,2000,
,18/07/2018,0.8,Other,1960,2069,2014,
,19/07/2018,0.4, ,NR,NR,NR,
,20/07/2018,0.4,Other,2147,2147,2147,
,23/07/2018,1.1,Other,2040,2100,2070,
,24/07/2018,1.5,Other,2085,2085,2085,
,25/07/2018,0.5,Other,2122,2142,2132,
,26/07/2018,2.7,Other,2109,2152,2130,
,27/07/2018,1.2,Other,1660,2161,1910,
,30/07/2018,0.8,Other,2069,2069,2069,
,31/07/2018,0.2,Other,2129,2129,2129,
