Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dhing,01/10/2019,25,Beaten Rice,2500,2700,2630,
,03/10/2019,30,Beaten Rice,2500,2800,2650,
,04/10/2019,25,Beaten Rice,2600,2800,2700,
,11/10/2019,35,Beaten Rice,2800,2900,2850,
,13/10/2019,30,Beaten Rice,2800,2900,2850,
,14/10/2019,30,Beaten Rice,2520,2700,2610,
,15/10/2019,40,Beaten Rice,2800,2900,2875,
,16/10/2019,25,Beaten Rice,2800,2900,2850,
,19/10/2019,34,Beaten Rice,2800,2850,2850,
,21/10/2019,30,Beaten Rice,2500,2700,2600,
,22/10/2019,30,Beaten Rice,2600,2800,2700,
,23/10/2019,26,Beaten Rice,2600,2800,2700,
,24/10/2019,30,Beaten Rice,2600,2800,2700,
,25/10/2019,24,Beaten Rice,2600,2900,2800,
,29/10/2019,30,Beaten Rice,2500,2720,2630,
P.O. Uparhali Guwahati,01/10/2019,25.7,Beaten Rice,2300,3600,2750,
,09/10/2019,21.5,Beaten Rice,2300,3600,2750,
,10/10/2019,23.5,Beaten Rice,2300,3600,2750,
,14/10/2019,20,Beaten Rice,2300,3600,2750,
,15/10/2019,22, ,NR,NR,NR,
,16/10/2019,22, ,NR,NR,NR,
,22/10/2019,25,Beaten Rice,2300,3600,2750,
,23/10/2019,23,Beaten Rice,2300,3600,2750,
,24/10/2019,24,Beaten Rice,2300,3600,2750,
,28/10/2019,20.4,Beaten Rice,2300,3600,2750,
,29/10/2019,20,Beaten Rice,2300,3600,2750,
,30/10/2019,19,Beaten Rice,2300,3600,2750,
,31/10/2019,22,Beaten Rice,2300,3600,2750,
