Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalpur,02/05/2019,34,Other,3450,3550,3500,
,21/05/2019,20,Other,3450,3550,3500,
,23/05/2019,26,Other,3430,3600,3515,
,31/05/2019,36,Other,3450,3600,3525,
Ahmedpur,02/05/2019,20,Yellow,3400,3590,3500,
,03/05/2019,12,Yellow,3400,3560,3470,
,06/05/2019,21,Yellow,3400,3570,3480,
,08/05/2019,12,Yellow,3450,3620,3525,
,09/05/2019,10,Yellow,3500,3638,3565,
,10/05/2019,20,Yellow,3500,3650,3575,
,11/05/2019,12,Yellow,3500,3652,3575,
,13/05/2019,17,Yellow,3550,3647,3580,
,14/05/2019,15,Yellow,3355,3650,3500,
,15/05/2019,25,Yellow,3600,3700,3650,
,20/05/2019,23,Yellow,3550,3623,3590,
,21/05/2019,5,Yellow,3275,3645,3450,
,27/05/2019,22,Yellow,3500,3675,3580,
,28/05/2019,23,Yellow,3300,3680,3480,
,30/05/2019,18,Yellow,3500,3680,3590,
,31/05/2019,12,Yellow,3631,3666,3645,
Akhadabalapur,06/05/2019,4,Yellow,3600,3800,3700,
,20/05/2019,5,Yellow,3600,3700,3650,
Akola,02/05/2019,153,Yellow,3500,3630,3600,
,03/05/2019,82,Yellow,3380,3590,3550,
,04/05/2019,148,Yellow,3360,3550,3525,
,06/05/2019,102,Yellow,3300,3540,3520,
,08/05/2019,126,Yellow,3000,3535,3500,
,09/05/2019,124,Yellow,3200,3550,3500,
,10/05/2019,70,Yellow,3350,3600,3500,
,11/05/2019,168,Yellow,3350,3630,3580,
,13/05/2019,96,Yellow,3500,3625,3550,
,14/05/2019,129,Yellow,3400,3690,3550,
,15/05/2019,115,Yellow,3350,3645,3565,
,20/05/2019,5,Yellow,4500,5300,5150,
,21/05/2019,87,Yellow,3300,3680,3600,
,23/05/2019,119,Yellow,3500,3640,3600,
,24/05/2019,87,Yellow,3500,3700,3650,
,25/05/2019,138,Yellow,3300,3655,3550,
,27/05/2019,45,Yellow,3300,3680,3500,
,28/05/2019,210,Yellow,3450,3680,3640,
,29/05/2019,208,Yellow,3350,3675,3660,
,30/05/2019,188,Yellow,3200,3670,3600,
,31/05/2019,94,Yellow,3400,3675,3625,
Akot,02/05/2019,30,Yellow,3415,3500,3450,
,07/05/2019,14,Yellow,3400,3450,3400,
,08/05/2019,13,Yellow,3390,3475,3400,
,09/05/2019,3,Yellow,3350,3500,3450,
,11/05/2019,8,Yellow,3360,3500,3450,
,23/05/2019,3,Yellow,3400,3580,3450,
,25/05/2019,6,Yellow,3490,3610,3510,
,27/05/2019,15,Yellow,3570,3665,3600,
,28/05/2019,15,Yellow,3460,3620,3600,
,29/05/2019,15,Yellow,3460,3650,3600,
,30/05/2019,15,Yellow,3450,3645,3600,
Amalner,22/05/2019,1,Other,3000,3000,3000,
Amarawati,02/05/2019,347,Other,3150,3535,3343,
,04/05/2019,314,Other,3200,3541,3370,
,06/05/2019,235,Other,3150,3520,3335,
,08/05/2019,210,Other,3200,3542,3371,
,09/05/2019,231,Other,3200,3565,3383,
,10/05/2019,155,Other,3250,3620,3435,
,11/05/2019,175,Other,3200,3611,3405,
,14/05/2019,195,Other,3250,3648,3449,
,15/05/2019,284,Other,3250,3650,3450,
,21/05/2019,230,Other,3570,3599,3585,
,22/05/2019,227,Other,3600,3630,3615,
,23/05/2019,103,Other,3300,3621,3461,
,24/05/2019,237,Other,3250,3671,3461,
,25/05/2019,263,Other,3200,3641,3421,
,27/05/2019,329,Other,3200,3668,3434,
,28/05/2019,273,Other,3250,3663,3457,
,29/05/2019,312,Other,3250,3661,3455,
,30/05/2019,220,Other,3200,3640,3420,
,31/05/2019,205,Other,3250,3650,3450,
Ambad (Vadigodri),13/05/2019,2,Other,4100,4311,4111,
Ambejaogai,02/05/2019,43,Yellow,3500,3635,3600,
,03/05/2019,50,Yellow,3500,3625,3590,
,06/05/2019,57,Yellow,3570,3600,3580,
,08/05/2019,52,Yellow,3491,3679,3650,
,09/05/2019,35,Yellow,3500,3675,3650,
,10/05/2019,80,Yellow,3400,3675,3650,
,11/05/2019,50,Yellow,3640,3670,3650,
,13/05/2019,50,Yellow,3640,3667,3650,
,15/05/2019,110,Yellow,3670,3698,3680,
,20/05/2019,375,Yellow,3500,3620,3600,
,22/05/2019,45,Yellow,3640,3659,3650,
,24/05/2019,87,Yellow,3680,3712,3690,
,25/05/2019,160,Yellow,3620,3700,3670,
,27/05/2019,170,Yellow,3560,3711,3680,
,28/05/2019,100,Yellow,3620,3701,3670,
,29/05/2019,60,Yellow,3670,3695,3680,
,30/05/2019,60,Yellow,3625,3684,3670,
Anajngaon,03/05/2019,9,Yellow,3200,3451,3300,
,08/05/2019,5,Yellow,3000,3425,3200,
,10/05/2019,5,Yellow,3000,3450,3200,
,12/05/2019,4,Yellow,3200,3550,3400,
,19/05/2019,6,Yellow,3200,3525,3350,
,24/05/2019,1,Yellow,3200,3550,3400,
,26/05/2019,1,Yellow,3200,3550,3400,
,29/05/2019,3,Yellow,3200,3550,3400,
,31/05/2019,10,Yellow,3200,3550,3350,
Arvi,03/05/2019,38,Yellow,3000,3560,3450,
,04/05/2019,11,Yellow,3000,3560,3400,
,06/05/2019,18,Yellow,3000,3500,3400,
,08/05/2019,18,Yellow,3000,3570,3410,
,10/05/2019,22,Yellow,3000,3675,3550,
,11/05/2019,36,Yellow,3200,3685,3450,
,13/05/2019,20,Yellow,3200,3670,3500,
,14/05/2019,24,Yellow,3200,3680,3550,
,15/05/2019,46,Yellow,3200,3725,3600,
,21/05/2019,16,Yellow,3200,3640,3525,
,24/05/2019,15,Yellow,3200,3660,3500,
,25/05/2019,27,Yellow,3310,3675,3600,
,27/05/2019,24,Yellow,3600,3710,3675,
,28/05/2019,34,Yellow,3400,3710,3600,
,31/05/2019,22,Yellow,3400,3700,3600,
Ashti(Karanja),05/05/2019,5,Yellow,3400,3475,3425,
,06/05/2019,7,Yellow,3400,3500,3450,
,08/05/2019,8,Yellow,3400,3520,3450,
,09/05/2019,10,Yellow,3400,3595,3520,
,10/05/2019,9,Yellow,3400,3505,3450,
,22/05/2019,8,Yellow,3400,3570,3450,
,24/05/2019,5,Yellow,3400,3580,3450,
,27/05/2019,8,Yellow,3400,3600,3500,
,29/05/2019,6,Yellow,3400,3620,3550,
,31/05/2019,3,Yellow,3400,3550,3500,
Aurad Shahajani,08/05/2019,20,Yellow,3583,3625,3604,
,09/05/2019,20,Yellow,3622,3660,3641,
,10/05/2019,12,Yellow,3626,3643,3634,
,11/05/2019,21,Yellow,3600,3633,3616,
,13/05/2019,10,Yellow,3630,3642,3636,
,14/05/2019,12,Yellow,3630,3644,3637,
,15/05/2019,7,Yellow,3660,3680,3670,
,21/05/2019,7,Yellow,3600,3630,3615,
,22/05/2019,9,Yellow,3601,3636,3618,
,24/05/2019,13,Yellow,3631,3673,3652,
,27/05/2019,21,Yellow,3660,3687,3673,
Ausa,20/05/2019,1,Yellow,3601,3700,3634,
,21/05/2019,1,Yellow,3650,3681,3665,
,22/05/2019,3,Yellow,3651,3681,3673,
,24/05/2019,3,Yellow,3696,3701,3696,
,26/05/2019,13,Yellow,3700,3741,3724,
,27/05/2019,12,Yellow,3711,3741,3733,
,28/05/2019,11,Yellow,3650,3731,3715,
Babhulgaon,03/05/2019,70,Yellow,3051,3607,3311,
,06/05/2019,55,Yellow,3396,3531,3450,
,10/05/2019,70,Yellow,3200,3641,3421,
,13/05/2019,70,Yellow,3450,3701,3525,
,14/05/2019,45,Yellow,3475,3729,3601,
,15/05/2019,35,Yellow,3501,3810,3651,
,21/05/2019,50,Yellow,3500,3786,3651,
,22/05/2019,60,Yellow,3500,3760,3651,
,27/05/2019,55,Yellow,3551,3790,3671,
,28/05/2019,45,Yellow,3500,3765,3635,
,29/05/2019,55,Yellow,3500,3815,3661,
,31/05/2019,55,Yellow,3551,3761,3651,
Balapur,05/05/2019,22,Yellow,3400,3600,3570,
,12/05/2019,13,Yellow,3450,3600,3500,
,26/05/2019,21,Yellow,3420,3650,3550,
Baramati,03/05/2019,10,Yellow,3000,3552,3520,
,10/05/2019,1,Yellow,3531,3531,3531,
Barshi,07/05/2019,13,Other,3661,3661,3661,
,20/05/2019,10,Other,3725,3725,3725,
,27/05/2019,60,Other,3700,3711,3700,
,28/05/2019,7,Other,3625,3650,3625,
Bhiwapur,09/05/2019,9,Yellow,3500,3505,3500,
,23/05/2019,2,Yellow,3550,3550,3550,
,26/05/2019,8,Yellow,3500,3600,3550,
,30/05/2019,6,Yellow,3550,3620,3550,
Bhokar,03/05/2019,1,Yellow,3400,3550,3475,
,04/05/2019,1,Yellow,3203,3453,3328,
,06/05/2019,1,Other,3205,3502,3353,
,13/05/2019,3,Yellow,2500,3550,3025,
,15/05/2019,2,Yellow,3253,3527,3390,
,22/05/2019,5,Yellow,3300,3561,3431,
,24/05/2019,1,Yellow,3200,3200,3200,
,27/05/2019,2,Yellow,3601,3601,3601,
Bhokardan,04/05/2019,2,Yellow,3450,3550,3500,
,06/05/2019,4,Yellow,3450,3600,3550,
,11/05/2019,2,Yellow,3450,3550,3500,
,25/05/2019,3,Yellow,3500,3600,3550,
,27/05/2019,4,Yellow,3525,3600,3550,
Bhokardan(Pimpalgaon Renu),07/05/2019,1,Yellow,3500,3600,3550,
,14/05/2019,3,Yellow,3450,3550,3500,
,21/05/2019,3,Yellow,3450,3600,3550,
,28/05/2019,2,Yellow,3550,3650,3600,
Buldhana,05/05/2019,15,Yellow,3400,3525,3500,
,06/05/2019,17,Yellow,3400,3500,3500,
,11/05/2019,11,Yellow,3200,3550,3500,
,20/05/2019,23,Yellow,3100,3600,3550,
,21/05/2019,12,Yellow,3200,3600,3550,
,22/05/2019,26,Yellow,3100,3600,3550,
Buldhana(Dhad),10/05/2019,8,Yellow,3000,3500,3475,
Chakur,01/05/2019,3,Yellow,3600,3630,3615,
,03/05/2019,2,Other,3600,3605,3602,
,09/05/2019,2,Yellow,3600,3661,3630,
,10/05/2019,2,Yellow,3600,3650,3625,
,11/05/2019,2,Yellow,3620,3665,3630,
