Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,05/09/2019,1.8,Other,3491,3491,3491,
,06/09/2019,18,Other,3291,3651,3471,
,11/09/2019,6.7,Other,3500,3700,3600,
,12/09/2019,1.8,Other,3650,3650,3650,
,17/09/2019,5.4,Other,3280,4000,3640,
,18/09/2019,21.1,Other,3280,3956,3618,
,19/09/2019,9,Other,3650,3890,3770,
,20/09/2019,28.3,Other,3550,3990,3770,
,21/09/2019,16.2,Other,3650,4035,3842,
,23/09/2019,31.5,Other,3541,4094,3817,
,24/09/2019,17.1,Other,3701,4146,3923,
,25/09/2019,31,Other,3700,4071,3885,
,26/09/2019,13.5,Other,3860,4330,4095,
,27/09/2019,11.7,Other,3980,4200,4090,
,28/09/2019,9,Other,3841,3920,3880,
,30/09/2019,17,Other,3878,4226,4052,
Anta,11/09/2019,1.2,Other,3441,3481,3461,
,21/09/2019,0.4,Other,2981,3725,3353,
Atru,05/09/2019,5.8, ,NR,NR,NR,
,06/09/2019,2.7,Other,3550,3636,3593,
,07/09/2019,14.2,Other,3295,3650,3472,
,11/09/2019,8.2,Other,3645,3718,3681,
,12/09/2019,3.6,Other,3390,3776,3583,
,16/09/2019,2.7,Other,3490,3928,3709,
,18/09/2019,21.1,Other,3480,3875,3678,
,19/09/2019,20.7,Other,3507,3895,3701,
,20/09/2019,22.7,Other,3400,3935,3667,
,21/09/2019,9.1,Other,3600,3930,3765,
,23/09/2019,8.4,Other,3570,4022,3796,
,24/09/2019,5.1,Other,3950,4078,4014,
,25/09/2019,1.5,Other,4125,4125,4125,
,26/09/2019,1.8,Other,3900,4175,4037,
,27/09/2019,3.7,Other,3700,4190,3945,
,30/09/2019,0.4,Other,4048,4111,4079,
Atru(Kawai Salpura),05/09/2019,3.5,Other,3585,3600,3593,
,06/09/2019,5.4,Other,3542,3648,3596,
,11/09/2019,2.8,Other,3616,3735,3676,
,12/09/2019,0.9,Other,3636,3731,3684,
,16/09/2019,0.3,Other,3800,3800,3800,
,17/09/2019,4.8,Other,3905,4000,3953,
,18/09/2019,20.3,Other,3820,3911,3866,
,19/09/2019,25.9,Other,3848,3915,3882,
,20/09/2019,20.8,Other,3786,4009,3898,
,21/09/2019,18.3,Other,3920,4018,3969,
,23/09/2019,20.2,Other,3940,4000,3970,
,24/09/2019,17.7,Other,3980,4170,4075,
,25/09/2019,5.5,Other,4155,4223,4189,
,26/09/2019,15.9,Other,3971,4298,4135,
,27/09/2019,3.5,Other,3900,4270,4085,
,30/09/2019,13.2,Other,4086,4171,4129,
Badrisadri,06/09/2019,1.5,Other,3352,3575,3550,
,18/09/2019,2,Other,3453,3831,3800,
,19/09/2019,2,Other,3579,3812,3750,
,21/09/2019,5,Other,3101,3941,3850,
,23/09/2019,2,Other,3825,3857,3843,
,24/09/2019,3,Other,3400,4000,3900,
,26/09/2019,3,Other,3536,4183,4100,
Baran,05/09/2019,42.5,Other,3485,3632,3565,
,06/09/2019,68,Other,3495,3654,3580,
,07/09/2019,76.5,Other,3376,3635,3510,
,10/09/2019,34,Other,3560,3649,3615,
,11/09/2019,42.5,Other,3500,3711,3618,
