Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kanpur(Grain),01/10/2018,20,Soyabeen,4100,4200,4160,
,03/10/2018,15, ,NR,NR,NR,
,04/10/2018,10, ,NR,NR,NR,
,06/10/2018,15, ,NR,NR,NR,
,08/10/2018,14,Soyabeen,4125,4225,4200,
,09/10/2018,20,Soyabeen,4100,4200,4150,
,10/10/2018,25,Soyabeen,4000,4150,4100,
,11/10/2018,15,Soyabeen,4175,4280,4215,
,12/10/2018,20,Soyabeen,4100,4300,4200,
,13/10/2018,25,Soyabeen,4100,4225,4175,
,15/10/2018,15,Soyabeen,4100,4200,4150,
,16/10/2018,20,Soyabeen,4075,4200,4125,
,17/10/2018,30,Soyabeen,4050,4200,4100,
,18/10/2018,25,Soyabeen,4100,4300,4200,
,19/10/2018,20,Soyabeen,4150,4300,4250,
,20/10/2018,30,Soyabeen,4100,4250,4175,
,22/10/2018,22,Soyabeen,4100,4200,4150,
,23/10/2018,20,Soyabeen,4150,4250,4200,
,24/10/2018,25,Soyabeen,4100,4240,4175,
,25/10/2018,15,Soyabeen,4100,4200,4150,
,26/10/2018,12,Soyabeen,4100,4200,4140,
,27/10/2018,20,Soyabeen,4100,4200,4160,
,29/10/2018,15,Soyabeen,4150,4250,4220,
,30/10/2018,20,Soyabeen,4100,4250,4175,
,31/10/2018,25,Soyabeen,4100,4200,4160,
Lalitpur,01/10/2018,80,Yellow,3100,3280,3195,
,03/10/2018,70, ,NR,NR,NR,
,04/10/2018,70, ,NR,NR,NR,
,05/10/2018,80,Yellow,2600,3200,2800,
,06/10/2018,100,Yellow,2800,3200,2990,
,08/10/2018,30,Yellow,2800,2950,2875,
,09/10/2018,28,Yellow,2800,2900,2835,
,11/10/2018,20,Yellow,2800,2900,2845,
,12/10/2018,65,Yellow,2850,3000,2915,
,15/10/2018,70,Yellow,2900,3100,3000,
,16/10/2018,60,Yellow,3100,3200,3150,
,17/10/2018,100,Yellow,3000,3365,3200,
,22/10/2018,90,Yellow,3100,3200,3146,
,23/10/2018,80,Yellow,3100,3250,3170,
,24/10/2018,30,Yellow,3000,3200,3100,
,25/10/2018,70,Yellow,3100,3200,3120,
,26/10/2018,200,Yellow,2950,3100,3020,
,27/10/2018,190,Yellow,3000,3100,3030,
,29/10/2018,400,Yellow,3000,3200,3100,
,30/10/2018,450,Yellow,3020,3120,3080,
,31/10/2018,440,Yellow,3050,3150,3090,
