Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kanpur(Grain),01/06/2019,25,Soyabeen,5100,5200,5150,
,03/06/2019,20,Soyabeen,5150,5250,5200,
,04/06/2019,30,Soyabeen,5100,5225,5175,
,07/06/2019,15,Soyabeen,5175,5265,5215,
,08/06/2019,25,Soyabeen,5200,5300,5250,
,10/06/2019,10,Soyabeen,5225,5275,5250,
,11/06/2019,20,Soyabeen,5150,5250,5200,
,12/06/2019,25,Soyabeen,5125,5225,5175,
,13/06/2019,15,Soyabeen,5100,5200,5160,
,14/06/2019,10,Soyabeen,5200,5300,5250,
,15/06/2019,15,Soyabeen,5200,5300,5275,
,17/06/2019,25,Soyabeen,5100,5250,5200,
,18/06/2019,20,Soyabeen,5200,5250,5225,
,19/06/2019,22,Soyabeen,5150,5300,5215,
,20/06/2019,30,Soyabeen,5100,5250,5200,
,21/06/2019,25,Soyabeen,5200,5300,5260,
,22/06/2019,35,Soyabeen,5150,5300,5225,
,24/06/2019,30,Soyabeen,5200,5300,5250,
,25/06/2019,20,Soyabeen,5200,5300,5275,
,26/06/2019,25,Soyabeen,5125,5250,5200,
,27/06/2019,15,Soyabeen,5200,5300,5260,
,28/06/2019,14,Soyabeen,5225,5350,5300,
,29/06/2019,12,Soyabeen,5300,5400,5350,
Lalitpur,01/06/2019,28,Yellow,4000,4100,4060,
,03/06/2019,27,Yellow,4030,4100,4070,
,04/06/2019,18,Yellow,3900,4100,4080,
,06/06/2019,17.5,Yellow,3600,4100,4100,
,07/06/2019,17,Yellow,4050,4150,4110,
,10/06/2019,16,Yellow,4080,4180,4120,
,11/06/2019,15,Yellow,4080,4180,4130,
,12/06/2019,1.4,Yellow,4100,4180,4140,
,13/06/2019,13,Yellow,4100,4200,4150,
,14/06/2019,12,Yellow,4100,4200,4160,
,15/06/2019,11,Yellow,4120,4220,4170,
,17/06/2019,12,Yellow,4420,4520,4470,
,18/06/2019,11,Yellow,3950,4050,4010,
,19/06/2019,25,Yellow,3689,4100,3900,
,20/06/2019,32,Yellow,3750,3850,3800,
,21/06/2019,22,Yellow,3750,3850,3810,
,22/06/2019,25,Yellow,3730,3830,3780,
,24/06/2019,26,Yellow,3650,3750,3700,
,25/06/2019,25,Yellow,3650,3750,3710,
,26/06/2019,24,Yellow,3670,3770,3720,
,27/06/2019,24,Yellow,3700,3750,3725,
,28/06/2019,30, ,NR,NR,NR,
,29/06/2019,25,Yellow,3700,3854,3810,
