Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kanpur(Grain),02/09/2019,30,Soyabeen,4175,4275,4225,
,03/09/2019,25,Soyabeen,4200,4300,4250,
,04/09/2019,20,Soyabeen,4250,4350,4300,
,05/09/2019,35,Soyabeen,4300,4400,4350,
,06/09/2019,40,Soyabeen,4250,4350,4300,
,07/09/2019,35,Soyabeen,4300,4400,4350,
,09/09/2019,45,Soyabeen,4200,4300,4250,
,10/09/2019,40,Soyabeen,4215,4325,4275,
,11/09/2019,30,Soyabeen,4100,4300,4200,
,12/09/2019,25,Soyabeen,4125,4250,4200,
,13/09/2019,20,Soyabeen,4175,4300,4225,
,14/09/2019,22,Soyabeen,4175,4250,4230,
,16/09/2019,20,Soyabeen,4150,4300,4230,
,17/09/2019,15,Soyabeen,4125,4250,4200,
,18/09/2019,16,Soyabeen,4200,4300,4250,
,19/09/2019,17,Soyabeen,4175,4250,4225,
,20/09/2019,15,Soyabeen,4200,4400,4300,
,21/09/2019,18,Soyabeen,4300,4425,4375,
,23/09/2019,15,Soyabeen,4500,4650,4600,
,24/09/2019,16,Soyabeen,4550,4700,4650,
,25/09/2019,17,Soyabeen,4500,4600,4550,
,26/09/2019,14,Soyabeen,4500,4650,4575,
,27/09/2019,16,Soyabeen,4400,4500,4450,
,28/09/2019,15,Soyabeen,4415,4525,4460,
,30/09/2019,12,Soyabeen,4400,4550,4475,
Lalitpur,02/09/2019,5,Yellow,3850,3925,3880,
,03/09/2019,4,Yellow,3850,3940,3890,
,04/09/2019,5,Yellow,3850,3925,3885,
,05/09/2019,4,Yellow,3850,3925,3890,
,06/09/2019,4,Yellow,3850,3925,3890,
,07/09/2019,3.5,Yellow,3850,3950,3900,
,13/09/2019,2.8,Yellow,3870,3970,3920,
,16/09/2019,5,Yellow,3880,3980,3930,
,17/09/2019,4.5,Yellow,3880,3980,3940,
,18/09/2019,4, ,NR,NR,NR,
,19/09/2019,2.5,Yellow,3900,4000,3960,
,20/09/2019,3.5,Yellow,3900,4000,3960,
,21/09/2019,3,Yellow,3920,4020,3970,
,23/09/2019,4,Yellow,3940,4000,3970,
,24/09/2019,4,Yellow,3950,4000,3975,
,25/09/2019,3.5,Yellow,3930,4030,3980,
,26/09/2019,4,Yellow,3920,4020,3970,
,27/09/2019,5,Yellow,3900,4000,3960,
,28/09/2019,4.6,Yellow,3920,4020,3970,
,30/09/2019,4.5,Yellow,3900,4000,3960,
