Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chandigarh(Grain/Fruit),01/04/2018,54.6,Other,400,800,600,
,03/04/2018,66.42,Other,320,600,460,
,04/04/2018,71.13,Other,320,600,460,
,05/04/2018,53.08,Other,320,600,460,
,06/04/2018,87.78,Other,320,600,460,
,07/04/2018,81.4,Other,320,600,460,
,08/04/2018,70.75,Other,320,600,460,
,10/04/2018,55.35,Other,300,600,450,
,11/04/2018,32.55,Other,300,600,450,
,12/04/2018,81.28,Other,200,600,400,
,13/04/2018,116.47,Other,200,800,500,
,14/04/2018,142.22,Other,200,800,500,
,15/04/2018,98.78,Other,200,600,400,
,17/04/2018,96.2,Other,200,800,500,
,18/04/2018,87.55,Other,200,800,500,
,19/04/2018,113.65,Other,200,1000,600,
,20/04/2018,108.75,Other,200,1000,600,
,21/04/2018,98.25,Other,200,1000,600,
,22/04/2018,121,Other,300,1000,650,
,24/04/2018,64.42,Other,320,1000,660,
,25/04/2018,91.17,Other,320,1000,660,
,26/04/2018,57.92,Other,320,1000,660,
,27/04/2018,39.52,Other,300,1000,650,
,28/04/2018,43.02,Other,400,1000,700,
,29/04/2018,40.75,Other,400,1000,700,
