Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,02/04/2018,1,Other,1400,1500,1450,
,03/04/2018,0.3,Other,1600,1700,1650,
,04/04/2018,0.2,Other,1600,1700,1650,
,05/04/2018,1,Other,1500,1600,1550,
,06/04/2018,1,Other,1500,1700,1600,
,07/04/2018,1,Other,1700,1800,1750,
,09/04/2018,1,Other,1500,1600,1550,
,10/04/2018,1,Other,1500,1600,1550,
,11/04/2018,1,Other,1400,1500,1450,
,12/04/2018,1,Other,1400,1500,1450,
,16/04/2018,0.5,Other,1400,1500,1450,
,17/04/2018,1,Other,1400,1500,1450,
,18/04/2018,1,Other,1500,1600,1550,
,19/04/2018,0.6,Other,1500,1600,1550,
,20/04/2018,0.7,Other,1400,1500,1450,
,21/04/2018,1,Other,1500,1600,1550,
,23/04/2018,1,Other,1400,1500,1450,
,24/04/2018,1,Other,1200,1300,1250,
,25/04/2018,1,Other,1300,1500,1400,
,26/04/2018,1,Other,1200,1300,1250,
,27/04/2018,1,Other,1300,1500,1400,
,28/04/2018,1,Other,1100,1200,1150,
Narwal Jammu (F&V),10/04/2018,140,Other,900,1000,950,
,12/04/2018,150,Other,900,1000,950,
,18/04/2018,150,Other,900,1000,950,
,21/04/2018,150,Other,900,1000,950,
,23/04/2018,150, ,NR,NR,NR,
,24/04/2018,150,Other,900,1000,950,
,25/04/2018,150,Other,900,1000,950,
,26/04/2018,150,Other,900,1000,950,
,27/04/2018,15,Other,900,1000,950,
,28/04/2018,150,Other,900,1000,950,
Parimpore,04/04/2018,45,Other,1500,1600,1550,
,05/04/2018,54,Other,1500,1700,1600,
,07/04/2018,54,Other,2000,2500,2250,
,09/04/2018,54,Other,2000,2200,2100,
,11/04/2018,27,Other,1800,2000,1900,
,13/04/2018,54,Other,1800,2000,1900,
,14/04/2018,63,Other,1800,2000,1900,
,16/04/2018,45,Other,1800,1900,1850,
,18/04/2018,81,Other,1600,1800,1700,
,19/04/2018,117,Other,1500,1600,1550,
,21/04/2018,72,Other,1700,1800,1750,
,23/04/2018,99,Other,1800,1900,1850,
,24/04/2018,72,Other,1700,1800,1750,
,25/04/2018,63,Other,1600,1800,1700,
,26/04/2018,63,Other,1800,1900,1850,
,27/04/2018,90,Other,1800,2000,1900,
,28/04/2018,81,Other,1700,1900,1800,
Reasi,04/04/2018,0.9,Other,1300,1500,1400,
,05/04/2018,1,Other,1400,1600,1500,
Samba,02/04/2018,4.5,Other,1400,1700,1550,
,03/04/2018,4,Other,1400,1600,1500,
,04/04/2018,4.5,Other,1400,1500,1450,
,06/04/2018,3.5,Other,1500,2000,1750,
,07/04/2018,2.5,Other,1600,2000,1800,
,09/04/2018,2,Other,1800,2000,1900,
,10/04/2018,2.7,Other,1500,2000,1750,
,11/04/2018,2,Other,1600,1800,1700,
,12/04/2018,2.7,Other,1500,1700,1600,
,17/04/2018,3.2,Other,1800,2200,2000,
,18/04/2018,3.5,Other,1500,2000,1750,
,19/04/2018,4,Other,1400,1800,1600,
,25/04/2018,2.5,Other,1500,2000,1750,
,26/04/2018,2,Other,1600,2200,1900,
,28/04/2018,3,Other,1600,2000,1800,
Udhampur,03/04/2018,9,Other,1200,1400,1300,
,04/04/2018,9,Other,1200,1400,1300,
,05/04/2018,9,Other,1200,1400,1300,
,06/04/2018,9,Other,1200,1400,1300,
,08/04/2018,9,Other,1200,1400,1300,
,10/04/2018,9,Other,1200,1400,1300,
,11/04/2018,9,Other,1100,1300,1200,
,12/04/2018,9,Other,1100,1300,1200,
,14/04/2018,6,Other,1100,1300,1200,
,15/04/2018,9,Other,1100,1300,1200,
,17/04/2018,9,Other,1200,1600,1400,
,18/04/2018,9,Other,1200,1600,1400,
,19/04/2018,9,Other,1100,1300,1200,
,29/04/2018,9,Other,800,1000,900,
