Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adimali,01/02/2019,0.1,Hybrid,3000,3200,3100,
,05/02/2019,0.1,Hybrid,3000,3200,3100,
,08/02/2019,0.1,Hybrid,2800,3000,2900,
,12/02/2019,0.1,Hybrid,2600,2800,2700,
,16/02/2019,0.1,Hybrid,2800,3000,2900,
,19/02/2019,0.1,Hybrid,2800,3000,2900,
,22/02/2019,0.1,Hybrid,2800,3000,2900,
,26/02/2019,0.01,Hybrid,2800,3000,2900,
Alappuzha,01/02/2019,0.5,Other,2900,3000,2950,
,02/02/2019,0.5,Other,2900,3000,2950,
,04/02/2019,1,Other,2900,3000,2950,
,09/02/2019,1,Other,2000,2100,2050,
,11/02/2019,1,Other,2000,2100,2050,
,13/02/2019,1,Other,1950,2050,2000,
,17/02/2019,1,Other,2000,2100,2050,
,18/02/2019,1,Other,2000,2100,2050,
,19/02/2019,0.5,Other,2000,2100,2050,
,20/02/2019,1,Other,2000,2100,2050,
,25/02/2019,0.5,Other,1800,1900,1850,
Aluva,01/02/2019,8,Tomato,1500,2000,1800,
,04/02/2019,12,Tomato,1800,2500,2200,
,06/02/2019,10,Tomato,2000,2800,2400,
,07/02/2019,10,Tomato,2000,3000,2500,
,08/02/2019,12,Tomato,2000,3000,2500,
,11/02/2019,10,Tomato,1500,2000,1800,
,12/02/2019,8,Tomato,1500,2000,1800,
,13/02/2019,14,Tomato,1500,2000,1800,
,14/02/2019,6,Tomato,1200,1800,1500,
,19/02/2019,10,Tomato,1800,2800,2300,
,20/02/2019,14,Tomato,1700,2400,2000,
,21/02/2019,8,Tomato,1700,2400,2000,
,22/02/2019,12,Tomato,1700,2400,2000,
,23/02/2019,10,Tomato,2000,3000,2500,
,25/02/2019,10,Tomato,1700,2400,2100,
,26/02/2019,10,Tomato,1800,2400,2100,
,27/02/2019,15,Tomato,1600,2400,2000,
,28/02/2019,10,Tomato,2000,2800,2400,
Anchal,04/02/2019,0.5,Other,2600,2800,2700,
,13/02/2019,0.5,Other,3000,3200,3100,
,14/02/2019,0.5,Other,2600,2800,2700,
,17/02/2019,0.5,Other,3000,3200,3100,
,19/02/2019,0.5,Other,2500,2700,2600,
,20/02/2019,0.5,Other,3000,3200,3100,
,23/02/2019,0.5,Other,2800,3000,2900,
,25/02/2019,0.5,Other,2700,2900,2800,
Angamaly,01/02/2019,1,Tomato,2300,2700,2500,
,02/02/2019,1,Tomato,2000,2600,2300,
,04/02/2019,1,Tomato,1600,2000,1800,
,05/02/2019,1,Tomato,1600,2000,1800,
